Column1	encriptado	...2	SEGMENTO GOL	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1__1 - A: Internet Banda Ancha :	P1__2 - B: Telefonía Fija :	P1__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P1__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P1__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	P2__1 - A: Internet Banda Ancha :	P2__2 - B: Telefonía Fija :	P2__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P2__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P2__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	EMPTY LABEL - No Information Provided...17	EMPTY LABEL - No Information Provided...18	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. Pensando en el funcionamiento del servicio {#P6txt},¿con qué nota de 1 a 7 evalúa el Funcionamiento de este servicio en general?	"P7 - 7.	Y en lo que respecta  a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está Ud…. {#Principal}{#Princ_text}?"	"P9__1 - a)	Precio en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P8__3 - c)	Competitividad de planes en cuanto a Internet banda ancha fija :"	P9__1 - Contratación de nuevos servicios :	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P9__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P9__5 - Consultas sobre seguimiento o estado de solicitudes :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P9__7 - Reclamos por fallas  técnicas de los servicios fijos :	P10__1 - Contratación de nuevos servicios :	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P10__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P10__5 - Consultas sobre seguimiento o estado de solicitudes :	P10__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P10__7 - Reclamos por fallas  técnicas de los servicios fijos :	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P11__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P11__5 - Consultas sobre seguimiento o estado de solicitudes :	P11__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P11__7 - Reclamos por fallas  técnicas de los servicios fijos :	P12__1 - 1: Ejecutivo asignado para su empresa :	P12__2 - '2: A través del Call center, empresa' :	P12__3 - 3: P: A través de la web con clave :	P12__4 - 4: En tiendas/ sucursales :	"P16 - FACTURACIÓN:
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P15 - 15.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con {#Principal}{#Princ_text}?	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	"P_3A - 3) 3)	Para servicios fijos, ¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}{#Princ_text}?
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal}{#Princ_text} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	Bench
1	mMLiTalNRbxB	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	Sí	Entel	NA	NA	NA	Otra ¿Cúal?	NA	NA	6	PORQUE TENIA TENIA ALGUN INCONVENIENTE PERO ME LO HAN RESUELTO.	7	6	7	7	9. NS/NR	7	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	7	NA	NA	6	No	NA	NA	NA	7	10	1	0	No	fijo
2	iXc1tnv55BGa	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	Sí	No	Entel	NA	NA	Otra ¿Cúal?	NA	NA	NA	7	PORQUE NUNCA HEMOS TENIDO NINGÚN PROBLEMA.	7	7	5	6	6	6	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	7	6	No	NA	NA	NA	7	10	2	99	No	fijo
3	7tDvPvGgbo9S	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	No	Entel	NA	NA	NA	NA	NA	NA	1	PORQUE LA SEÑAL QUE TENEMOS ACÁ ES SOLAMENTE DE ENTEL PORQUE LE DIGO ESTAMOS EN LA PRE-CORDILLERA ES SOLAMENTE DE ENTEL Y ES UNA ANTENA QUE SE PASA CAYENDO LA SEÑAL LA SEÑAL DE INTERNET ES MALISIMA Y ESTAMOS OBLIGADOS A ESTAR CON ELLOS PORQUE ES LA UNICA ANTENA QUE TENEMOS ACA ES DE ESA COMPAÑIA PORQUE SI HUBIERA OTRA COMPAÑIA ME CAMBIO AL OTRO DIA	3	2	1	3	1	2	No	No	No	No	Si	No	NA	NA	NA	NA	2	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	3	3	Sí	CONECTIVIDAD EN CUANTO A CONECTIVIDAD EN CUANTO A SEÑAL QUE LA ANTENA SE CAE QUEDAMOS SIN SEÑAL MUERTOS NI SIQUIERA PARA LLAMADAS DE EMERGENCIA APARTE DE LA CONECTIVIDAD QUE SE CAE LA ATENA MALA LA ATENCION MALO EL SERVICIO MALO ENTEL EN GENERAL MALO	Sí	No	1	0	3	6	No	fijo
4	K8iWWJ4uOS68	43617	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	No	Sí	No	Sí	Entel	NA	Entel	NA	Entel	NA	NA	5	PORQUE CADA VEZ QUE LLUEVE SE CAE EL SISTEMA SE CAE LA SEÑAL O EL INTERNET SE CAE TODO Y CAYENDOSE EL INTERNET NO PUEDES HACER NADA	6	6	6	6	7	6	Si	Si	No	No	Si	Si	7	6	NA	NA	7	6	1. Ejecutivo asignado	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	1. Ejecutivo asignado	7	NA	7	7	7	Sí	QUE SE CAE EL SISTEMA	Sí	Si	7	10	5	6	No	fijo
5	6R2cFtZruDiO	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Telefónica del Sur	NA	NA	Telefónica del Sur	NA	NA	6	POR QUE NO ESTOY SATISFECHO, POR QUE LA SEÑAL NO ES SUFICIENTE EN CUANTO A LA COBERTURA, A LA COBERTURA.	5	6	2	6	6	6	Si	No	No	Si	Si	Si	2	NA	NA	4	5	6	NA	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	6	NA	NA	5	Sí	DE LA FACTURACIÓN, NO ESTOY DE ACUERDO CON LO FACTURADO. EN LOS COBROS DE SERVICIOS NO CONTRATADOS.	Sí	Si	6	4	15	99	Sí	fijo
6	K0VgeUj2sERa	43617	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	6	PORQUE NO ES EXCELENTE, EN GENERAL NO ESTOY MUY SATISFECHO.	7	5	6	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	10	5	2	Sí	fijo
7	qyfb8RECkIeg	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	No	No	No	Sí	Entel	NA	NA	NA	Entel	NA	NA	5	PORQUE DE REPENTE, DONDE YO TRABAJO, SE PIERDE UN POCO LA CONECTIVIDAD. POR EJEMPLO EN LAS LLAMADAS, SE CORTAN O LA INTERNET TAMBIÉN SE CORTA EN ALGUNOS MOMENTOS, NO ES SIEMPRE Y RARA VEZ.	5	6	6	6	5	5	No	No	No	No	Si	Si	NA	NA	NA	NA	6	5	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	6	NA	7	No	NA	NA	NA	6	10	1	3	Sí	fijo
8	gsRpBAxAe0Z4	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	VTR	NA	NA	NA	NA	NA	7	PORQUE SON BUENOS PLANES QUE TENEMOS EN TELEFONÍA PARA EMPRESA.	7	7	7	7	7	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	7	No	NA	NA	NA	7	10	8	6	Sí	fijo
9	Lhfjnuv7UEUy	43617	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Otra ¿Cúal?	NA	Otra ¿Cúal?	Otra ¿Cúal?	NA	ledline	6	DE REPENTE EL INTERNET SE PONE UN POCO LENTO, SOLO POR ESO.	7	5	6	7	7	5	No	No	No	Si	No	Si	NA	NA	NA	6	NA	5	NA	NA	2. A través del Call center, empresa	NA	1. Ejecutivo asignado	7	7	NA	NA	7	Sí	EL INTERNET EN ALGUNAS COMUNES NO TOMA EL INTERNET, FALLAS CON EL INTERNET.	Sí	No	6	8	1	99	Sí	fijo
10	dUKXihWuOvP0	43617	MasPrem	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	4	POR QUE EN LA ZONA DONDE YO VIVO ESTA SATURADO EL INTERNET QUE ES LO QUE MAS PREOCUPA MAS QUE NADA SIRVE PARA LAS LLAMADAS TELEFÓNICAS LAS RESPUESTAS A LOS LLAMADOS NO SON SATISFACTORIOS.	5	4	5	4	5	4	No	Si	No	No	No	Si	NA	7	NA	NA	NA	4	2. A través del Call center, empresa	NA	NA	NA	2. A través del Call center, empresa	NA	6	NA	NA	6	No	NA	NA	NA	5	5	7	99	No	fijo
