encriptado	GOL (BASE STOCK SEP 2019)	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1 - 1. En su empresa, ¿con qué compañías tiene contratado los servicios móviles como teléfonos o banda ancha móvil? (respuesta múltiple)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. ¿Y con qué nota de 1 a 7, evalúa a {#Principal} en cuanto a la Calidad y Cobertura de las llamadas?	"P7 - 7.	Ahora pensando en la navegación a través de su celular, es decir internet móvil empresa contratado con {#Principal}, ¿Con qué nota de 1 a 7, evalúa la navegación a través del celular?"	"P8 - 8.	Y en lo que respecta  a Servicio a Clientes, ¿cuán satisfecho está Ud. con {#Principal}"	"P9__1 - a)	Precio del Plan en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P9__3 - c)	Competitividad de planes en cuanto a Internet Móvil o internet en su celular :"	"P9__4 - d)	El precio de los equipos en relación al mercado :"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__5 - Solicitar cambio de plan :	P10__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__5 - Solicitar cambio de plan :	P11__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__5 - Solicitar cambio de plan :	P12__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - 1: Ejecutivo asignado para su empresa :	P13__2 - 2: Call center :	P13__3 - 3: Página Web {#Principal} Empresas :	P13__4 - 4: En tiendas/ sucursales :	P13__5 - 5: App Administradores Empresa :	"P16 - FACTURACIÓN:
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P18 - 18.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	"P21 - LEALTAD
         Ahora pensando en todos los servicios que recibe con {#Principal} en general y en la relación que tiene con esta compañía, me podría decir…
    
         21. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7"	P22 - 22. Pensando como cliente empresa, y en su opinión ¿Cuál diría Ud. qué es la mejor compañía de servicios móviles? (Leer opciones, respuesta única)	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	P_2 - 2) ¿Cuál de estas categorías calza mejor con el giro de su empresa? (Leer opciones, respuesta única)	"P_3A - 3)	¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}?
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"
vHuKahbp97LJ	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	5	LA COBERTURA ES MALA EN ESTA ZONA.	5	5	5	4	4	4	4	2	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	Sí	EL PROBLEMA DEL INTERNET, NO TENGO COBERTURA EN ALGUNAS PARTES, A VECES LO VEO EL CELULAR Y ESTA DESCONECTADO.	No	NA	1	Movistar	1	"6.	Servicios"	6	0	No
0qrUVux1c9Ry	Mas	MICRO	Entel	SI -> CONTINUAR	Entel,Claro	3	PORQUE ES DEFICIENTE SU SERVICIO EN CUANTO SEA DE COBERTURA COMO TAMBIÉN DE SOLUCIÓN DE PROBLEMAS PRINCIPALMENTE DE COBERTURA, APARTE DE SER NO ENTREGAN LA INFORMACIÓN COMPLETA NO HACEN NO ENTREGAN UNA INFORMACIÓN COMPLETA Y ADECUADA, NO LES INTERESA MEJORAR LA CALIDAD DE SERVICIO DE ATENCIÓN AL CLIENTE SE QUEDA CON LO QUE UNO CONTRATA Y LUEGO SE OLVIDAN MEJORES POSIBILIDADES DE CONEXIÓN, PORQUE COMO YA LO TENGO CONTRATADO NO VA MEJORANDO LA CALIDAD DE SERVICIO Y NO LES IMPORTA Y NO TE CONTACTAN PARA MEJORAR.	4	1	3	1	1	4	1	1	Si	No	No	No	No	No	3	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	7	Sí	LA FALTA DE COBERTURA, PÉSIMA SEÑAL, QUE NO HAY SEÑAL EN DONDE LUGARES DONDE ANTES LO HABÍA DONDE UNO TIENE LA NECESIDAD DE CONECTARSE SIMPLEMENTE A VECES Y NO ENCUENTRO SEÑAL ES INEFICIENTE, Y A MI ME COMENTARON QUE HAY UNA SOBRE CARGA DE TELEFONÍA O DE LLAMADO DE COBERTURA POR ESO LO SOBRE CARGA Y POR LO TANTO NO HAY SUFICIENTEMENTE PARA TODOS LOS EQUIPOS, QUE EN ESE SENTIDO ES DEFICIENTE TAMBIÉN PORQUE NO SOLUCIONAN NADA Y ELLOS ESPERAN QUE HAYAN MAS RECLAMOS PARA PODER AUMENTARON LA COBERTURA DE TELEFONÍA QUE TENGA LA CAPACIDAD DE ABSORBER TODAS LAS LINEAS.	Sí	No	4	Claro	1	"3.	Industria"	15	0	No
zzoX4zTPg5ox	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE IGUALMENTE HAY PROBLEMAS COMO TODA COMPAÑÍA. ALGUNAS COMPAÑÍAS SON MALAS EXACTAMENTE NO TENGO PROBLEMAS PERO NO TANTO COMO LAS DEMÁS. ES LA MEJOR COMPAÑÍA CON QUE HE ESTADO EN LA DE TODAS, SI ES LA MEJOR.	5	6	6	6	4	5	5	2	No	No	No	Si	No	Si	NA	NA	NA	7	NA	6	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	6	NA	NA	NA	NA	6	No	NA	NA	NA	6	Entel	6	"6.	Servicios"	20	0	No
jTzfwcQH87rI	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	4	PORQUE ES PÉSIMA LA SEÑAL. LA COBERTURA ES PÉSIMA TIENEN BUENA DISPONIBILIDAD CUANDO LLAMA. POR ESO ESTOY DANDO UNA MALA NOTA.	5	1	1	7	6	6	1	5	No	Si	Si	Si	Si	Si	NA	7	5	7	5	7	NA	3.Página Web <b>{#\.Principal}</b> Empresas	2.Call center	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	6	7	7	NA	6	Sí	PROBLEMA DE SEÑAL. ME ANDO MOVIENDO PARA PODER ESCUCHARLA A USTED, NO PUEDO ENTRAR A INTERNET.	Sí	No	5	Entel	10	"8.	Comercio (al por mayor y menor)"	20	0	No
VbEi1HqaTXlz	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	PORQUE  ANTIGUAMENTE TENIA  MEJOR SEÑAL DONDE YO TRABAJO Y ACTUALMENTE NO TIENE BUENA SEÑAL. TIENE  LA MISMA SEÑAL QUE CLARO CASI SE CORTA LA COMUNICACIONES EN ALGUNAS PARTES.	6	7	7	6	6	6	7	6	Si	Si	No	No	No	Si	6	5	NA	NA	NA	5	2.Call center	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	4.En tiendas/ sucursales	NA	7	7	7	NA	7	No	NA	NA	NA	6	Entel	8	"6.	Servicios"	0	8	No
4OoKIOtXkQlY	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	5	PORQUE A VECES NO FUNCIONA EL INTERNET, A VECES LAS LLAMADAS SON DEFECTUOSAS, PRINCIPALMENTE EL PROBLEMA ES CON EL INTERNET.	6	6	5	6	5	5	5	5	No	No	No	Si	No	No	NA	NA	NA	5	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	6	NA	NA	NA	NA	6	Sí	PROBLEMA DE INTERNET, NO HABÍA SERVICIO O MUY LENTO.	No	NA	5	Movistar	4	"3.	Industria"	12	0	No
q1czj1FHbdR7	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	NO TENGO PROBLEMAS Y FUNCIONA .	7	7	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	Entel	7	"1.	Agro"	7	0	No
LiW5MSAO8YJg	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	6	BUEN SERVICIO ,PERO NO ES MUY BARATO. ES QUE HE VISTO ...DE HECHO YA UNA VEZ BAJE UNA TARIFA Y VOY A HACER LO MISMO . OTRAS COMPAÑÍAS TIENEN PLANES MAS BAJO EL MISMO QUE SOY YO ,SIMILAR A MINUTOS. PERO PAGAN MAS BARATO ,O SEA COBRAN. NO HE TENIDO PROBLEMAS DE SERVICIO.	7	7	7	7	4	4	4	7	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	7	NA	7	Sí	COBERTURA NO CONECTA LAS LLAMADAS . NO TENIA INTERNET. NO TENIA ANTENA EN EL SECTOR DONDE ESTÁBAMOS. NO TENÍAMOS ACCESO A LA RED. NO NADA, PORQUE VOLVIÓ PRONTO NO FUE GRAVE. VOLVIÓ EN UNA HORA.	No	NA	6	Entel	8	"7.	Transporte"	4	0	Sí
K6GOOg8zhvB8	Mas	MICRO	Entel	SI -> CONTINUAR	Entel,Otros	6	PORQUE NO  SERVICIO BUENO ,PERO DE REPENTE  EL INTERNET  NO ES TAN EFECTIVO,  AVECES  CAE O FALLA .	6	6	6	6	6	6	6	6	No	Si	No	No	No	No	NA	6	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	6	NA	6	No	NA	NA	NA	6	Entel	9	"7.	Transporte"	30	0	No
yA7TLC3gvbqt	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	4	POR LA MALA COBERTURA EN BANDA ANCHAS.	5	6	3	4	4	4	4	6	No	No	No	No	Si	No	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	2.Call center	NA	NA	5	NA	NA	NA	7	No	NA	NA	NA	6	Entel	0	"1.	Agro"	10	0	No
