enciptado	Segmento GOL	Sexo_enc	F1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	P11. Tiene contratado :...5	P11. Tiene contratado :...6	P11. Tiene contratado :...7	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...8	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...9	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...10	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...11	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...12	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...13	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...14	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...15	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...16	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...17	P2.1 Con quien tiene contratado el servicio de: Internet Banda Ancha :...18	Internet Banda Ancha : OTROS	P2.2 Con quien tiene contratado el servicio de: MPLS...20	P2.2 Con quien tiene contratado el servicio de: MPLS...21	P2.2 Con quien tiene contratado el servicio de: MPLS...22	P2.2 Con quien tiene contratado el servicio de: MPLS...23	P2.2 Con quien tiene contratado el servicio de: MPLS...24	P2.2 Con quien tiene contratado el servicio de: MPLS...25	P2.2 Con quien tiene contratado el servicio de: MPLS...26	P2.2 Con quien tiene contratado el servicio de: MPLS...27	P2.2 Con quien tiene contratado el servicio de: MPLS...28	P2.2 Con quien tiene contratado el servicio de: MPLS...29	P2.2 Con quien tiene contratado el servicio de: MPLS...30	MPLS: OTROS	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...32	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...33	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...34	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...35	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...36	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...37	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...38	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...39	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...40	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...41	P2.3 Con quien tiene contratado el servicio de: Telefonía fija...42	Telefonía Fija : OTROS	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P5_Entel es una empresa con buena imagen en general :	P5_Entel  Entrega un servicio confiable y transparente, centrado en las necesidades de las empresas' :	P5_Entel  Entrega soluciones prácticas e intuitivas que simplifican el día a día de las empresas :	P5_Entel Acerca a las empresas a la tecnología y sus posibilidades de transformación :	P5_Entel Se preocupa por su impacto en el medioambiente, las personas y la sociedad…..' :	P6 Pensando en el funcionamiento del servicio, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?	P7_Precio de los servicios en relación al mercado (Competitividad) :	P7_Competitividad de planes en cuanto a minutos (telefonía fija) :	P7_Competitividad de planes en cuanto a Internet banda ancha :	P8 Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?	P9 En cuanto a la Facturación de sus servicios fijos con la misma escala¿Cómo evalúa el proceso de facturación en general?	P10_1_Ha realizado atención de: Contratación de nuevos servicios	P10_2_Ha realizado atención de: Solicitar aumentos o disminuciones  de velocidad (cambios de plan)	P10_3_Ha realizado atención de: Solicitar traslados de sus servicios fijos	P10_4_Ha realizado atención de: Consultas del contrato/ alcances del contrato/ condiciones del contrato	P10_5_Ha realizado atención de: Consultas sobre seguimiento o estado de solicitudes	P10_6_Ha realizado atención de: 'Consultas de la factura, como fecha pago, montos, detalles de cobros'	P10_7_Ha realizado atención de: Reclamos por fallas  técnicas de los servicios fijos	P10_8_Ha realizado atención de: Reclamos comerciales	P11_1_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Contratación de nuevos servicios	P11_2_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Solicitar aumentos o disminuciones  de velocidad (cambios de plan)	P11_3_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Solicitar traslados de sus servicios fijos	P11_4_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Consultas del contrato/ alcances del contrato/ condiciones del contrato	P11_5_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Consultas sobre seguimiento o estado de solicitudes	P11_6_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? 'Consultas de la factura, como fecha pago, montos, detalles de cobros	P11_7_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Reclamos por fallas  técnicas de los servicios fijos	P11_8_Que tan satisfecho quedó con el servicio dado por Entel a esta solicitud o atención? Reclamos comerciales	P12_1_Cuál o cuáles de los siguientes medios utilizó?...73	P12_1_Cuál o cuáles de los siguientes medios utilizó?...74	P12_1_Cuál o cuáles de los siguientes medios utilizó?...75	P12_1_Cuál o cuáles de los siguientes medios utilizó?...76	P12_1_Cuál o cuáles de los siguientes medios utilizó?...77	P12_2_Cuál o cuáles de los siguientes medios utilizó?...78	P12_2_Cuál o cuáles de los siguientes medios utilizó?...79	P12_2_Cuál o cuáles de los siguientes medios utilizó?...80	P12_2_Cuál o cuáles de los siguientes medios utilizó?...81	P12_2_Cuál o cuáles de los siguientes medios utilizó?...82	P12_3_Cuál o cuáles de los siguientes medios utilizó?...83	P12_3_Cuál o cuáles de los siguientes medios utilizó?...84	P12_3_Cuál o cuáles de los siguientes medios utilizó?...85	P12_3_Cuál o cuáles de los siguientes medios utilizó?...86	P12_3_Cuál o cuáles de los siguientes medios utilizó?...87	P12_4_Cuál o cuáles de los siguientes medios utilizó?...88	P12_4_Cuál o cuáles de los siguientes medios utilizó?...89	P12_4_Cuál o cuáles de los siguientes medios utilizó?...90	P12_4_Cuál o cuáles de los siguientes medios utilizó?...91	P12_4_Cuál o cuáles de los siguientes medios utilizó?...92	P12_5_Cuál o cuáles de los siguientes medios utilizó?...93	P12_5_Cuál o cuáles de los siguientes medios utilizó?...94	P12_5_Cuál o cuáles de los siguientes medios utilizó?...95	P12_5_Cuál o cuáles de los siguientes medios utilizó?...96	P12_5_Cuál o cuáles de los siguientes medios utilizó?...97	P12_6_Cuál o cuáles de los siguientes medios utilizó?...98	P12_6_Cuál o cuáles de los siguientes medios utilizó?...99	P12_6_Cuál o cuáles de los siguientes medios utilizó?...100	P12_6_Cuál o cuáles de los siguientes medios utilizó?...101	P12_6_Cuál o cuáles de los siguientes medios utilizó?...102	P12_7_Cuál o cuáles de los siguientes medios utilizó?...103	P12_7_Cuál o cuáles de los siguientes medios utilizó?...104	P12_7_Cuál o cuáles de los siguientes medios utilizó?...105	P12_7_Cuál o cuáles de los siguientes medios utilizó?...106	P12_7_Cuál o cuáles de los siguientes medios utilizó?...107	P12_8_Cuál o cuáles de los siguientes medios utilizó?...108	P12_8_Cuál o cuáles de los siguientes medios utilizó?...109	P12_8_Cuál o cuáles de los siguientes medios utilizó?...110	P12_8_Cuál o cuáles de los siguientes medios utilizó?...111	P12_8_Cuál o cuáles de los siguientes medios utilizó?...112	P13_1_¿Con que nota de 1 a 7, evalúa el servicio dado por el … ejecutivo?	P13_2_¿Con que nota de 1 a 7, evalúa el servicio dado por el …call center?	P13_3_¿Con que nota de 1 a 7, evalúa el servicio dado por la… web con clave?	P13_4_¿Con que nota de 1 a 7, evalúa el servicio dado por la…tienda/sucursal?	P141. Que ejecutivo sabe usted que tiene	P142. Que ejecutivo sabe usted que tiene	P143. Que ejecutivo sabe usted que tiene	P144. Que ejecutivo sabe usted que tiene	P145. Que ejecutivo sabe usted que tiene	P151. Ha tenido contacto en los últimos 6 meses con su: Ejecutivo comercial	P152. Ha tenido contacto en los últimos 6 meses con su: Ejecutivo atención	P153. Ha tenido contacto en los últimos 6 meses con su: Círculo atención preferente	P154. Ha tenido contacto en los últimos 6 meses con su: Ejecutivo pero desconoce función	P161. Como evalúa a su: Ejecutivo comercial	P162. Como evalúa a su: Ejecutivo atención	P163. Como evalúa a su: Círculo atención preferente	P164. Como evalúa a su: Ejecutivo pero desconoce función	P17 Pensando en esta forma que Entel atiende su empresa y a usted como administrador de la cuenta… Usted diría que este modelo …	P18. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?	P19. ¿Qué problemas ha tenido?	P20. Pensando en el problema que tuvo ¿lo comunicó a Entel?	P21. ¿Y fue solucionado su problema?	P22. Y con nota de 1 a 7 ¿Cómo evalúa la Calidad de la Solución entregada por ENTEL?	P23. 23. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?	P24. Pensando en los últimos Ha empeorado meses, Usted diría que el servicio entregado por Entel	P25. En una escala de 0 a 10, donde 0 es nada probable y 10 es muy probable, ¿Qué tan probable es que recomiende nuestra empresa, producto o servicios a un amigo o colega?	P26. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	P27. ¿Cuántos empleados tiene su empresa?	P28. ¿Cuál es el rubro de su empresa?	P29. ¿Hace cuánto tiempo que tiene esta cuenta con Entel?	P30. ¿Ciudad o Comuna de Ubicación de su Empresa?	P35 REGION
mG3MY5nBjCLH	Mas	Hombre	1	Internet banda ancha	NA	NA	Entel	VTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	PORQUE NO TENEMOS PROBLEMAS MAS QUE TODO CON LA TELEFONÍA MÓVIL QUE ES LA QUE MANEJO MAS EN LA EMPRESA Y EN CUANTO AL SERVICIO DE INTERNET BANCA ANCHA LA RAPIDEZ Y LA COMUNICACIÓN.	7	7	7	7	5	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	1	6	SEGUROS	15 AÑOS	ARICA	Regiones
JQ0XUQY312rr	MV	Hombre	1	Internet banda ancha	NA	NA	Entel	VTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	PORQUE NO HE TENIDO MAYOR PROBLEMA EN CUANTO AL SERVICIO	6	7	7	6	99	5	6	5	6	6	5	Si	No	Si	Si	Si	Si	No	Si	7	NA	5	6	5	5	NA	5	Ejecutivo asignado	NA	NA	NA	NA	NA	NA	NA	NA	NA	Call center	NA	NA	NA	NA	Call center	NA	NA	NA	NA	Call center	NA	NA	NA	NA	Call center	NA	NA	NA	NA	NA	NA	NA	NA	NA	Call center	NA	NA	NA	NA	6	5	NA	NA	Ejecutivo Comercial	CAP	NA	NA	NA	1	NA	1	NA	5	NA	6	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	6	Está igual	8	2	100	VENTAS AL DETALLE POR MENOR	NO SE LLEVO 6  MESES EN EL CARGO	ESTACIÓN CENTRAL	Santiago
uTAwPO9mAYXr	Mas	Mujer	1	Internet banda ancha	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	PORQUE HAY VECES QUE ESTÁ MUY LENTO EL INTERNET.	7	7	5	6	5	6	6	6	6	6	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Si	LO ÚNICO QUE HAY DÍAS RELATIVAMENTE QUE ESTÁ MUY LENTO.	No	NA	NA	5	Está igual	6	2	1	CONSULTA MÉDICA	UN AÑO	SANTIAGO	Santiago
pHrZNpDCqo25	MV	Hombre	1	Internet banda ancha	Telefonía fija	NA	Entel	VTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	VTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	PORQUE HE QUERIDO CAMBIAR EL VALOR TELEFÓNICO VARIAS VECES Y ES MUY DIFÍCIL CONTACTARME CON ALGUIEN POR TELÉFONO, DE HECHO NUNCA ME HE CONECTADO CON NADIE EN LO QUE VA DEL AÑO.	7	7	4	4	99	3	99	99	99	4	7	No	Si	No	No	No	No	No	No	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Call center	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	No tiene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	1	23	INGENIERÍA	15 AÑOS	CALABA	Regiones
My8NHFu7fgD6	Mas	Hombre	1	Internet banda ancha	Telefonía fija	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	PORQUE EL INTERNET HA FALLADO MUCHO EN ESTE ULTIMO TIEMPO. (NO DA MAS INFORMACIÓN)	5	3	3	7	3	2	7	7	7	3	3	Si	Si	Si	No	No	No	No	Si	2	3	3	NA	NA	NA	NA	3	Call center	NA	NA	NA	NA	Call center	NA	NA	NA	NA	Call center	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Call center	Tienda sucursal	NA	NA	NA	NA	3	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Si	EL INTERNET NO FUNCIONA Y LAS FACTURAS NO LLEGAN.	Si	No fue solucionado	NA	3	Ha empeorado	1	1	50	SERVICIO DE MINERÍA	15	ANTOFAGASTA	Regiones
5VO4mJeKbJpy	Mas	Hombre	1	Internet banda ancha	Telefonía fija	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	POR UN TEMA QUE NUNCA HE TENIDO PROBLEMAS NI DE CONECTIVIDAD, NI NADA, HAN SIDO CASOS PUNTUALES DE LOS INCENDIOS GRANDES QUE HUBIERON, QUE QUEDAMOS CON PROBLEMAS DE CONECTIVIDAD PERO DEL RESTO NADA, SIEMPRE HA ESTADO CONECTADO, ASÍ QUE ES UNA COMPAÑÍA QUE NO PRESENTA TANTOS PROBLEMAS.	7	7	7	7	7	6	6	7	7	6	6	No	No	No	No	Si	Si	No	No	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Call center	Web con clave	NA	NA	NA	Web con clave	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	1	1	CONTADOR	20 AÑOS	LOS ANGELES	Regiones
aoEPcQQneLNL	MP	Hombre	1	Internet banda ancha	Telefonía fija	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA, TENGO EL SERVICIO QUE CONTRATÉ . (NO DA MÁS INFORMACIÓN).	7	7	7	7	99	7	7	7	7	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Desconoce función	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	7	Está igual	7	1	10	AGENCIA DE ADUANA	3 O 4 AÑOS APROXIMADAMENTE	SANTIAGO	Santiago
oJMcLMdy0TTr	MP	Hombre	1	Internet banda ancha	Telefonía fija	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	PORQUE CUANDO ME OFRECIERON EL PLAN, ME OFRECIERON ALGO QUE NUNCA ME OFRECIERON, ES DECIR RECIBÍ ALGO QUE SUPUESTAMENTE NO ESTABA DENTRO DE LO QUE ME HABÍAN OFRECIDO, ME HABÍAN OFRECIDO MAS DE LO QUE YO RECIBÍ.	6	5	5	6	6	2	5	5	4	1	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial	CAP	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	Si	SE CAE Y ES MUY LENTO EL INTERNET.	Si	No fue solucionado	NA	3	Está igual	4	1	3	TURISMO	1 AÑO Y 4 MESES	SAN PEDRO DE ATACAMA	Regiones
mOffqRQzQKF9	MV	Mujer	1	Internet banda ancha	Telefonía fija	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Entel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	PORQUE EN MUCHAS OCASIONES SE CAE MUCHO LA CONEXIÓN Y PORQUE ES DEMASIADO COSTOSO.	6	6	5	4	1	5	5	1	1	3	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ejecutivo Comercial	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	2	Ha empeorado	5	1	10	HOTELERIA	20 AÑOS	SAN PEDRO DE TACAMA	Regiones
61Q8PvcpjpEP	MV	Mujer	1	Internet banda ancha	Telefonía fija	NA	Claro/Telmex	Entel	Telefónica/Movistar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Telefónica/Movistar	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	PORQUE EL PRECIO ES MUY ALTO, PUES AL SERVICIO.	4	5	6	4	1	4	5	4	5	5	4	Si	No	No	No	No	No	No	No	4	NA	NA	NA	NA	NA	NA	NA	Tienda sucursal	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No tiene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Si	REALMENTE PROBLEMAS DE COBERTURA.	No	NA	NA	4	Está igual	1	2	11	SERVICIO FINANCIERO	5 AÑOS	ANWELL	Regiones
