encriptado	SEG_GOL	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?
mG3MY5nBjCLH	Mas	Hombre	7	PORQUE NO TENEMOS PROBLEMAS MAS QUE TODO CON LA TELEFONÍA MÓVIL QUE ES LA QUE MANEJO MAS EN LA EMPRESA Y EN CUANTO AL SERVICIO DE INTERNET BANCA ANCHA LA RAPIDEZ Y LA COMUNICACIÓN.
JQ0XUQY312rr	MV	Hombre	7	PORQUE NO HE TENIDO MAYOR PROBLEMA EN CUANTO AL SERVICIO
uTAwPO9mAYXr	Mas	Mujer	6	PORQUE HAY VECES QUE ESTÁ MUY LENTO EL INTERNET.
pHrZNpDCqo25	MV	Hombre	5	PORQUE HE QUERIDO CAMBIAR EL VALOR TELEFÓNICO VARIAS VECES Y ES MUY DIFÍCIL CONTACTARME CON ALGUIEN POR TELÉFONO, DE HECHO NUNCA ME HE CONECTADO CON NADIE EN LO QUE VA DEL AÑO.
My8NHFu7fgD6	Mas	Hombre	5	PORQUE EL INTERNET HA FALLADO MUCHO EN ESTE ULTIMO TIEMPO. (NO DA MAS INFORMACIÓN)
5VO4mJeKbJpy	Mas	Hombre	7	POR UN TEMA QUE NUNCA HE TENIDO PROBLEMAS NI DE CONECTIVIDAD, NI NADA, HAN SIDO CASOS PUNTUALES DE LOS INCENDIOS GRANDES QUE HUBIERON, QUE QUEDAMOS CON PROBLEMAS DE CONECTIVIDAD PERO DEL RESTO NADA, SIEMPRE HA ESTADO CONECTADO, ASÍ QUE ES UNA COMPAÑÍA QUE NO PRESENTA TANTOS PROBLEMAS.
aoEPcQQneLNL	MP	Hombre	7	PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA, TENGO EL SERVICIO QUE CONTRATÉ . (NO DA MÁS INFORMACIÓN).
oJMcLMdy0TTr	MP	Hombre	2	PORQUE CUANDO ME OFRECIERON EL PLAN, ME OFRECIERON ALGO QUE NUNCA ME OFRECIERON, ES DECIR RECIBÍ ALGO QUE SUPUESTAMENTE NO ESTABA DENTRO DE LO QUE ME HABÍAN OFRECIDO, ME HABÍAN OFRECIDO MAS DE LO QUE YO RECIBÍ.
mOffqRQzQKF9	MV	Mujer	5	PORQUE EN MUCHAS OCASIONES SE CAE MUCHO LA CONEXIÓN Y PORQUE ES DEMASIADO COSTOSO.
61Q8PvcpjpEP	MV	Mujer	5	PORQUE EL PRECIO ES MUY ALTO, PUES AL SERVICIO.
jZxCCBOcpSAF	MV	Hombre	3	PORQUE EL SERVICIO ES MALO, TIENE PROBLEMAS, DICE QUE VENDE 40 MEGAS O 50 MEGAS Y NUNCA LLEGA A ESE TOPE, TIENE UNA SERIE DE PROBLEMAS.
47SM7EdWBtbi	Mas	Mujer	5	PORQUE NO ESTOY MUY INSATISFECHA Y NADA, ES UN TÉRMINO Y MEDIO. NADA, ES QUE NO ESTOY INSATISFECHA CON NADA, SOLAMENTE NO ESTOY SATISFECHA, NIVEL MEDIO. (NO DA MÁS INFORMACIÓN).
9LmbQ0fQmQFj	Mas	Hombre	7	POR QUE ES BUENO, EN TODO, NO SABRÍA DECIRTE, PERO ES BUENO EN TODO. (NO DA MÁS INFORMACIÓN)
VjkhEOAI07rw	Mas	Hombre	5	PORQUE TENGO PROBLEMA CON EL INTERNET, SE CAE, TENGO PROBLEMA DESDE LA MAÑANA HASTA LAS 3 DE LA TARDE POR AHÍ.
CqUhjkln5Xay	MP	Hombre	6	PORQUE EL SERVICIO ES BASTANTE ROBUSTO EN CUANTO A LA CONECTIVIDAD, NO PRESENTA MAYORES PROBLEMAS, CAÍDAS NI NADA, SE ENTREGA LO QUE SE OFRECE, PERO EL ÚNICO PROBLEMA ES QUE EL PRECIO ES DEMASIADO ELEVADO.
t0MZ0u59oed2	Mas	Hombre	6	POR QUE LA VERDAD EL SERVICIO ES BASTANTE BUENO, ES RÁPIDO Y NO SE CAE.
xp4lnvXmzfg4	Mas	Hombre	7	PORQUE TODO BIEN, ME FUNCIONA TODO BIEN, POR LO GENERAL ME LLEGA BIEN, NO TENGO PROBLEMAS CON EL INTERNET, EL TELÉFONO CUANDO LO INSTALAN ME LLAMAN, O SEA CUMPLE CON LA FUNCIÓN QUE TIENE QUE CUMPLIR, ESTÁ BIEN.
l5WdcBQmVcR9	MV	Hombre	5	PORQUE PAGO TRES  TELEFONOS, Y LAS VECES QUE HE IDO A PAGAR DEBERÍA PAGAR MAXIMO 75 Y EN LOS ÚLTIMOS HEMOS PAGADO 100 Y NADIE ME DA RESPUESTA, HE TRATADO DE DAR DE  BAJA A UN TELEFONO UN PLAN, TENGO QUE LLAMAR A OTRO NUMERO, ATENCIÓN A EMPRESAS, LES DIGO QUE QUIERO DAR DE BAJA, SOLO ESO, ME DICEN QUE NO ME PUEDEN DAR DE BAJA A LOS TELEFONOS.
