encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32
DJPpb4hL1jKk	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	1	PORQUE NO CUMPLEN CON ALGUNOS ESTÁNDARES DE CONFIABILIDAD HACIA SUS CLIENTES, POR EJEMPLO EN LOS CAMBIOS DE EQUIPO CUANDO UNO TIENE UN CONTRATO CON ELLOS, SE SUPONE QUE EL EQUIPO DEBA SER MÁS BARATO.	No cumplen lo ofrecido/no respetan valores/ engañan,Es caro/ planes caros	3	3	4	5	4	INTERNET BANDA ANCHA	3	NS/NR	NS/NR	NS/NR	1	5	No	No	No	No	No	No	No	Sí	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	1	Ha empeorado	0	4	TRANSPORTE	20 AÑOS	QUILICURA	REPRESENTANTE LEGAL
4HUuw8rJznfG	PEQUEÑA	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE CREO QUE PUEDEN MEJORAR, BÁSICAMENTE EN LA ATENCIÓN AL CLIENTE, EN LA PREOCUPACIÓN, OFRECER LAS COSAS NUEVAS, LAS MEJORAS, MANTENER UN POCO EL POST VENTA.	No es perfecto/ podría ser mejor,Mal servicio de los ejecutivos/ atención/ contacto,No tiene contacto con los clientes/ difícil contactarse con la cia.,Mal servicio post venta	7	7	4	4	5	INTERNET BANDA ANCHA	7	6	5	7	6	6	Sí	No	No	No	No	Sí	No	No	6	NA	NA	NA	NA	6	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	6	NA	6	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	6	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	18	ADUANERO	4 AÑOS	SANTIAGO CENTRO	AGENTE DE ADUANAS
DMVxnhB0yQk3	PEQUEÑA	MasPrem	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	1	PORQUE TUVE EN EL MES DE ENTRE MAYO Y JUNIO UN PROBLEMA PUNTUAL EN LA CONEXIÓN O EN EL FONDO LA CANTIDAD, DONDE YO VIVO HABÍA UN PROBLEMA CON LAS ANTENAS DE ENTEL Y LAS PERSONAS Y LOS TELÉFONOS QUE YO TENGO ASOCIADOS A MI CUENTA TUVIERON EL MISMO PROBLEMA, LLAME MUCHAS VECES PARA PODER SOLUCIONARLO O PARA REPORTARLO, ME DIJERON QUE IBAN A HACER UN DESCUENTO O UNA ATENCIÓN EN LA FACTURA DEL MES SIGUIENTE Y CUANDO LLEGO EL MES SIGUIENTE ME DIJERON QUE NO QUE REALMENTE NO SE PODÍA HACER NADA PORQUE NO ESTABA COMO REGISTRADO Y SI ESTABA REGISTRADO, DE HECHO YO TENÍA NÚMEROS DE REPORTE MÁS  DE UNO TUVE MUCHOS NÚMEROS DE REPORTE Y NO RESPETARON NADA, LA FALTA DE COMPROMISO CON EL CLIENTE.	Problemas de conectividad/ conexión/ comunicación,Demora en soluciones,No reembolsan por cortes del servicio,No cumplen lo ofrecido/no respetan valores/ engañan	1	1	1	5	1	INTERNET BANDA ANCHA	4	3	3	3	1	1	No	Sí	No	Sí	Sí	No	Sí	Sí	NA	3	NA	3	1	NA	2	1	NA	A través del Call center, empresa línea 600, línea 800	NA	En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	3	Está Igual	0	6	TELECOMUNICACIONES	10 AÑOS	SANTIAGO	DUEÑA
8DyS07z7EgNR	MICRO	Mas	NS/NR	Mujer	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE NUNCA HA FALLADO, YA QUE SIEMPRE HAY INTERNET Y LA TELEFONÍA FIJA.	No ha tenido problemas/ conforme/ todo bien,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	7	7	7	7	7	INTERNET BANDA ANCHA	7	6	6	6	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	4	DISEÑO	8 AÑOS	NO DA INFORAMCIÓN	NO DA CARGO
nG7PXvP5yyO0	MICRO	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE DE REPENTE SE CAE EL SERVICIO DEL BANDA ANCHA.	Problemas de conectividad/ conexión/ comunicación,Se cae el servicio/ se corta/ intermitente	5	5	5	5	5	INTERNET BANDA ANCHA	5	5	5	5	5	5	No	Sí	No	No	Sí	No	Sí	Sí	NA	5	NA	NA	5	NA	5	5	NA	En tienda/ sucursales	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	5	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	SERVICIO DE BANDA ANCHA QUE SE CAE, AUMENTÉ LA CAPACIDAD Y LA CAPACIDAD PARECE QUE NO RESULTÓ, PORQUE ME DOY CUENTA CON LOS APARATOS QUE TENGO EN INTERNET Y NO TODOS ME TRABAJAN A LA MISMA VELOCIDAD.	Problemas con banda ancha,Caída del sistema/ servicio,Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	5	Ha empeorado	5	4	INFORMÁTICO	6 AÑOS.	SAN MIGUEL, SANTIAGO.	SOCIA DE LA EMPRESA
KRFmeI1dyuSo	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE HEMOS TENIDO ALGUNO PROBLEMAS EN EL SERVICIO DE POS VENTA.	Mal servicio técnico	6	6	5	5	5	INTERNET BANDA ANCHA	6	6	6	6	6	6	Sí	Sí	No	Sí	No	No	Sí	Sí	6	6	NA	6	NA	NA	6	6	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	PROBLEMAS TÉCNICOS EN LAS CONEXIONES EN LA SEÑAL	Problemas técnicos/ fallas,Conectividad/ conexión,Mala señal/ problemas de señal	Sí	Si fue solucionado	5	6	Está Igual	7	3	SEGUROS	5 AÑOS	VALPARAÍSO	DUEÑA
ffpdOK4YzUOa	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	4	PORQUE EL INTERNET SE CAE SIEMPRE, ES INTERMITENTE Y SIEMPRE HAY QUE LLAMAR, SIEMPRE HAY QUE RECLAMAR, SIEMPRE LO TIENEN QUE VER Y TODO ESO.	Mal servicio internet/ se cae/ lento/ falla,Se cae el servicio/ se corta/ intermitente	5	4	5	3	3	INTERNET BANDA ANCHA	2	4	4	3	3	4	No	Sí	No	No	Sí	Sí	Sí	Sí	NA	3	NA	NA	3	4	1	2	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	TENGO INTERMITENCIA EN EL INTERNET.	Problemas con internet/ caídas/ internet lento	Sí	Está en trámite	NA	2	Ha empeorado	0	10	ESTÉTICA	3 AÑOS	LAS CONDES	SUBGERENTE
zRp0UrpCjH2k	MEDIANA	Mas	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	5	HAY PROBLEMAS CON EL SERVICIO,  HAY PROBLEMAS CON LA PROMESA DE VENTA CALIDAD DE CADA UNO DE LOS SERVICIOS MENCIONADO ANTERIORMENTE Y LA ATENCIÓN A LOS ASPECTOS DE SERVICIO A CLIENTE HA IDO BAJANDO, TENÍA UNAS EXPECTATIVAS DISTINTAS. LA CALIDAD DEL INTERNET CON RESPECTO A LA VELOCIDAD EN ALGUNOS MOMENTOS A LA NULA COBERTURA EN ALGUNOS SECTORES.	Mal servicio,No cumplen lo ofrecido/no respetan valores/ engañan,Mala atención,Mal servicio internet/ se cae/ lento/ falla,Mala cobertura	6	6	5	5	6	INTERNET BANDA ANCHA	5	5	6	5	5	5	No	No	No	No	No	Sí	Sí	Sí	NA	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	NA	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	COBERTURA, CALIDAD DEL SERVICIO.	Mala cobertura/ problemas de cobertura,Malos servicios	Sí	No fue solucionado	NA	5	Está Igual	6	99	NO DA RESPUESTA	NO DA RESPUESTA	NO DA RESPUESTA	NO DA RESPUESTA
aoEPcQQneLNL	PEQUEÑA	MP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	NO TENGO PROBLEMAS, AL SERVICIO.	No ha tenido problemas/ conforme/ todo bien	7	7	7	7	3	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	7	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	14	SERVICIO.	11 AÑOS.	SANTIAGO, CENTRO	DUEÑO
heYvmrM1lJgJ	PEQUEÑA	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE SIEMPRE PUEDEN MEJORAR, ALGUNAS VECES SE CAE EL SERVICIO, ESO NO MÁS POR QUE EL SERVICIO DE INTERNET A VECES SE CAE, Y SE MANDA  REPOSICIÓN PERO A VECES FUNCIONA LA MITAD.	No es perfecto/ podría ser mejor,Se cae el servicio/ se corta/ intermitente,Mal servicio internet/ se cae/ lento/ falla	5	6	6	4	4	INTERNET BANDA ANCHA	6	6	6	5	6	6	No	No	No	No	No	Sí	Sí	Sí	NA	NA	NA	NA	NA	6	5	5	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	PROBLEMAS DE LA PLATAFORMA, ES UNA PÁGINA WEB, GESTIÓN DE FRUTA.ENTEL.CL Y PROBLEMAS DE CAÍDA DE INTERNET.	Problemas con el modem/ router,Conectividad/ conexión,Caída del sistema/ servicio,Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	6	6	Está Igual	7	15	DISTRIBUIDORA	COMO UN AÑO Y MEDIO	COQUIMBO	ADMINISTRADOR
