encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18Aa[{_1}].Rp	P18Aa[{_2}].Rp	P18Aa[{_3}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32	Fecha Enc
nOdib5mnaszB	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	2	PORQUE EL SERVICIO ES MALO POR QUE LE PRESTAN EL SERVICIO COMPLETO,CONTRATO 90 GB Y LE DIERON 40GB	Mal servicio	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	1. Muy insatisfecho	2	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	NA	NA	3	Sí	NO LE ENTREGA LO CONTRATADO,LENTO SE LE CAE EL SISTEMA DE BANDA ANCHA	Lento/ lentitud/ demoran,Caída del sistema/ servicio,Problemas con banda ancha,No cumplen lo que prometen	Sí	Si fue solucionado	NA	3	NA	NA	NA	NA	NA	SEPTIMA REGION COMUNA URIGUO	NA	V2. POST CRISIS
htxKp0BTKJyF	PYME	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Claro/ Telmex	NA	Claro/ Telmex	NA	NA	NA	5	"ES QUE LO ENCUENTRO MUY IMPERSONAL; ME REFIERO A QUE ME LLEGA LA CUENTA SE PAGA Y NADA MAS, NO TENGO EJECUTIVO, LAS VECES QUE HE TENIDO PROBLEMAS SE HA SOLUCIONADO MEDIO SOLO, A ESO ME REFIERO, NO HAY UN FEEDBACK, NO HAY NADA."	Mal servicio de los ejecutivos/ atención/ contacto	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	5	5	6	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	"CAÍDA DE SEÑAL, CAÍDA DEL SISTEMA; BANDA ANCHA."	Mala señal/ problemas de señal,Problemas con banda ancha,Caída del sistema/ servicio	No	NA	NA	6	Está Igual	6	5	IMPORTACION Y VENTAS AL DETALLE	3 AÑOS	IQUIQUE	DUEÑO	V1. PRE CRISIS
mdzUOyebbLjg	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	4	PORQUE ANTES ERAN MEJOR AHORA ESTÁN MUY MAL EN POCA REGALÍA PARA EL CLIENTE, POCA BUENA ATENCIÓN, ESTOY TRATANDO DE CONSEGUIR UN TELÉFONO Y TODAVÍA ME TIENEN AHÍ, MAL SERVICIO EN LA ATENCIÓN AL CLIENTE, YA NO SON LOS DE ANTES	Mala atención	4	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	3	4	3	2	4	Sí	No	NA	No	No	No	No	Sí	2	NA	NA	NA	NA	NA	NA	2	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	3	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	BAJA DE INTERNET, INTERMITENCIA, INTERMITENTE EN EL INTERNET, LENTOS, SE CAE, VUELVE, MUY REGULAR	Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	3	Ha empeorado	3	3	COMERCIAL Y SERVICIOS AUTOMOTRIZ	12 AÑOS	VIÑA DEL MAR	DUEÑO	V1. PRE CRISIS
DJPpb4hL1jKk	MICRO	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	"UNA VEZ QUE CAMBIÉ EL CELULAR, NO ME LO QUISIERON CAMBIAR POR EL PLAN QUE YO TENGO, ME LO VENDIERON PREPAGO Y AHORA ÚLTIMO ME ATRASÉ DOS DÍAS EN PAGAR LA CUENTA, LA PAGUÉ Y ME COBRARON LA CUENTA VENCIDA Y LA POR VENCER; BUENO PORQUE ES LA MISMA EMPRESA, PORQUE NO ES GLOBAL NO PRESTAN UN BUEN SERVICIO EN TODO, POR ESO LE PONGO UN 5. USTED ME HABLA ESPECÍFICAMENTE DE LOS FIJOS, DE ESO NO PUEDO HABLAR MUCHO PORQUE ESO NO HA FALLADO, PERO YO HABLO COMO ENTEL QUE TIENE TANTOS SERVICIOS INVOLUCRADOS Y LE PONGO UN 5 POR ESO, TIENE SU NEGOCIO PUESTO EN VARIAS CANASTAS DE LAS CUALES NO TODAS SON BUENAS, POR ESO LE PONGO UN 5; NO, EN REALIDAD ESE FIJO DE BANDA ANCHA NO HE TENIDO PROBLEMA, AUNQUE A VECES, DE REPENTE SE VA LA SEÑAL NO TENEMOS IDEA PORQUE, NO TENEMOS SERVICIOS, NO PODEMOS HACER NADA, NO TENEMOS SERVICIOS NO MÁS CUANDO NO HAY SEÑAL."	Mal servicio,Mala señal	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	NA	2	2	Sí	SE VA EL INTERNET, NO TENGO SEÑAL, O SEA, NO PODEMOS TRABAJAR Y DE REPENTE VUELVE EN COSA COMO DE 5 A 10 MINUTOS, O SEA AL INTERNET CUANDO QUIERO ENTRAR, CLARO.	Problemas con internet/ caídas/ internet lento,Mala señal/ problemas de señal	No	NA	NA	3	NA	NA	NA	NA	NA	SANTIAGO, COMUNA DE QUIMICURA.	NA	V2. POST CRISIS
wkDJiXmz87nY	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	3	PORQUE NO HAN LLEGADO LAS FACTURAS, TIENEN PROBLEMAS ADMINISTRATIVOS POR ESO. SI, ES DIFICIL TAMBIEN LA COMUNICACIÓN DIRECTA CON UN EJECUTIVO CASI SIEMPRE UNO SE COMUNICA Y SIEMPRE HAY UNA GRABACIÓN, ES MUY MUY DIFICIL LLEGAR A QUE TE CONTESTE UN EJECUTIVO HUMANO DIGAMOS EN PERSONA, ESO Y EL PROBLEMA DE QUE NO LLEGAN LAS FACTURAS.	Problemas de facturación,No tiene contacto con los clientes/ difícil contactarse con la cia.,No llegan las facturas	3	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	6	3	5	No	No	NA	No	No	Sí	No	Sí	NA	NA	NA	NA	NA	2	NA	1	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	ADMINISTRATIVOS DE FACTURACIÓN.	Facturación/ facturación poco clara	Sí	No fue solucionado	NA	1. Nada dispuesto	Está Igual	0. Nada probable	4	PELUQUERIA Y SALON DE BELLEZA	1 AÑO Y MEDIO	LA REINA SANTIAGO	ADMINISTRADOR	V1. PRE CRISIS
ffpdOK4YzUOa	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	4	PORQUE SE CAE, CADA CIERTO TIEMPO SE CAE LA RED, Y ME QUEDO SIN INTERNET Y TENGO QUE ESTAR LLAMANDO, TIENEN QUE VENIR LO TÉCNICOS Y DE NUEVO Y 15 DÍAS MÁS VUELVE A CAERSE, 10 DÍAS MÁS VUELVE A CAERSE	Se cae el servicio/ se corta/ intermitente	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	2	5	3	5	1	6	No	Sí	NA	No	No	No	Sí	Sí	NA	5	NA	NA	NA	NA	1	1	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	"LA CONECTIVIDAD; EL WIFI, TENGO QUE INGRESAR DE NUEVO LA CLAVE Y VOLVER A INGRESARLO PORQUE SE PIERDE LA SEÑAL"	Conectividad/ conexión,Con wifi,Mala señal/ problemas de señal	Sí	Está en trámite	NA	1. Nada dispuesto	Está Igual	0. Nada probable	8	ESTÉTICA	20 AÑOS	LAS CONDES	GERENTE DE OPERACIONES	V1. PRE CRISIS
DAUHr85NKM5f	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	4	ES UN SERVICIO CARO, A VECES NO CUMPLE LAS FUNCIONES, SE CORTA, CUANDO UNO ESTA OCUPANDO EL INTERNET A VECES SE CORTA.	Mal servicio internet/ se cae/ lento/ falla,Es caro/ planes caros	4	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	4	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	NA	1	1	No	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	SAN PEDRO, ATACAMA.	NA	V2. POST CRISIS
NMuo4iQQCBN8	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	VTR	NA	NA	NA	6	ÚLTIMAMENTE NO HA FUNCIONADO BIEN, SE DEMORA MUCHO EN CONECTARSE EL INTERNET Y HAY MUCHOS PROBLEMAS DE CONECTIVIDAD PARA HACER TRÁMITES, PAGOS Y CUALQUIER TIPO DE SERVICIOS, SE DEMORA UNA ENORMIDAD, ES DEMASIADO LENTO.	Mal servicio internet/ se cae/ lento/ falla,Problemas de conectividad/ conexión/ comunicación,Servicio lento	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	Sí	HE TENIDO PROBLEMA DE CONECTIVIDAD NO HE PODIDO TRABAJAR NORMAL, EL TRABAJO QUE YO HACIA EN UNA HORA LO ESTOY HACIENDO EN CINCO, ES DEMASIADO LENTO EL SERVICIO HOY.	Conectividad/ conexión,Lento/ lentitud/ demoran	Sí	No fue solucionado	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	LA FLORIDA	NA	V2. POST CRISIS
2adU3QVrl2MY	MICRO	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	3	MALA LA SEÑAL. EL WIFI DE LA ÓPTICA, EL ÚNICO QUE FUNCIONA AHÍ ES EL TELÉFONO FIJO. SE VA EL INTERNET. MUY MALA LA SEÑAL, TIENEN POCO SEÑAL DONDE YO TRABAJO.	Mal servicio internet/ se cae/ lento/ falla,Mala señal	4	NA	NA	NA	NA	INTERNET BANDA ANCHA	1. Muy insatisfecho	4	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	Sí	QUEDAMOS SIN WIFI Y QUEDAMOS SIN TELEFONO MODEM. SE VA, DICE SOLO LLAMADAS DE EMERGENCIA O SIN SERVICIO.	Con wifi,Problemas con el servicio telefónico	Sí	No fue solucionado	NA	2	NA	NA	NA	NA	NA	SANTIAGO CENTRO	NA	V2. POST CRISIS
mgC6FJWN5RG8	MICRO	Mas	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE NO ES QUE NO ES 100 POR CIENTO DE BUENA CALIDAD EL SERVICIO QUE PRESTA IGUAL HAY DEFICIS A VECES SE CAE EL SERVICIO O ES MAS LENTO, DIRIA REGULAR YA QUE NO ES MALA PERO TAMPOCO EXCELENTE CUANDO HE TENIDO PROBLEMAS IGUAL SE HAN DEMORADO EL PROBLEMA QUE HE TENIDO	Servicio lento,Se cae el servicio/ se corta/ intermitente,Demora en soluciones	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	4	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	Sí	GENERALMENTE DE BANDA ANCHA DE QUE SE CAE LA PAGINA ESTA MUY LENTO Y ESO, QUE SE DEMORAN EN DESCARGAR Y EN ABRIR O SEA  LA PAGINA SE DEMORA MUCHO EN CARGAR.	Problemas con banda ancha,Lento/ lentitud/ demoran	No	NA	NA	4	NA	NA	NA	NA	NA	CONCEPCION	NA	V2. POST CRISIS
