encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Ciudad_comuna	Cargo
nOdib5mnaszB	MICRO	Mas	REGIONES	Hombre	2	PORQUE EL SERVICIO ES MALO POR QUE LE PRESTAN EL SERVICIO COMPLETO,CONTRATO 90 GB Y LE DIERON 40GB	Mal servicio	SEPTIMA REGION COMUNA URIGUO	NA
htxKp0BTKJyF	PYME	Mas	REGIONES	Hombre	5	"ES QUE LO ENCUENTRO MUY IMPERSONAL; ME REFIERO A QUE ME LLEGA LA CUENTA SE PAGA Y NADA MAS, NO TENGO EJECUTIVO, LAS VECES QUE HE TENIDO PROBLEMAS SE HA SOLUCIONADO MEDIO SOLO, A ESO ME REFIERO, NO HAY UN FEEDBACK, NO HAY NADA."	Mal servicio de los ejecutivos/ atención/ contacto	IQUIQUE	DUEÑO
mdzUOyebbLjg	MICRO	Mas	REGIONES	Hombre	4	PORQUE ANTES ERAN MEJOR AHORA ESTÁN MUY MAL EN POCA REGALÍA PARA EL CLIENTE, POCA BUENA ATENCIÓN, ESTOY TRATANDO DE CONSEGUIR UN TELÉFONO Y TODAVÍA ME TIENEN AHÍ, MAL SERVICIO EN LA ATENCIÓN AL CLIENTE, YA NO SON LOS DE ANTES	Mala atención	VIÑA DEL MAR	DUEÑO
DJPpb4hL1jKk	MICRO	Mas	SANTIAGO	Mujer	5	"UNA VEZ QUE CAMBIÉ EL CELULAR, NO ME LO QUISIERON CAMBIAR POR EL PLAN QUE YO TENGO, ME LO VENDIERON PREPAGO Y AHORA ÚLTIMO ME ATRASÉ DOS DÍAS EN PAGAR LA CUENTA, LA PAGUÉ Y ME COBRARON LA CUENTA VENCIDA Y LA POR VENCER; BUENO PORQUE ES LA MISMA EMPRESA, PORQUE NO ES GLOBAL NO PRESTAN UN BUEN SERVICIO EN TODO, POR ESO LE PONGO UN 5. USTED ME HABLA ESPECÍFICAMENTE DE LOS FIJOS, DE ESO NO PUEDO HABLAR MUCHO PORQUE ESO NO HA FALLADO, PERO YO HABLO COMO ENTEL QUE TIENE TANTOS SERVICIOS INVOLUCRADOS Y LE PONGO UN 5 POR ESO, TIENE SU NEGOCIO PUESTO EN VARIAS CANASTAS DE LAS CUALES NO TODAS SON BUENAS, POR ESO LE PONGO UN 5; NO, EN REALIDAD ESE FIJO DE BANDA ANCHA NO HE TENIDO PROBLEMA, AUNQUE A VECES, DE REPENTE SE VA LA SEÑAL NO TENEMOS IDEA PORQUE, NO TENEMOS SERVICIOS, NO PODEMOS HACER NADA, NO TENEMOS SERVICIOS NO MÁS CUANDO NO HAY SEÑAL."	Mal servicio,Mala señal	SANTIAGO, COMUNA DE QUIMICURA.	NA
wkDJiXmz87nY	MICRO	Mas	SANTIAGO	Hombre	3	PORQUE NO HAN LLEGADO LAS FACTURAS, TIENEN PROBLEMAS ADMINISTRATIVOS POR ESO. SI, ES DIFICIL TAMBIEN LA COMUNICACIÓN DIRECTA CON UN EJECUTIVO CASI SIEMPRE UNO SE COMUNICA Y SIEMPRE HAY UNA GRABACIÓN, ES MUY MUY DIFICIL LLEGAR A QUE TE CONTESTE UN EJECUTIVO HUMANO DIGAMOS EN PERSONA, ESO Y EL PROBLEMA DE QUE NO LLEGAN LAS FACTURAS.	Problemas de facturación,No tiene contacto con los clientes/ difícil contactarse con la cia.,No llegan las facturas	LA REINA SANTIAGO	ADMINISTRADOR
ffpdOK4YzUOa	PYME	Mas	SANTIAGO	Hombre	4	PORQUE SE CAE, CADA CIERTO TIEMPO SE CAE LA RED, Y ME QUEDO SIN INTERNET Y TENGO QUE ESTAR LLAMANDO, TIENEN QUE VENIR LO TÉCNICOS Y DE NUEVO Y 15 DÍAS MÁS VUELVE A CAERSE, 10 DÍAS MÁS VUELVE A CAERSE	Se cae el servicio/ se corta/ intermitente	LAS CONDES	GERENTE DE OPERACIONES
DAUHr85NKM5f	MICRO	Mas	REGIONES	Hombre	4	ES UN SERVICIO CARO, A VECES NO CUMPLE LAS FUNCIONES, SE CORTA, CUANDO UNO ESTA OCUPANDO EL INTERNET A VECES SE CORTA.	Mal servicio internet/ se cae/ lento/ falla,Es caro/ planes caros	SAN PEDRO, ATACAMA.	NA
NMuo4iQQCBN8	MICRO	Mas	SANTIAGO	Hombre	6	ÚLTIMAMENTE NO HA FUNCIONADO BIEN, SE DEMORA MUCHO EN CONECTARSE EL INTERNET Y HAY MUCHOS PROBLEMAS DE CONECTIVIDAD PARA HACER TRÁMITES, PAGOS Y CUALQUIER TIPO DE SERVICIOS, SE DEMORA UNA ENORMIDAD, ES DEMASIADO LENTO.	Mal servicio internet/ se cae/ lento/ falla,Problemas de conectividad/ conexión/ comunicación,Servicio lento	LA FLORIDA	NA
2adU3QVrl2MY	MICRO	Mas	SANTIAGO	Mujer	3	MALA LA SEÑAL. EL WIFI DE LA ÓPTICA, EL ÚNICO QUE FUNCIONA AHÍ ES EL TELÉFONO FIJO. SE VA EL INTERNET. MUY MALA LA SEÑAL, TIENEN POCO SEÑAL DONDE YO TRABAJO.	Mal servicio internet/ se cae/ lento/ falla,Mala señal	SANTIAGO CENTRO	NA
mgC6FJWN5RG8	MICRO	Mas	REGIONES	Mujer	5	PORQUE NO ES QUE NO ES 100 POR CIENTO DE BUENA CALIDAD EL SERVICIO QUE PRESTA IGUAL HAY DEFICIS A VECES SE CAE EL SERVICIO O ES MAS LENTO, DIRIA REGULAR YA QUE NO ES MALA PERO TAMPOCO EXCELENTE CUANDO HE TENIDO PROBLEMAS IGUAL SE HAN DEMORADO EL PROBLEMA QUE HE TENIDO	Servicio lento,Se cae el servicio/ se corta/ intermitente,Demora en soluciones	CONCEPCION	NA
hFRHhb5OI3Eg	MICRO	Mas	REGIONES	Mujer	6	NO NECESARIAMENTE ES TAN EFECTIVA, ES QUE DE REPENTE HAY PROBLEMAS QUE SE CAE LA LÍNEA, INTERNET, QUEDAMOS SIN INTERNET.	Mal servicio internet/ se cae/ lento/ falla	RANCAGUA	NA
VbhoDi4chyWn	MICRO	AP	REGIONES	Hombre	7	POR QUE NO TENGO NINGÚN PROBLEMA CON ELLOS NO TENGO NADA DE QUEJARME POR QUE ME ENCANTA EN TODO LO AMO, NO NADA MAS.	No ha tenido problemas/ conforme/ todo bien	QUIYOTA REGION	NA
9LmbQ0fQmQFj	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE ME HAN ENTREGADO LO QUE YO HE NESECITADO, LOS PRODUCTOS QUE YO PEDI QUE HE SOLICITADO.	Buen servicio/ eficiente	SANTIAGO	DUEÑO
S4n0fnulZXCS	MICRO	Mas	REGIONES	Mujer	6	PORQUE EL TEMA DE SEÑAL ES MÁS QUE NADA EN EL CELULAR, EL INTERNET TAMBIÉN SE CAE MUCHO DE LA EMPRESA, NO TIENE MUY BUENAS OFERTAS COMO MOVISTAR PERO ME GUSTA IGUAL PORQUE EN EL TRABAJO ES LO ÚNICO QUE LLEGA	Mal servicio internet/ se cae/ lento/ falla,Problemas de conectividad/ conexión/ comunicación	ANTOFAGASTA	DUEÑA
nedw5axBc4Ro	MICRO	Mas	SANTIAGO	Mujer	7	PORQUE NUNCA HE TENIDO NI UN PROBLEMA DE CONECTIVIDAD DE TODO NO TENGO PROBLEMA LA VERDAD ES QUE NUNCA LLEVAMOS MUCHOS AÑOS NOSOTROS, MAS DE DIEZ MAS DE QUINCE, ES BUENA ATENCIÓN IGUAL,ES BUENA LA ATENCIÓN DE CLIENTES SI UNO VA COMO CLIENTE PREFERENCIAL.	Buen servicio de internet/ rápido/ estable,Buena atención/ amables	SANTIGO CENTRO	JEFE DE VENTAS
mYYXLjwy27wE	MICRO	Mas	SANTIAGO	Hombre	7	NO HAY DESCONECTIVIDAD NI NADA, FUNCIONAN BIEN, NO HAY DESCONECTIVIDAD Y FUNCIONAN BIEN EN EL MOMENTO PRECISO CUANDO LO NECESITO, EN CUANTO A TELEFONÍA FIJA Y TAMBIÉN EN BANDA ANCHA.	Funciona bien	SANTIAGO, PROVIDENCIA.	NA
