...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …?
       
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
NA	ola	F1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P3	P4	P5[{_a}].Rp	P6	P7[{_1}].Rp	P7[{_2}].Rp	P8	P9[{_1}].Rp	P9[{_2}].Rp	P9[{_3}].Rp	P9[{_4}].Rp	P9[{_5}].Rp	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11_1[{_1}].Rp	P11_1[{_2}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P13[{_1}].rp	P13[{_2}].rp	P13[{_3}].rp	P13[{_4}].rp	P13[{_5}].rp	P14	P15	P16	P17	P18	P19	CORFO_FINAL	P22	P24	P27	P28	CL_GOL	CL_segmento_GOL	CL_SEGMENTO	CL_BASE
encriptado	ola	F1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P3	P4	P5[{_a}].Rp	P6	P7[{_1}].Rp	P7[{_2}].Rp	P8	P9[{_1}].Rp	P9[{_2}].Rp	P9[{_3}].Rp	P9[{_4}].Rp	P9[{_5}].Rp	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11_1[{_1}].Rp	P11_1[{_2}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P13[{_1}].rp	P13[{_2}].rp	P13[{_3}].rp	P13[{_4}].rp	P13[{_5}].rp	P14	P15	P16	P17	P18	P19	CORFO_FINAL	P22	P24	P27	P28	CL_GOL	CL_segmento_GOL	CL_SEGMENTO	CL_BASE
mdzUOyebbLjg	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	AÑOS Y LE ANDA BIEN, CUMPLE CON LOS REQUIRIEMIENTO QUE NECESITA.	7. En absoluto acuerdo	6	5	6	6	Sí	No	Sí	Sí	No	7	NA	7	7	NA	En tienda/ sucursales	NA	En tienda/ sucursales	En tienda/ sucursales	NA	NA	NA	NA	NA	Sí	No	Sí	NA	NA	6	NA	7	7	No	NA	7	6	Sí	MICRO	SERVICIO AUTOMOTRIZ	VIÑA DEL MAR	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
DAqCCKqUfHXt	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	EL INTERNET ESTA BIEN NO TIENE MAYORES COMPLICACIONES	6	6	5	6	5	Sí	No	No	Sí	No	6	NA	NA	6	NA	A través del Call Center empresa	NA	NA	A través de la web con clave	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	6	No	NA	6	6	Sí	MICRO	SERVICIOS JURIDICOS	CONCEPCION	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
O21IppDZu1du	MEDICION SEPTIEMBRE 2020	Sí	Entel,GTD/ Manquehue	NA	VTR	6	Se me da el servicio bastante bueno, aunque en este año he tenido un problema con mi banda ancha pero en general en bueno el servicio, se a interrunpido el servicio en varias ocaiones este año mucho mas que en años anteriores, pocas veces pero en años anteriores no se interrumpia nunca	6	6	5	5	6	No	Sí	No	No	Sí	NA	6	NA	NA	6	NA	A través del Call Center empresa	NA	NA	A través del Call Center empresa	6	6	No	No	Sí	Sí	No	NA	NA	6	6	NA	6	Sí	interruccion del servicio, no tenia internet se interumpia.	5	6	Sí	PEQUEÑA	Servicios legales	Antofagasta	Hombre	REGIONES	MV	Mediana	MEDIANAS	Stock Fijo
ffpdOK4YzUOa	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	porque una siempre estan atrasado derepente una estan correcto en las cuenta aparecen unos detalles como que no han pagado que cotratn el internet, y a pasa siempre hemos querido cambiarnos a otra empresa pero ya contratamos otra, y despue tuvimos que regresar a entel porque se cortaba el intenet, tu llamabas por telefono y no tenias linea, y auque no fuimos y volvimos seguimos con el mismo problema, o sea no tenemos el pago automatico como yo tenemos el otro servicio, porque como es de empreso no lo tenemos automatica, el tema es que siempre estamo al dia pagando pero ellos tienen un enrredo bueno eso, bueno la atencion al cliente de entel es malisima eso prodia agregar.	5	3	4	5	1	No	Sí	Sí	Sí	No	NA	4	3	2	NA	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	NA	3	5	1	3	Sí	se cae la señal se corta el telefono hay problema en la facturacion,  tienen un desorde que no se le entenden ni ellos	4	5	Sí	PEQUEÑA	estetica	Santiago, las condes	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
qMNLm3ubtRCJ	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	PORQUE DE VES EN CUANTO HAY INTERMITENCIAS, SE CAE O ESTA LENTO.	7. En absoluto acuerdo	6	5	5	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	5	NA	7	Sí	INTERMITENCIA, BAJA VELOCIDAD Y ALGUN CORTE DE VEZ EN CUANDO	7	7	Sí	MICRO	EDUCACIÓN	LA REINA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
k2RSfGURwPto	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	HASTA EL MINUTO NO HENMOS TENIDO PROBLEMAS CON EL SISTEMA EL SERVICIO ES BUENO NO TENGO PROBLEMAS CON LA SEÑAL	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	NA	NA	5	7	No	NA	7	7	Sí	PEQUEÑA	ELECTROMECÁNICA MANTENCIÓN DE MOTORES ELÉCTRICOS	QUIYOTA QUINTA REGIÓN	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
P0b2y1PTsRTf	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	ESTA SATIFECHO, PERO A VECES TIENE PROBLEMA CON INTERNET QUE SE CAE,	7. En absoluto acuerdo	7. Muy satisfecho	5	6	7	Sí	Sí	Sí	Sí	Sí	7	7	6	5	7	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través de la web con clave	A través del Call Center empresa	5	7	NA	NA	No	Sí	Sí	NA	NA	NA	6	3	6	No	NA	6	7	Sí	PEQUEÑA	TRANSPORTE Y ALMACEN	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
JybpbFsMo6yg	MEDICION SEPTIEMBRE 2020	Sí	Entel,VTR	Entel,VTR	VTR	4	PORQUE EN REALIDAD EN EL ASPECTO, NO SE HA REFLEJADO CUANDO HE QUERIDO AUMENTAR LA LINEA, SE DEMORAN MUCHO EN EL TRAMITE. MUY MALO POR UN PROBLEMA INTERNO DE ELLO, SE EQUIVOCARON SE HIZO UN REGISTRO A LA PERDIDA DE UN EQUIPO. EN VEZ DE CERRAR LA LINEA ME SERRARON EL RUT Y ESO SIGNIFICO QUE NO PODIA SOLICITAR NADA. SE DEMORO 4 MESES EN SOLUCIONAR	2	2	2	2	1	Sí	Sí	Sí	Sí	Sí	1	1	3	5	1	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	1	1	NA	NA	Sí	Sí	Sí	NA	NA	1	1	1	5	Sí	PROBLEMAS TECNICOS, ADMINISTRATIVOS Y COMERCIAL. LOS SISTEMAS DE COMUNICACION INTERNET TELEFONIA, RENOVACION DE NUEVOS CONTRATO. LA GESTION DE LO 2 NO HAN SIDO CERRADAS ESTANDO REALIZADAS, COMO CLIENTE NO TE DEJAN ESCALAR SINO QUE SOLO PUEDES PRESENTAR EL POBLEMA, QUIERES HABLAR CON SUPERVISOR O CON LA PARTE TECNICA Y ELLOS DERIVAN , NO PERMITEN HABLAR O ESCALAR. EN REALIDAD LAS PERSONS QUE TRABAJAN CON ENTEL NO TENGO NADA QUE DECIR SON BUENAS PERSONAS, SE LA JUEGAN, ES EL SISTEMA, LA PERSONAS TRATAN DE HACER LAS COSAS BIEN EL SISTEMA INTERNO ES MUY MALO, LOS TRABAJADORES APUESTAN POR LA EMPRESA LA EMPRESA NO POR LOS TRABAJADORES.	3	4	Sí	MICRO	PRESTACION SE SERVICIO, ASESSORAMIENTO DE PROYECTO DE INGENIERIA	CALAMA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
