encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	SEG_GOL	Ciudad_comuna	sex_enc	Regionx	Rubro
mdzUOyebbLjg	6	AÑOS Y LE ANDA BIEN, CUMPLE CON LOS REQUIRIEMIENTO QUE NECESITA.	MICRO	Mas	VIÑA DEL MAR	Hombre	REGIONES	SERVICIO AUTOMOTRIZ
DAqCCKqUfHXt	6	EL INTERNET ESTA BIEN NO TIENE MAYORES COMPLICACIONES	MICRO	Mas	CONCEPCION	Hombre	REGIONES	SERVICIOS JURIDICOS
O21IppDZu1du	6	Se me da el servicio bastante bueno, aunque en este año he tenido un problema con mi banda ancha pero en general en bueno el servicio, se a interrunpido el servicio en varias ocaiones este año mucho mas que en años anteriores, pocas veces pero en años anteriores no se interrumpia nunca	PEQUEÑA	MV	Antofagasta	Hombre	REGIONES	Servicios legales
ffpdOK4YzUOa	4	porque una siempre estan atrasado derepente una estan correcto en las cuenta aparecen unos detalles como que no han pagado que cotratn el internet, y a pasa siempre hemos querido cambiarnos a otra empresa pero ya contratamos otra, y despue tuvimos que regresar a entel porque se cortaba el intenet, tu llamabas por telefono y no tenias linea, y auque no fuimos y volvimos seguimos con el mismo problema, o sea no tenemos el pago automatico como yo tenemos el otro servicio, porque como es de empreso no lo tenemos automatica, el tema es que siempre estamo al dia pagando pero ellos tienen un enrredo bueno eso, bueno la atencion al cliente de entel es malisima eso prodia agregar.	PEQUEÑA	Mas	Santiago, las condes	Hombre	SANTIAGO	estetica
qMNLm3ubtRCJ	6	PORQUE DE VES EN CUANTO HAY INTERMITENCIAS, SE CAE O ESTA LENTO.	MICRO	Mas	LA REINA	Mujer	SANTIAGO	EDUCACIÓN
k2RSfGURwPto	7. Muy satisfecho	HASTA EL MINUTO NO HENMOS TENIDO PROBLEMAS CON EL SISTEMA EL SERVICIO ES BUENO NO TENGO PROBLEMAS CON LA SEÑAL	PEQUEÑA	Mas	QUIYOTA QUINTA REGIÓN	Mujer	REGIONES	ELECTROMECÁNICA MANTENCIÓN DE MOTORES ELÉCTRICOS
P0b2y1PTsRTf	6	ESTA SATIFECHO, PERO A VECES TIENE PROBLEMA CON INTERNET QUE SE CAE,	PEQUEÑA	Mas	LAS CONDES	Hombre	SANTIAGO	TRANSPORTE Y ALMACEN
JybpbFsMo6yg	4	PORQUE EN REALIDAD EN EL ASPECTO, NO SE HA REFLEJADO CUANDO HE QUERIDO AUMENTAR LA LINEA, SE DEMORAN MUCHO EN EL TRAMITE. MUY MALO POR UN PROBLEMA INTERNO DE ELLO, SE EQUIVOCARON SE HIZO UN REGISTRO A LA PERDIDA DE UN EQUIPO. EN VEZ DE CERRAR LA LINEA ME SERRARON EL RUT Y ESO SIGNIFICO QUE NO PODIA SOLICITAR NADA. SE DEMORO 4 MESES EN SOLUCIONAR	MICRO	Mas	CALAMA	Hombre	REGIONES	PRESTACION SE SERVICIO, ASESSORAMIENTO DE PROYECTO DE INGENIERIA
sJPb6f3I2fjb	4	PORQUE ENTEL TIENE SON DOS EMPRESAS QUE SE FUCIONARON Y NO ESTANNUNCA DEACUERDO EN QUE EL CLIENTE QUIERE REGULARIZAR ALGO A TRAVES DE UNA RESPUESTA DICIENDO QUE COMO ES DE LA OTRA EMPRESA Y NO DE ESTA NO PUEDEN DAR UNA SOLUCION EL PROBLEMA DE RESPUESTA A TIEMPO	PEQUEÑA	Mas	LAS CONDES	Hombre	SANTIAGO	EDUCACION VIAL
zQLyd0Bv1W1j	6	por que derrepente le aparecen cobros que no corresponde y llaman para que le regularicen  aveces le varian los pagos	MICRO	Mas	talca	Hombre	REGIONES	distribuidora calzado
hFRHhb5OI3Eg	5	PORQUE LA FIBRA ÓPTICA FALLA CONSTANTEMENTE.	MICRO	Mas	RANCAGUA	Mujer	SANTIAGO	PUBLICIDAD
Qysbnsm1F7kS	6	porque no le suben la velocidad, en la comuna en donde está hay un limite de velocidad.	MICRO	Mas	santa juana	Hombre	NS/NR	servicios
evpmr6Js3pgp	4	HEMOS TENIDO BASTANTES CAIDAS DEL SERVICIO,HEMOS TENIDO BASTANTES PROBLEMAS CON INTERNET,LOS CUALES LOS HABIAMOS SOLUCIONADO PERO CONTINUAN LOS PROBLEMAS.	MICRO	Mas	VIÑA DEL MAR	Hombre	REGIONES	VENTA DE BICICLETAS
X9fDPOyQ21jK	6	PORQUE EN GENERAL ES BUENO EL SISTEMA EN INTERNET Y TELEFONÍA FIJA, SALVO UNA QUE OTRA OCASIÓN QUE SE NOS HA CAÍDO EL INTERNET, NO HEMOS TENIDO INTERNET Y HEMOS TENIDO QUE LLAMAR PARA QUE LO SOLCUIONEN.	PEQUEÑA	Mas	QUILICURA	Mujer	REGIONES	EDUCACIÓN PREESCOLAR
ZdouXCk2Cg68	6	PORQUE EN GENERAL ENTEL EMPRESAS ES MUY RAPIDA PARA CONTESTAR EN GENERAL ANDA MUY BIEN, HAY VAIVENES QUE TIENE PERO HA ESTADO ESTABLE, ESTOY TRABAJANDO DESDE CSA HACE 5 MESES Y ME HA IDO BIEN, COMPARADO CON VTR ES MUCHO MEJOR, SOLO ESO.	MICRO	Mas	SANTIAGO QUILICURA	Hombre	SANTIAGO	TECNOLOGIA
ZlkIHmXlhmvq	6	PORQUE LA VERDAD LO USO POCO ENTONCES NO PODRÍA DECIR QUE EXCELENTE.	MICRO	Mas	RANCAGUA	Mujer	SANTIAGO	ELECTRONICA Y AIRE ACONDICIONADO
Arr8R7AahQfq	3	POR QUE EL SERVICIO DE TELEFONIA ES PESIMO, TIENEN MALOS TECNICOS, MALA PLATAFORMA CUANDO UNO HACE LOS RECLAMOS.	MICRO	Mas	SANTIAGO	Hombre	SANTIAGO	FERRETERIA
LSdYEUHjC4PP	1. Muy insatisfecho	"PORQUE LA VERDAD NO NOS DIMOS CUENTA Y LLEVAMOS COMO MÁS DE UN AÑO UN SERVICIO QUE NUNCA CONTRATAMOS, LE DIMOS DE BAJA, HEMOS LLAMADO POR TELÉFONO Y VOLVIÓ A SALIR EN LA CUENTA UN SERVICIO QUE NO HEMOS CONTRATADO NOSOTROS; CUANDO HEMOS LLAMADO NO NOS DAN SOLUCIÓN, LA ÚNICA SOLUCIÓN QUE NOS DIJERON QUE TENÍAMOS QUE PONER UN RECLAMO EN EL SERNAC PERO COMO SOMOS EMPRESAS HAY QUE DEMANDAR, NO PODEMOS PONER RECLAMOS."	PEQUEÑA	Mas	PUENTE ALTO	Hombre	REGIONES	PANADERÍA Y PASTELERÍA
poBRMb9l0OUn	7. Muy satisfecho	NO HE TENIDO PROBLEMAS EN CONECTIVIDAD, SERVICIO Y ESTÁ TODO BIEN. CUANDO LOS HE TENIDO LO HAN SOLUCIONADO RÁPIDAMENTE.	PEQUEÑA	Mas	CURICÓ	Hombre	REGIONES	RESTAURANT
1QZUmO0D4ZxU	6	POR QUE FUNCIONA BIEN, BUENA VELOCIDAD DE INTERNET.	MICRO	Mas	PROVIDENCIA.	Hombre	SANTIAGO	CONSULTA MEDICA
hpdFUQ9VxP9q	7. Muy satisfecho	PORQUE NO HE TENIDO NINGUN PROBLEMA GRAVE Y LOS MINIMOS PROBLEMAS FURON SOLUCIONAS DE FORMA RAPIDA Y CORRECTA	PEQUEÑA	Mas	ANTOFAGASTA	Mujer	REGIONES	PASTELERIA
n5OmRo8A9uT0	5	PORQUE SE CAE MUCHO EL INTERNET TENEMOS SIEMPRE MUCHOS PROBLEMAS	PEQUEÑA	Mas	IQUIQUE	Mujer	REGIONES	RESTAURANT
dDW661A7owTq	7. Muy satisfecho	PORQUE ME DA LA GANA (NO DA MÁS INFORMACIÓN)	MICRO	Mas	MUCHOS AÑOS (NO ESPECIFICA CUANTOS)	Hombre	REGIONES	INGENIERÍA
92TmQee00GbD	4	MI OFICINA ESTÁ UBICADA EN UN LUGAR ESTRATÉGICO EN VALPARAISO Y NO TIENEN FIBRA ÓPTICA EN ESA ZONA Y NO TIENEN INTERÉS EN INSTALARLA TAMPOCO ENTONCES ES COMPLEJO, UNO TIENE QUE ESTAR LLAMANDO Y TIENE SUPERDITADO EL CABLE, EXCLUSIVAMENTE ESO, CONSIDERO QUE ES UN TEMA DE SERVICIO.	MEDIANA	Mas	VALPARAISO	Hombre	REGIONES	NEGOCIOS NAVIERO
kuOmDqCZZC9j	7. Muy satisfecho	ES UN SERVICIO BUENO DE BUEN NIVEL NO SE ESTA CAYENDO ES BASTANTE ESPERABLE SON UN POCO MAS CARO PERO EL SERVICIO ES MUCHO SUPERIOR.	PEQUEÑA	Mas	REGION 4,COMUNA DE COQUIMBO	Mujer	REGIONES	CONSTRUCTORA
4wvRIpeucA94	7. Muy satisfecho	LA VERDAD ES LA EMPRESA QUE MEJOR SEÑAL TIENE A LO LARGO DE CHILE NO TENEMOS PROBLEMAS CON LA SEÑAL, SOMOS CLIENTES HACE MUCHO TIEMPO	PEQUEÑA	MV	LAS CONDES	Mujer	SANTIAGO	MINERIA
VQ3IK9zy6XIr	4	"PORQUE CONSIDERO QUE NINGUNA DE LAS COMPAÑIAS ES TOTALMENTE CONFIABLE, O SEA ESO NO SOLO VA PARA ENTEL, YO HE RECORRIDO PRÁCTICAMENTE TODAS Y TODAS TIENEN PROBLEMA; SE CORTA LA BANDA ANCHA Y DE REPENTE NO HAY TELEVISÓN."	MICRO	Mas	LA REINA	Hombre	SANTIAGO	DELIVERY
RiXxI9B24m1o	5	DEJARON DE COBRAR POR EL PAC Y HAY QUE HAY QUE ESTAR BUSCANDO LAS CUENTAS POR INTERNET.	MEDIANA	Mas	LAS CONDES	Hombre	SANTIAGO	ARQUITECTURA Y CONSTRUCCION
YZB8kpspRtsW	7. Muy satisfecho	POR QUE NO HE TENIDO PROBLEMAS	MICRO	Mas	chillan	Hombre	REGIONES	SERVICIO MEDICOS
