encriptado	Segmento CORFO	Seg CORFO FINAL	Segmento GOL	sex_enc	F1 ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	Si. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil?  Entel	Si. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil?  Claro	Si. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil?  Móvistar	Si. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil?  Wom	Si. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil?  Otros	P1_5 otros ¿Cuál?	P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?	4. ¿Por qué evalúa con esa nota?	P5_1_a) Entel es una empresa con buena imagen en general	P5_2_b) Entel  Entrega un servicio confiable y transparente, centrado en las necesidades de las empresas	P5_3_c) Entel  Entrega soluciones prácticas e intuitivas que simplifican el día a día de las empresas	P5_4_d) Entel Acerca a las empresas a la tecnología y sus posibilidades de transformación	P5_5_e) Entel Se preocupa por su impacto en el medioambiente, las personas y la sociedad	6. ¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?	7. Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?	P8_1_a) Precio del Plan en relación al mercado (Competitividad)	P8_2_b) Competitividad de planes en cuanto a minutos	P8_3_c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular	P8_4_d) El precio de los equipos en relación al mercado.	9. Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7 (Agregar 99 NS/NR)	10. En cuanto a la Facturación de sus servicios móviles, siguiendo con la escala de 1 a 7 ¿Cómo evalúa el proceso de facturación en general?	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Contratación de nuevas líneas	"P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Consultas de la factura; como fechas de pago, montos, detalles de cobros."	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles	P11.Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Consultas/ información relacionadas con las características del plan contratado	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Solicitar cambio de plan	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Servicio Técnico por falla de equipo celular o Banda Ancha Móvil	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico)	P11. Pensando en los servicios móviles que tiene con Entel y considerando los últimos 6 meses. ¿Cuál de las siguientes atenciones/ solicitudes ha realizado?  Reclamos comerciales	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Contratación de nuevas líneas	"P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Consultas de la factura; como fechas de pago, montos, detalles de cobros."	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Consultas/ información relacionadas con las características del plan contratado	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Solicitar cambio de plan	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Servicio Técnico por falla de equipo celular o Banda Ancha Móvil	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico)	P12. En general, ¿Cuán satisfecho quedó Ud. con el servicio dado por Entel a esta solicitud o atención?  Reclamos comerciales	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas App	P13.¿cuál o cuáles de los siguientes medios utilizó? Contratación de nuevas líneas NS/NR	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. Ejecutivo"	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. Call center"	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. Página web"	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. Tiendas"	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. App"	"P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas de la factura; como fechas de pago, montos, detalles de cobros. NS/NR"	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles App	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles NS/NR	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  App	P13.¿cuál o cuáles de los siguientes medios utilizó? Consultas/ información relacionadas con las características del plan contratado  NS/NR	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan App	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de plan NS/NR	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  App	P13.¿cuál o cuáles de los siguientes medios utilizó? Servicio Técnico por falla de equipo celular o Banda Ancha Móvil  NS/NR	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) App	P13.¿cuál o cuáles de los siguientes medios utilizó? Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) NS/NR	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  Ejecutivo	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  Call center	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  Página web	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  Tiendas	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  App	P13.¿cuál o cuáles de los siguientes medios utilizó? Reclamos comerciales  NS/NR	P14. ¿Con que nota de 1 a 7, evalúa el servicio dado por el …  Ejecutivo	P14. ¿Con que nota de 1 a 7, evalúa el servicio dado por el …  Call center	P14. ¿Con que nota de 1 a 7, evalúa el servicio dado por el …  Página web	P14. ¿Con que nota de 1 a 7, evalúa el servicio dado por el …  Tiendas	P14. ¿Con que nota de 1 a 7, evalúa el servicio dado por el …  APP	P15. ¿Cuál de los siguientes ejecutivos sabe usted que tiene su empresa asignado por Entel?Ejecutivo comercial	P15. ¿Cuál de los siguientes ejecutivos sabe usted que tiene su empresa asignado por Entel?Ejecutivo de atención	P15. ¿Cuál de los siguientes ejecutivos sabe usted que tiene su empresa asignado por Entel?Círculo atención preferente	P15. ¿Cuál de los siguientes ejecutivos sabe usted que tiene su empresa asignado por Entel?tiene ejecutivo desconoce funcion	P15. ¿Cuál de los siguientes ejecutivos sabe usted que tiene su empresa asignado por Entel?no tiene ejecutivo	P16. En los últimos 6 meses: ¿Ha tenido algún contacto con este ejecutivo? Ejecutivo comercial	P16. En los últimos 6 meses: ¿Ha tenido algún contacto con este ejecutivo? Ejecutivo de atención	P16. En los últimos 6 meses: ¿Ha tenido algún contacto con este ejecutivo? Círculo atención preferente	P16. En los últimos 6 meses: ¿Ha tenido algún contacto con este ejecutivo? tiene ejecutivo desconoce funcion	P17. Cuán satisfecho está usted con su Ejecutivo asignado por ENTEL? Ejecutivo comercial	P17. Cuán satisfecho está usted con su Ejecutivo asignado por ENTEL? Ejecutivo de atención	P17. Cuán satisfecho está usted con su Ejecutivo asignado por ENTEL? Círculo atención preferente	P17. Cuán satisfecho está usted con su Ejecutivo asignado por ENTEL? tiene ejecutivo desconoce funcion	P18. Pensando en esta forma que Entel atiende su empresa y a usted como administrador de la cuenta… Usted diría que este modelo …	P19. En los últimos 3 meses ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?	P20. ¿Qué problemas ha tenido?	NoSi. Pensando en el problema que tuvo ¿lo comunicó a Entel?	P22. ¿Y fue solucionado su problema?	P23. Y con nota de 1 a 7 ¿Cómo evalúa la Calidad de la Solución entregada por ENTEL?	P24. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?	P25. Pensando en los últimos Ha empeorado meses, Usted diría que el servicio entregado por Entel	P26. En una escala de 0 a 10, donde 0 es nada probable y 10 es muy probable, ¿Qué tan probable es que recomiende nuestra empresa, producto o servicios a un amigo o colega?	P27. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	P28. ¿Cuántos empleados tiene su empresa?	P29.¿Cuál es el rubro de su empresa?	P30. ¿Hace cuánto tiempo que tiene esta cuenta con Entel?	P31. ¿Ciudad o Comuna de Ubicación de su Empresa	36. REGION
UrB3RG87CBts	Sin información	Micro	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	6	PORQUE ULTIMAMENTE LAS COMUNICACIONES NO ESTAB MUY BUENAS SE PRESENTE INCONECTIVIDAD SE VA LA SEÑAL MAS QUE ANTES	7	7	5	6	7	5	5	7	7	6	6	7	7	Si	no	no	no	Si	no	no	no	7	NA	NA	NA	6	NA	NA	NA	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Ha empeorado	9	Si	4	TRANSPORTE Y COMERCIO	15 AÑOS	LINARES	Regiones
Sr88RLY7Ay2q	Sin información	Pequeña	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	7	PORQUE HASTA EL MOMENTO HA ESTADO BIEN EN CUANTO A LA FACTURACION Y LA CONTINUIDAD DE SERVICIO	7	7	7	7	99	6	6	6	6	6	7	7	7	no	no	no	no	no	no	Si	no	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Ha mejorado	10	Si	5	FERRETERIA Y SERVICIOS	TENGO ESTA CUENTA HACE APROXIMADAMENTE 20 AÑOS	MOLINA	Regiones
mO0qp0NPYDZT	Sin información	Pequeña	Mas	Hombre	1	Si	NA	NA	NA	NA	NA	NA	6	POR QUE TENGO CONECTIVIDAD Y EL INTERNET ES MAS CONTINUO NO SE ME CAE EL CELULAR HAY HORARIOS QUE APARECEN BUZON DE VOZ PERO EN REALIDAD CREO QUE ESTAN CONGESTIONADAS LAS LINEAS CON ESTAS COMPAÑIAS CURIOSAMENTE UNO NO PUEDE HABLAR EN HORAS PUNTAS Y CON ENTEL NO ME PASA ESO DESDE LAS 18:00 HASTA LAS 21:00 O EN LA MAÑANA LAS OTRAS COMPAÑIAS EL INTERNET ES COMO INTERMITENTE NO ES FLUIDO	6	6	6	6	99	7	6	5	4	4	99	99	4	no	no	no	Si	no	no	no	no	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Si	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	Si	9	COMERCIANTE EN LA VEGA CENTRAL Y LO VALLEDOR	3 AÑOS	RECOLETA	Santiago
CneiHz6owOlF	Sin información	Micro	MasPrem	Hombre	1	Si	NA	Si	NA	NA	NA	1	7	PORQUE ES BUENO CON MOVISTAR SIEMPRE HE TENIDO PROBLEMA CON COBROS CON ENTEL NUNCA HE TENIDO PROBLEMAS CON PAGOS DA UN BUEN SERVICIO CONSTANTETEMENTE ME ENVIAN INFORMACION DE PROMOCIONES ME SOLUCIONAN DE INMEDIATO LOS PROBLEMAS	7	7	7	7	7	7	7	7	7	7	6	7	7	Si	no	Si	Si	Si	no	Si	no	7	NA	7	7	7	NA	7	NA	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	No	No	No	Si	No	No	No	No	No	Si	No	No	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Ha mejorado	10	Si	4	TRANSPORTE DE CARGA EN CARRETERA	10 AÑOS	PEDRO AGUIRRE CERDA	Regiones
SAQIOPniqEix	Sin información	Pequeña	MasPrem	Hombre	1	Si	Si	NA	NA	NA	NA	1	5	PORQUE NO ESTAN EFICIENTE COMO UNO CREE QUE ES CLARO QUE CUANDO UNO VA A SOLUCIONAR ALGUN PROBLEMA EN LA OFICINA NO ES TANEFICIENTE PREGUNTA DEJAN SIN INTERNET 3 DIAS Y PREGUNTA ME DESCONTARA LOS TRES DIA Y NO HAY NO SE DESCUENTA Y LA CUENTA SALE EXACTAMENTE IGUAL	6	6	6	7	4	6	6	4	99	5	99	6	6	no	no	Si	Si	Si	Si	Si	no	NA	NA	6	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	Si	No	No	No	No	No	Si	No	No	No	No	No	Si	No	No	No	No	No	Si	No	No	No	No	No	Si	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Ha mejorado	8	Si	5	METAL MECANICA	MAS DE 15 AÑOS	EN RENGO 6 REGION	Regiones
qJttzhcIOW2k	Sin información	Pequeña	MasPrem	Mujer	1	Si	NA	NA	NA	NA	NA	NA	6	PORQUE NO ES TOTALMENTE PERFECTO	6	6	5	6	99	6	6	99	99	5	5	4	6	no	no	no	no	no	no	Si	Si	NA	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Si	No	No	No	No	No	No	Si	No	No	No	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	5	Está igual	5	Si	9	TRANSPORTE	15 AÑOS	NANCAGUA	Regiones
wAe6X5fIxSHY	Sin información	Micro	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	5	SE ME VA LA SEÑAL	5	5	5	5	99	5	4	5	99	4	99	5	6	no	no	no	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	5	Está igual	5	Si	4	TURISMO0 TRANSPORTE D EPASAJEROS	3 AÑOS	PUDAHUEL	Santiago
Xr0d5DIxu3z4	Sin información	Pequeña	Mas	Mujer	1	Si	NA	NA	NA	NA	NA	NA	6	POR QUE CUANDO HAY REBAJA DE TARIFAS NO LAS TENGO Y NO ME READECUAN LOS PLANES Y UNO DE INSISTIR PARA ESO Y NO ES AUTOMATICA	7	6	6	5	5	6	6	6	5	5	5	6	6	no	Si	no	no	no	no	no	no	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Si	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Si	PROBLEMAS DE COMUNICACION Y BLOQUEO DE LAS LLAMADAS NO SE PUEDEN HACER EN LAS MAÑANAS ANTES DEL MEDIO DIA TIPO 16 DE LA TARDE   O DURANTE EL DIA	No	NA	NA	7	Está igual	10	Si	6	AREA DE INFORMATICA	10	SANTIAGO	Santiago
Xk9G09Ap7GsK	Sin información	Pequeña	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	7	PORQUE NO TENGO PROBLEMAS CON LA COMPAÑIA EN CUANTO A COMUNICACION	7	7	7	7	7	7	7	5	7	7	6	7	7	no	Si	Si	Si	no	no	no	no	NA	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Si	No	Si	No	No	No	No	Si	No	No	No	No	No	Si	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	Si	8	CLIMATIZACION	LA TENGO APROXIMADAMENTE HACE 16 AÑOS	MAIPU	Santiago
F9vQNg6ub2mP	Sin información	Pequeña	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	7	NUNCA HE TENIDO PROBLEMAS	6	7	7	7	7	7	7	6	6	6	6	7	7	no	no	no	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	8	Si	35	JARDIN INFANTIL Y SALA CUNA	5 AÑOS	PTA ARENAS	Regiones
CqJPIElmVl9f	Sin información	Pequeña	MP	Mujer	1	Si	NA	Si	NA	NA	NA	1	6	PORQUE NO HAY PEFECCION EN TODO LA ECONOMIA DE LOS PLANES	6	6	6	6	7	6	7	5	6	6	6	7	7	no	Si	no	Si	no	no	no	no	NA	6	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Si	No	Si	No	NA	NA	NA	NA	NA	NA	No	Si	No	No	Si	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	6	NA	7	Si	No	Si	No	No	Si	NA	Si	NA	1	NA	7	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	4	Está igual	5	Si	6	PYME COMERCIO	7 AÑOS	SAN FERNANDO	Regiones
xT3ntQTJfUMM	Sin información	Pequeña	MasPrem	Mujer	1	Si	NA	NA	NA	Si	VTR	1	5	PORQUE EL SECTOR DONDE TENGO MI EMPRESA SE CAE EL SISTEMA DE LAS LLAMADAS NO ENTRAN Y LAS LLAMADAS	7	7	6	7	99	7	5	6	6	6	6	6	3	no	no	no	no	no	Si	no	no	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	Si	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	6	Está igual	7	Si	20	NO INDICA	10 AÑOS	ANTOAFAGASTA	Regiones
2PabrpqEenCI	Sin información	Mediana	MasPrem	Hombre	1	Si	NA	NA	NA	NA	NA	NA	7	YO TRABAJO ME MUEVO EN LA 5TA REGION Y RM TENGO BUENA COBERTURA NO PAGO POR UN TLF MENOS QUE NO TENGA BUENA SOLO EN MUY ESCASOS MINUTOIOS NO TENGO SEÑAL LA SUCRUSAL DE SAN ANTONIO EN UN 7 ME TRATA MUY BIEN ME ATIENDEN RAPIDITO Y LA REPUESTA A LO QUE UNO DA	7	7	7	7	99	7	5	6	7	7	5	7	7	no	no	no	no	no	no	no	no	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	7	Está igual	10	Si	72	CONTRUCTORA	20 AÑOS	SAN ANTONIO}	Regiones
