encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	Rubro	Ciudad_comuna
UrB3RG87CBts	Micro	MasPrem	Regiones	Hombre	6	PORQUE ULTIMAMENTE LAS COMUNICACIONES NO ESTAB MUY BUENAS SE PRESENTE INCONECTIVIDAD SE VA LA SEÑAL MAS QUE ANTES	TRANSPORTE Y COMERCIO	LINARES
Sr88RLY7Ay2q	Pequeña	MasPrem	Regiones	Hombre	7	PORQUE HASTA EL MOMENTO HA ESTADO BIEN EN CUANTO A LA FACTURACION Y LA CONTINUIDAD DE SERVICIO	FERRETERIA Y SERVICIOS	MOLINA
mO0qp0NPYDZT	Pequeña	Mas	Santiago	Hombre	6	POR QUE TENGO CONECTIVIDAD Y EL INTERNET ES MAS CONTINUO NO SE ME CAE EL CELULAR HAY HORARIOS QUE APARECEN BUZON DE VOZ PERO EN REALIDAD CREO QUE ESTAN CONGESTIONADAS LAS LINEAS CON ESTAS COMPAÑIAS CURIOSAMENTE UNO NO PUEDE HABLAR EN HORAS PUNTAS Y CON ENTEL NO ME PASA ESO DESDE LAS 18:00 HASTA LAS 21:00 O EN LA MAÑANA LAS OTRAS COMPAÑIAS EL INTERNET ES COMO INTERMITENTE NO ES FLUIDO	COMERCIANTE EN LA VEGA CENTRAL Y LO VALLEDOR	RECOLETA
CneiHz6owOlF	Micro	MasPrem	Regiones	Hombre	7	PORQUE ES BUENO CON MOVISTAR SIEMPRE HE TENIDO PROBLEMA CON COBROS CON ENTEL NUNCA HE TENIDO PROBLEMAS CON PAGOS DA UN BUEN SERVICIO CONSTANTETEMENTE ME ENVIAN INFORMACION DE PROMOCIONES ME SOLUCIONAN DE INMEDIATO LOS PROBLEMAS	TRANSPORTE DE CARGA EN CARRETERA	PEDRO AGUIRRE CERDA
SAQIOPniqEix	Pequeña	MasPrem	Regiones	Hombre	5	PORQUE NO ESTAN EFICIENTE COMO UNO CREE QUE ES CLARO QUE CUANDO UNO VA A SOLUCIONAR ALGUN PROBLEMA EN LA OFICINA NO ES TANEFICIENTE PREGUNTA DEJAN SIN INTERNET 3 DIAS Y PREGUNTA ME DESCONTARA LOS TRES DIA Y NO HAY NO SE DESCUENTA Y LA CUENTA SALE EXACTAMENTE IGUAL	METAL MECANICA	EN RENGO 6 REGION
qJttzhcIOW2k	Pequeña	MasPrem	Regiones	Mujer	6	PORQUE NO ES TOTALMENTE PERFECTO	TRANSPORTE	NANCAGUA
wAe6X5fIxSHY	Micro	MasPrem	Santiago	Hombre	5	SE ME VA LA SEÑAL	TURISMO0 TRANSPORTE D EPASAJEROS	PUDAHUEL
Xr0d5DIxu3z4	Pequeña	Mas	Santiago	Mujer	6	POR QUE CUANDO HAY REBAJA DE TARIFAS NO LAS TENGO Y NO ME READECUAN LOS PLANES Y UNO DE INSISTIR PARA ESO Y NO ES AUTOMATICA	AREA DE INFORMATICA	SANTIAGO
Xk9G09Ap7GsK	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE NO TENGO PROBLEMAS CON LA COMPAÑIA EN CUANTO A COMUNICACION	CLIMATIZACION	MAIPU
F9vQNg6ub2mP	Pequeña	MasPrem	Regiones	Hombre	7	NUNCA HE TENIDO PROBLEMAS	JARDIN INFANTIL Y SALA CUNA	PTA ARENAS
CqJPIElmVl9f	Pequeña	MP	Regiones	Mujer	6	PORQUE NO HAY PEFECCION EN TODO LA ECONOMIA DE LOS PLANES	PYME COMERCIO	SAN FERNANDO
xT3ntQTJfUMM	Pequeña	MasPrem	Regiones	Mujer	5	PORQUE EL SECTOR DONDE TENGO MI EMPRESA SE CAE EL SISTEMA DE LAS LLAMADAS NO ENTRAN Y LAS LLAMADAS	NO INDICA	ANTOAFAGASTA
2PabrpqEenCI	Mediana	MasPrem	Regiones	Hombre	7	YO TRABAJO ME MUEVO EN LA 5TA REGION Y RM TENGO BUENA COBERTURA NO PAGO POR UN TLF MENOS QUE NO TENGA BUENA SOLO EN MUY ESCASOS MINUTOIOS NO TENGO SEÑAL LA SUCRUSAL DE SAN ANTONIO EN UN 7 ME TRATA MUY BIEN ME ATIENDEN RAPIDITO Y LA REPUESTA A LO QUE UNO DA	CONTRUCTORA	SAN ANTONIO}
iuUlrB4bwBC0	Pequeña	MasPrem	Regiones	Hombre	2	PORQUE LA SEÑAL ESTA MAL Y NO HAY SOLUCION	TRANSPORTE	LOS ANGELES
2YKESxy8vFh4	Micro	Mas	Regiones	Hombre	5	PORQUE NO ES BUENA LA COBERTURA,LA ATENCIÓN ESTA MALA EN GENERAL	COMERCIALIZACIÓN	EMPEDRADO
BOzh128Q4OnA	Pequeña	MasPrem	Regiones	Mujer	7	NO HE TENIDO NUNCA NUNCA NINGUN PROBLEMA SERVICIO EXCELENTE	SERVICIOS	CAYAIQUE}
F3HoU2m7q6Fr	Micro	MasPrem	Santiago	Mujer	5	LLEVAMOS AÑOS Y HEMOS TENIDO MUCHOS EQUIPOS PERIO CUANDO QUEREMOS ALGUN  PLAN O EQUIPO NO HAY OFERTAS O PLAN ACORDE LINEAS MOVILES SE CAE EN METRO PLAZAS O PARQUES A VECES NO CARGA BIEN LAS PAGINAS	COMERCIAL	SANTIAGO
jwJSYv9jpQNn	Pequeña	MasPrem	Regiones	Hombre	7	PORQUE TIENE BUEÑA SEÑAL Y EL INERNET NO ME FALLA TIENE MEJOR COBERTURA QUE LAS DEMAS	TRANSPORTE Y PESCA ARTESANAL	CONSTITUCION
UAutYrGmmeLq	Micro	MasPrem	Santiago	Hombre	6	PORQUE SIEMPRE HE TENIDO BUENA RESPUESTA Y ES BUENO EL SERVICIO, TIENE BUENA SEÑAL EN TODO CHILE	MAESTRANZA	SANTIAGO
FH07N10vaKP3	Pequeña	MV	Santiago	Hombre	7	HE TENIDO BUENA COBERTURA BUENA ATENCION EL PRECIO ME IMAGINO QUE ESTARA BIEN	TRANSPORTE	LAS CONDES
ZIlU6pyVZ6Q6	Micro	MasPrem	Santiago	Hombre	3	PORQUE LA PRESTACION NDE SERVICIO NO ES BUENA LA SEÑAL NO ES BUENA LA COMUNICACION A TRAVES DEL CALL CENTER NO ES BUENA	COMERCIALIZADORA DE PRODUCTOS ALIMENTICIOS Y TRANSPORTE DE CARGA	SANTIAGO / PEÑALOLEN
LdvE69bjwKNN	Pequeña	MasPrem	Regiones	NA	7	POR SU COVERTURA, TRANSPARENCIA EN SUS COBROS	NA	NA
VP8lVaamXOkD	Pequeña	MasPrem	Regiones	Mujer	7	PORQUE NUNCA HE TGENIDO NINGUN INCONVENIENTE ENGENERAL CON EL SERVICIO EN NINGUNA PARTE A NIVEL NACIONAL  TELEFONO MOBIL HA COMPAÑIAS QUE TIWENEN MALA SEÑAL Y NO SE PUEDE REALIZAR LAS LLAMADAS CLARO	SERVICIO DENTAL	LOS ANDES
ClXH2SrFCFC1	Pequeña	MasPrem	Santiago	Hombre	5	POR QUE EL INTERNET ES MUY LENTO Y DURANTE EL DIA	CLIMATIZACION	PEÑALOLEN
