encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33
dEIJCa4zxi60	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	LA EVALUO CON ESA NOTA ANTES LA EMPRESA LE HACE UNA ATENCION YO QUERIA CAMBIAR SU EQUIPO Y TENGO UN DICON  USTEDES ME DIJERON YO LE DIJE QUE QUERIA CAMBIAR ME TRAMITARON QUE TENIA UN DICOM YO SIEMPRE TENIA UN IPHONE YO TENGO LA VIDA CON ENTEL ANTES ME MANDABAN REGALOS YO NO QUIERO QUE ME TRAMITEN	Pocos beneficios,No realizan cambio de equipos/ problemas con cambio de equipos,Tramitan / Burocracia,Pocas / malas ofertas	6	7	7	7	7	7	7	7	7	7	1	1	7	No	No	Si	No	No	No	Si	Si	NA	NA	7	NA	NA	NA	1	1	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	0	6	SERVICIO FORESTALES TRANSPORTE	25 AÑOS	SAN PABLO DECIMA REGION	DUEÑO
Jet7oJZMZPsk	PEQUEÑA	Mas	REGIONES	NA	No	Sí	Entel,Otros	VTR	Entel	6	PORQUE LA SEÑAL EN ALGUNOS CERCTORES DONDE VIVO SE CAE	Mala señal / pérdida de señal / interferencias	7	6	6	7	6	7	6	7	7	7	6	6	7	No	No	Si	No	Si	No	No	No	NA	NA	7	NA	7	NA	NA	NA	NA	NA	5.App Administradores Empresa	NA	2.Call center	NA	NA	NA	NA	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	9	5	TRANSPORTE	2 AÑOS	ARICA	GERENTE
GFTBCwKN3xvq	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE EL SERVICIO ES CONTINUO Y NO TENGO CORTES DEL SUMINISTRO DE LA PLATAFORMA QUE TENGO CON ELLOS	Continuidad del servicio	7	7	7	7	7	7	7	7	7	7	7	7	7	Si	No	No	Si	Si	No	Si	Si	7	NA	NA	7	7	NA	7	7	4.En tiendas/ sucursales	NA	NA	2.Call center	2.Call center	NA	4.En tiendas/ sucursales	2.Call center	NA	7	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	7	VENTAS DE PRODUCTOS NUTRICION ANIMAL	2 AÑOS	SAN BERNARDO	GERENTE GENERAL
ZRUykYwhsZ1C	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	TIENE BUENA COBERTURA TENGO SEÑAL EN LA CASA EN CONSTITUCION Y VARIOS LUGARES	Buena cobertura,Buena señal / no hay caídas de la señal / señal nítida	7	7	7	7	7	7	7	4	4	4	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	10	2	CONTABILIDAD	20 AÑOS	CONSTITUCION	GERENTE COMERCIAL
s0sADs8ivuUL	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE LOS PLANES LOS CAMBIAN MUY INESPERADAMENTE. NO AVISAN SI HAY PLANES MAS BARATOS, SOLO SI UNO VA	Realizan cambios en el plan,No mantiene bien informado / poca claridad en la información	6	7	6	6	Ns/Nr	6	6	5	5	6	4	5	7	No	No	No	No	No	Si	No	No	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	2.Call center,4.En tiendas/ sucursales	NA	NA	NA	4	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	7	4	REPARACION DE MAQUINARIA AGRICOLA Y VENTA BDE REPUESTOS	18 AÑOS	SAN CLEMENTE, TALCA	DUEÑO
1jbr91abpEXQ	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE A VECES TENGO MALA COBERTURA DE LLAMADOS	Mala / poco cobertura	6	6	7	6	Ns/Nr	5	5	5	6	5	4	7	5	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Ha empeorado	7	4	CONTRUCCION DE OBRAS MENORES Y CONSTRUCCION GENERAL	10 AÑOS	PUENTE ALTO	GERENTE COMERCIAL
EPYvxD44eaji	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel,Otros	GTV	Entel	5	POR EL TEMA ESE DE LOS PLANES CUANDO HAY QUE CAMBIAR LOS EQUIPOS PERO AL FINAL YO COMPROO LOS EQUIPOS POR FUERA NO EN LA COMPAÑIA PERO SIENTO QUEPOR LOS AÑOS QUE LLEVO CON ELLOS DEBERIA HABER UN EXCEPCION PERO COMO SERVICIO DE LA TELEFONIA ESTA BIEN PERO POR ESTAS COSAS LE PONGO UN 5	Equipos caros,Pocas / malas ofertas,Pocos beneficios para clientes antiguos,Buen servicio / conforme / satisfecho con el servicio	5	6	5	4	4	6	6	5	5	5	Ns/Nr	4	4	No	No	No	No	No	No	Si	No	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	2.Call center	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	5	7	ARQUITECTURA Y PUBLICIDAD	12 15 AÑOS	PROVIDENCIA	GERENTE
Awz7o0wmHYTY	MICRO	Mas	REGIONES	NA	No	Sí	Entel	NA	NA	7	PORQUE CADA VEZ QUE LE LLAMA ALGUIEN SIEMPRE HA SIDO BIEN CON RESPECTO AL AUDIO A LA COMUNICACIÓN NUNCA SE CORTA EL LLAMADO	Buen servicio de telefonía	7	7	7	7	7	7	7	7	5	5	6	5	7	Si	Si	Si	Si	Si	No	No	No	7	7	7	7	7	NA	NA	NA	4.En tiendas/ sucursales	2.Call center	2.Call center	2.Call center	4.En tiendas/ sucursales	NA	NA	NA	NA	6	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	3	MUEBLES DE OFICINA	10 AÑOS	VILLA ALEMANA	ADMINISTRADORA
n7mzID7KhFa7	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE HA SIDO BUENO EL SERVICIO PERO LO ENCUENTRA CARO	Buen servicio / conforme / satisfecho con el servicio,Precios altos / es caro / alzas de precio	7	7	6	7	5	7	6	4	4	4	4	6	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	6	5	CONTRIBUCIÓN Y MANTEMCION DE ÁREAS VERDES	15 AÑOS	MELIPILLA	EL DUEÑO
wRtl16lI6G6D	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel,Claro	NA	Entel	7	POR EL RESPALDO QUE TENGO, SIEMPRE QUE HE NECESITADO ALGO LO HE TENIDO, FUNCIONA BIEN, TIENE BUENA CAPACIDAD, TODA LA VIDA HE ESTADO CON ENTEL ME GUSTA ENTEL	Responden / resuelven requerimientos,Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Es cliente antiguo/ lleva años	7	7	7	7	7	7	7	7	7	7	6	7	7	No	Si	Si	Si	No	No	No	No	NA	7	7	7	NA	NA	NA	NA	NA	5.App Administradores Empresa	5.App Administradores Empresa	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	5	CONTABILIDAD	19 AÑOS	SANTIAGO	DUEÑA
