encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Rubro	Ciudad_comuna	Cargo
dEIJCa4zxi60	PEQUEÑA	Mas	REGIONES	Hombre	6	LA EVALUO CON ESA NOTA ANTES LA EMPRESA LE HACE UNA ATENCION YO QUERIA CAMBIAR SU EQUIPO Y TENGO UN DICON  USTEDES ME DIJERON YO LE DIJE QUE QUERIA CAMBIAR ME TRAMITARON QUE TENIA UN DICOM YO SIEMPRE TENIA UN IPHONE YO TENGO LA VIDA CON ENTEL ANTES ME MANDABAN REGALOS YO NO QUIERO QUE ME TRAMITEN	Pocos beneficios,No realizan cambio de equipos/ problemas con cambio de equipos,Tramitan / Burocracia,Pocas / malas ofertas	SERVICIO FORESTALES TRANSPORTE	SAN PABLO DECIMA REGION	DUEÑO
Jet7oJZMZPsk	PEQUEÑA	Mas	REGIONES	NA	6	PORQUE LA SEÑAL EN ALGUNOS CERCTORES DONDE VIVO SE CAE	Mala señal / pérdida de señal / interferencias	TRANSPORTE	ARICA	GERENTE
GFTBCwKN3xvq	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE EL SERVICIO ES CONTINUO Y NO TENGO CORTES DEL SUMINISTRO DE LA PLATAFORMA QUE TENGO CON ELLOS	Continuidad del servicio	VENTAS DE PRODUCTOS NUTRICION ANIMAL	SAN BERNARDO	GERENTE GENERAL
ZRUykYwhsZ1C	MICRO	Mas	REGIONES	Hombre	7	TIENE BUENA COBERTURA TENGO SEÑAL EN LA CASA EN CONSTITUCION Y VARIOS LUGARES	Buena cobertura,Buena señal / no hay caídas de la señal / señal nítida	CONTABILIDAD	CONSTITUCION	GERENTE COMERCIAL
s0sADs8ivuUL	MICRO	Mas	REGIONES	Hombre	5	PORQUE LOS PLANES LOS CAMBIAN MUY INESPERADAMENTE. NO AVISAN SI HAY PLANES MAS BARATOS, SOLO SI UNO VA	Realizan cambios en el plan,No mantiene bien informado / poca claridad en la información	REPARACION DE MAQUINARIA AGRICOLA Y VENTA BDE REPUESTOS	SAN CLEMENTE, TALCA	DUEÑO
1jbr91abpEXQ	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE A VECES TENGO MALA COBERTURA DE LLAMADOS	Mala / poco cobertura	CONTRUCCION DE OBRAS MENORES Y CONSTRUCCION GENERAL	PUENTE ALTO	GERENTE COMERCIAL
EPYvxD44eaji	PEQUEÑA	Mas	SANTIAGO	Hombre	5	POR EL TEMA ESE DE LOS PLANES CUANDO HAY QUE CAMBIAR LOS EQUIPOS PERO AL FINAL YO COMPROO LOS EQUIPOS POR FUERA NO EN LA COMPAÑIA PERO SIENTO QUEPOR LOS AÑOS QUE LLEVO CON ELLOS DEBERIA HABER UN EXCEPCION PERO COMO SERVICIO DE LA TELEFONIA ESTA BIEN PERO POR ESTAS COSAS LE PONGO UN 5	Equipos caros,Pocas / malas ofertas,Pocos beneficios para clientes antiguos,Buen servicio / conforme / satisfecho con el servicio	ARQUITECTURA Y PUBLICIDAD	PROVIDENCIA	GERENTE
Awz7o0wmHYTY	MICRO	Mas	REGIONES	NA	7	PORQUE CADA VEZ QUE LE LLAMA ALGUIEN SIEMPRE HA SIDO BIEN CON RESPECTO AL AUDIO A LA COMUNICACIÓN NUNCA SE CORTA EL LLAMADO	Buen servicio de telefonía	MUEBLES DE OFICINA	VILLA ALEMANA	ADMINISTRADORA
n7mzID7KhFa7	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE HA SIDO BUENO EL SERVICIO PERO LO ENCUENTRA CARO	Buen servicio / conforme / satisfecho con el servicio,Precios altos / es caro / alzas de precio	CONTRIBUCIÓN Y MANTEMCION DE ÁREAS VERDES	MELIPILLA	EL DUEÑO
wRtl16lI6G6D	PEQUEÑA	Mas	SANTIAGO	Mujer	7	POR EL RESPALDO QUE TENGO, SIEMPRE QUE HE NECESITADO ALGO LO HE TENIDO, FUNCIONA BIEN, TIENE BUENA CAPACIDAD, TODA LA VIDA HE ESTADO CON ENTEL ME GUSTA ENTEL	Responden / resuelven requerimientos,Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Es cliente antiguo/ lleva años	CONTABILIDAD	SANTIAGO	DUEÑA
PniDOc64JkWy	MICRO	Mas	REGIONES	Mujer	6	PORQUE ÚLTIMAMENTE LA SEÑAL HA SIDO MUY MALA CON RESPECTO AL INTERNET EN LA COMUNA DEL MAULE EN CALLEJONES Y LO OTRO QUE ELLOS NO TIENEN UN INTERNET COMO PARA EL CAMPO HAY UN PLAN QUE NO SIRVE PARA EL CAMPO PORQUE LO TIENEN BLOQUEADO ES UN PLAN DE INTERNET MÓVIL	Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Malos planes  / planes poco flexibles	MINIMERCADO	MAULE, TALCA	DUEÑA
Yxk4ts8O9EPQ	PEQUEÑA	Mas	REGIONES	Mujer	4	POR QUE ME HICIERON UNOS COBROS MAS ALTOS ME SOLUCIONARON EL PROBLEMA Y ME CORTARON EL SERVICIO TUVE QUE RECURRIR A SUCURSAL PARA SOLUCIONARLO	Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos	CONFECCIONES	SAGRADA FAMILIA, REGION DEL MAULE	DUEÑA
UWM3thNA47dB	MICRO	Mas	REGIONES	Hombre	4	POR QUE ES MALA EN LA SEÑAL UNO TRABAJA EN LAS MINERAS Y CERROS Y AHORA NO HAY EN TODOS LADOS, ES MALA EL SERVICIO	Mala señal / pérdida de señal / interferencias,Mal servicio / desconforme con el servicio	NO INDICA	ANTOFAGASTA	DUEÑO
HHGnSmQpshj4	PEQUEÑA	Mas	REGIONES	Hombre	5	NO TIENEN PROMOCIONES Y NADA ESPECIAL PARA LOS CLIENTES ANTIGUOS	Pocas / malas ofertas,Pocos beneficios para clientes antiguos	COMUNICACIONES	CURICO	DIRECTOR
fWbU3LhbtYlZ	PEQUEÑA	Mas	SANTIAGO	NA	7	POR QUE EN TODOS LADOS TIENEN BUENA COBERTURA	Buena cobertura	VENTAS DETERGENTES	SANTIAGO	GERENTE COMERCIAL
9dCJYUHgnRIf	PEQUEÑA	Mas	SANTIAGO	NA	7	POR UQE NUNCA EH TENIDO PROBLEMA CON SEÑAL NI NADA	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	MINERIA Y AGUA POTABLE	CONCHALI	DUEÑA
rrEjsAEuH9VQ	MICRO	Mas	REGIONES	Hombre	4	PRIMERO HE TENIDO BASTANTES PROBLEMAS PORQUE HE TENIDO VARIOS MOVILES Y ME HAN COBRADO CIFRAS EXCESIVAS Y BAJE EL PLAN Y ME SIGUEN COBRANDO LO MISMO TENGO QUE IR A LA EMPRESA Y LA SEÑAL HA ESTADO PESIMA DE HACE DOS AÑOS PARA ACA DONDE VIVO YO	Equipos caros,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Mala señal / pérdida de señal / interferencias	AGRICOLA	SAN CLEMENTE	PROPIETARIO
E2gUujiv6W75	PEQUEÑA	Mas	SANTIAGO	Mujer	5	PORQUE AVECES SE CAE Y AVECES NO SOBRE EL INTERNET BAJA LA VELOCIDAD	Poca continuidad del servicio  / se corta el servicio,Internet lento / inestable	TRANSPORTE DE CARGAS EN CARRETERA	COLINA	DUEÑA
jmUpqSbi81KR	MICRO	Mas	REGIONES	Hombre	7	LA señal que tieNE EN TODOS LADOS ME AGARRA EL CELULAR	Buena señal / no hay caídas de la señal / señal nítida	ESTACION DE SERVCIO AGRICOLa	GRANEROS	DUEÑO
EovwpkY323Vi	MICRO	Mas	REGIONES	Hombre	5	TUVE PROBLEMA DE SEÑAL Y LLAME Y NUNCA ME DIERON UNA ESPLICASION BIEN CLARA	Mala señal / pérdida de señal / interferencias,Lentitud / ineficiencia en solución de problemas,No mantiene bien informado / poca claridad en la información	TRANSPORTE	REGION DEL MAULE , CURICO	REPRESENTANTE
AvHFisoLtVBU	PEQUEÑA	Mas	SANTIAGO	Hombre	7	POR QUE ESTOY CONTENTO ESTOY FELIZ CON LA COMPAÑIA Y SUS SERVICIOS	Le gusta la compañía / empresa,Buen servicio / conforme / satisfecho con el servicio,Satisface necesidades	COMERCIAL	LA FLORIDA	DUEÑO
evEM5jtgkeTQ	PEQUEÑA	Mas	REGIONES	Hombre	5	PORQUE CUANDO EH TENIDO ALGUN PERCANSE EL TRAMITE HA SIDO DEMASIADO LENTO EN OFICINAS Y LE HAN DADO RESPUESTAS MUY TARDEMENTE	Lentitud / ineficiencia en solución de problemas,Lentitud en la atención	AGRICOLA GANADERO	EN MELIPILLA	DUEÑO
2p2I6PvoaGvm	PEQUEÑA	Mas	REGIONES	Hombre	6	DERREPENTE TENGO PROBLEMAS CON EL TELEFONO DICEN QUE ME LLAMAN Y EL TELEFONO NO SUENA NO SIEMPRE	Mal servicio de telefonía/ se cortan las llamadas	SERVICIOS AUTOMOTRIZ	TALCA	DUEÑO
xodD4lzhndKn	PEQUEÑA	Mas	SANTIAGO	Hombre	5	PORQUE A VECES SOLUCIONAN PROBLEMAS Y OTRAS VECES NO LA SOLUCIONAN ALGUN RECLAMO LOS COBROS DE HECHO LLAME QUE ME TENIA OTRO PLAN FUI A LA SUCURSAL Y NO ERA EL MISMO PLAN QUE ME DIERON EN EL CALL CENTER Y EN LA SUCURSAL ERA MAS CARO ENTONCES HAY UN DESORDEN ENTRE EL CALL CENTER Y LA SUCURSAL ME PASO AYER LLAMO AL CALL CENTER Y ME DICE QUE TENGO UN PLAN Y DESPUES VOY A LA SUCURSAL VOY Y NO ERA LO MISMO ENTONCES ES MEDIO ENREDADO	Responden / resuelven requerimientos,Precios altos / es caro / alzas de precio,No mantiene bien informado / poca claridad en la información	VENTA DE RESPUESTOS Y MECANICA Y PRESTACION DE SERVICIOS	LA FLORIDA	DUEÑO
Hu4EsPg7U0jU	PEQUEÑA	Mas	REGIONES	Hombre	7	POR SIEMPRE ME FUNCIONO BIEN Y NUNCA TUVO PR0BLEMAS Y LA ATENCION ES BUENA	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas,Buena atención / amabilidad	AGRICOLA	FREIRE	DUEÑO
TZDDSuf84kwR	PEQUEÑA	MasPrem	REGIONES	Mujer	7	PORQUE SIEMPRE ME HAN ENTREGADO BUENOS PRODUCTOS Y BUENAS OFERTAS	Buenos servicios/ productos,Buenas ofertas	DISTRIBUCION DE PRODUCTOS EDITORIALES	SAN FERNANDO	AGENTE
XucTpcZb0K6p	PEQUEÑA	MasPrem	REGIONES	Mujer	7	PORQUE NO HE TENIDO PROBLEMAS CON LA EMPRESA	Funciona bien /sin problemas	TRANSPORTE	ANTOFAGASTA	ADMINISTRADORA
q1KjIo0HQr9G	MICRO	Mas	SANTIAGO	Hombre	7	POR SU BUEN SERVICIO POR PRODUCTOS MAS ECONÓMICOS LA ATENCIÓN ES BUENA RÁPIDA Y COLISIONAN LOS PROBLEMAS	Buen servicio / conforme / satisfecho con el servicio,Buenos precios / económicos / barato,Buena atención / amabilidad,Rapidez / eficiencia en solución de problemas	CONTRATISTA DE OBRAS MENORES	MAIPU	JEFE
jLIeJ6VQmaoy	PEQUEÑA	MasPrem	SANTIAGO	Hombre	6	PORQUE HAN HABIDO PEQUEÑAS COSAS QUE SE HAN SOLUCIONADO, PODRIA SER MEJOR EL SERVICIO, LA COBERTURA NO ES AL 100%, PROBLEMAS A VECES PARA NAVEGAR	Responden / resuelven requerimientos,Mala / poco cobertura,Internet lento / inestable	FLORERIA	INDEPENDENCIA	DUEÑO
esEHf4kbXElA	MICRO	Mas	SANTIAGO	NA	7	BUENA CONECTIVIDAD NO TENGO PROBLEMA CON LA SEÑAL	Buena conectividad,Buena señal / no hay caídas de la señal / señal nítida	PANADERIA	LAMPA	DUEÑA
ZmOD4yOiN1na	MICRO	Mas	REGIONES	NA	5	A VECES HAYY POCA SEÑAL O A VECES EL TELEFONO NO TOMA O NO FUNCIONA MUY BIEN LA SEÑAL	Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas	TRANSPORTE DE CARGA POR CARRETERA	LOS ANGELKES	CONDUCTOR
ZstU9KmwHGKF	PEQUEÑA	Mas	REGIONES	Hombre	2	PORQUE NO PUEDO LLAMAR NO PUEDO RECIBIR MENSAJES SE CAE LA SEÑAL Y NO SIRVE PA NADA	Mal servicio de telefonía/ se cortan las llamadas,Internet lento / inestable,Mala señal / pérdida de señal / interferencias	AGRICOLA	TALCA	DUEÑO
IeGJemd2wQfC	PEQUEÑA	Mas	REGIONES	Hombre	4	PORQUE EL SERVICIO DE COBERTURA ES HORRIBLE YO ME MUEVO  ENTRO LA SERENA Y OVALLE TANTO LA COBERTURA DE RED DE INTERNET Y LLAMADAS	Mala / poco cobertura,Internet lento / inestable,Mal servicio de telefonía/ se cortan las llamadas	AGRÍCOLA	LA SERENA	DUEÑO
g1Ads6lxtKfm	PEQUEÑA	Mas	SANTIAGO	Hombre	6	POR QUE ATIENDEN BIEN Y RAPIDO	Buena atención / amabilidad,Rapidez en la atención	MOVIMIENTO DE TIERRA TRANSPORTE	SANTIAGO	DUEÑO
yD2rYYt42tdP	MICRO	Mas	REGIONES	Hombre	7	POR LA EXPERIENCIA QUEE TUVE HACIENDO COMPARACION SERVICOS AÑL CLIENTE BUEN SERVCIO BUEN PRECIO EN EL PALAN BUENA A TENCION DEL EJECUTIVO CON OTRAS MOVISTAR CLARO	Buen servicio / conforme / satisfecho con el servicio,Buenos precios / económicos / barato,Buena atención / amabilidad	IMPRENTA	TEMUCO	DUEÑO
Mc8B2LESZB8P	PEQUEÑA	Mas	REGIONES	Hombre	4	PORQUE LA SEÑAL ES MALA E INESTABLE SE CAE SIEMPRE YA QUE EL SECTOR DE DONDE VIVE Y LA SEÑAL ES MUY CHICA SE CAE DESDE LAS 18 HRS A 22 HRS Y DESDE LAS 22 HRS RETOMA EL INTERNET CON INTENSIDAD BAJA	Mala señal / pérdida de señal / interferencias,Internet lento / inestable	TRANSPORTE	LINARES COMUNA DE HIERVAS BUENAS.	DUEÑO
