encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P18A[{_1}].Rp	P18A[{_2}].Rp	P18A[{_3}].Rp	P18A[{_4}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18B[{_4}].Rp	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33	Fecha_Enc
WtXFhYeZVS8g	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	7	SEÑAL EN TODOS LADOS NO SE CAE NUNCA	Buena señal / no hay caídas de la señal / señal nítida	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	6	7	7	7	7	7	No	No	No	Si	No	No	Si	No	NA	NA	NA	7	NA	NA	7	NA	NA	NA	NA	2.Call center	NA	NA	2.Call center	NA	NA	7	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	10	COMERCIO	10	SANTIAGO	DUEÑO	V1. PRE CRISIS
FjWHC6egF1JW	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	6	PORQUE HE TENIDO ALGUNOS PROBLEMAS CON LA CUENTA ME COBRAN COSAS QUE NO DEBEN NO ME LLEGA	Poca transparencia en cuentas / cobros indebidos / problemas de facturación	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	5	6	6	6	6	6	No	Si	Si	Si	Si	No	No	No	NA	7	7	6	5	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas,5.App Administradores Empresa	3.Página Web Entel Empresas,5.App Administradores Empresa	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	7	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	4	COMERCIAL	2 3 AÑOS	ANTOFAGASTA	GERENCIA	V1. PRE CRISIS
mHOBwi96SZxM	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	3	CAROS SERVICIO EMPRESA, MUY MALA CONEXION A INTERNET, COPBERTURA MALA	Precios altos / es caro / alzas de precio,Mala conectividad,Mala / poco cobertura	5	NA	NA	NA	NA	4	3	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	MALA COBERTURA, INTERNET MALO Y LENTO	Cobertura,Baja velocidad de Internet,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	NO	NA	NA	5	NA	NA	NA	NA	NA	EL CARMEN, PROVINCIA DE DIGUILLIN	NA	V2. POST CRISIS
aLHxUzlG0doG	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE ES BUENO EL SERVICIO, RESPONSABLE TIENE BUENA COBERTURA, CUANDO TIENE  BUENA COBERTURA Y NO SON BUENOS PLANES NO SRIVE PARA NADA	Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Malos planes  / planes poco flexibles	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	5	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	TUCAPEL	NA	V2. POST CRISIS
8lle6IB29zV8	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE AVECES LA LINEA O LA SEÑAL NO ES ESTABLE EN DISTINTOS LUGARES	Internet lento / inestable,Mala señal / pérdida de señal / interferencias	6	NA	NA	NA	NA	5	5	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	ÑUÑOA	NA	V2. POST CRISIS
vxl5Yny5Yibn	MICRO	Mas	Santiago	Hombre	No	Sí	Entel,Otros	VTR	Entel	7	PORQUE ME CONTESTAN, CUANDO YO LLAMO, PORQUE RESPONDEN, A LO LLAMADOS	Facilidad para contactarlos	7. En absoluto acuerdo	NA	NA	NA	NA	5	5	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	PUENTE ALTO	NA	V2. POST CRISIS
QO1N1QKhukNL	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	3	POR QUE RESULTA QUE TIENE MALA SEÑAL Y A TRATAR DE COMUNICARSE PARA RECLAMAR POR EL SERVICIO	Mala señal / pérdida de señal / interferencias,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	6	NA	NA	NA	NA	3	2	5	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	SEÑAL CON EL INTERNET SE QUEDA PEGADO NO ME CARGA LA PAGINA	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Caída de señal /señal / interferencias / corte de llamadas	NO	NA	NA	2	NA	NA	NA	NA	NA	PELLUHUE	NA	V2. POST CRISIS
3QqIkTGczLJn	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	POR QUE LO CONTRATE PARA LUGARES CON POCA SEÑAL ENTRE MARÍA PINTO Y MELIPILLA HAY LAPSOS QUE SE PIERDE LA SEÑAL	Mala señal / pérdida de señal / interferencias	6	NA	NA	NA	NA	5	5	6	7	Ns/Nr	6	6	5	No	Si	Si	No	No	No	No	No	NA	6	6	NA	NA	NA	NA	NA	NA	2.Call center	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	7	5	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	1	TRASPORTE Y CONTABLE	5 MESES	SANTIAGO ESTACION CENTRAL	DUEÑO	V1. PRE CRISIS
bfEdiWJf9FfC	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel,Claro	NA	Entel	5	PORQUE CUESTA MUCHO COMUNICARSE CON ELLOS Y QUE DEN SOLUCIONES PROBLEMAS DE COBERTURAS DE SEÑAL	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,No responde / no resuelven requerimientos,Mala / poco cobertura,Mala señal / pérdida de señal / interferencias	7. En absoluto acuerdo	NA	NA	NA	NA	5	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	COBERTURA SEÑAL MUY LENTO CAÓTICO DEBE SER POR LA CONTINGENCIA DEL PAÍS	Cobertura,Caída de señal /señal / interferencias / corte de llamadas,Baja velocidad de Internet	NO	NA	NA	3	NA	NA	NA	NA	NA	VALPARAISO LAGUNA VERDE	NA	V2. POST CRISIS
ypWD3EB3x2Y0	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel,Claro	NA	Entel	6	PORQUE NO HE TENIDO PROBLEMA (CORTÉS, EL INTERNET NUNCA SE ME CAE, LAS CUENTAS CLARAS Y NO HE TENIDO PROBLEMAS DE CORTE NI DE COBERTURA)	Funciona bien /sin problemas,Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Buena cobertura	5	NA	NA	NA	NA	6	6	6	6	5	6	6	7	No	Si	No	Si	Si	No	No	No	NA	6	NA	6	6	NA	NA	NA	NA	2.Call center	NA	3.Página Web Entel Empresas	2.Call center	NA	NA	NA	NA	6	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	5	2	MENSAJERÍA PRIVADA	5 AÑOS	QUILICURA	DUEÑO	V1. PRE CRISIS
