encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Ciudad_comuna	Cargo
WtXFhYeZVS8g	PYME	Mas	Santiago	Hombre	7	SEÑAL EN TODOS LADOS NO SE CAE NUNCA	Buena señal / no hay caídas de la señal / señal nítida	SANTIAGO	DUEÑO
FjWHC6egF1JW	MICRO	Mas	Regiones	Mujer	6	PORQUE HE TENIDO ALGUNOS PROBLEMAS CON LA CUENTA ME COBRAN COSAS QUE NO DEBEN NO ME LLEGA	Poca transparencia en cuentas / cobros indebidos / problemas de facturación	ANTOFAGASTA	GERENCIA
mHOBwi96SZxM	MICRO	Mas	Regiones	Mujer	3	CAROS SERVICIO EMPRESA, MUY MALA CONEXION A INTERNET, COPBERTURA MALA	Precios altos / es caro / alzas de precio,Mala conectividad,Mala / poco cobertura	EL CARMEN, PROVINCIA DE DIGUILLIN	NA
aLHxUzlG0doG	MICRO	Mas	Regiones	Mujer	7	PORQUE ES BUENO EL SERVICIO, RESPONSABLE TIENE BUENA COBERTURA, CUANDO TIENE  BUENA COBERTURA Y NO SON BUENOS PLANES NO SRIVE PARA NADA	Buen servicio / conforme / satisfecho con el servicio,Buena cobertura,Malos planes  / planes poco flexibles	TUCAPEL	NA
8lle6IB29zV8	MICRO	Mas	Santiago	Hombre	5	PORQUE AVECES LA LINEA O LA SEÑAL NO ES ESTABLE EN DISTINTOS LUGARES	Internet lento / inestable,Mala señal / pérdida de señal / interferencias	ÑUÑOA	NA
vxl5Yny5Yibn	MICRO	Mas	Santiago	Hombre	7	PORQUE ME CONTESTAN, CUANDO YO LLAMO, PORQUE RESPONDEN, A LO LLAMADOS	Facilidad para contactarlos	PUENTE ALTO	NA
QO1N1QKhukNL	MICRO	Mas	Regiones	Hombre	3	POR QUE RESULTA QUE TIENE MALA SEÑAL Y A TRATAR DE COMUNICARSE PARA RECLAMAR POR EL SERVICIO	Mala señal / pérdida de señal / interferencias,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	PELLUHUE	NA
3QqIkTGczLJn	MICRO	Mas	Santiago	Hombre	6	POR QUE LO CONTRATE PARA LUGARES CON POCA SEÑAL ENTRE MARÍA PINTO Y MELIPILLA HAY LAPSOS QUE SE PIERDE LA SEÑAL	Mala señal / pérdida de señal / interferencias	SANTIAGO ESTACION CENTRAL	DUEÑO
bfEdiWJf9FfC	MICRO	Mas	Regiones	Hombre	5	PORQUE CUESTA MUCHO COMUNICARSE CON ELLOS Y QUE DEN SOLUCIONES PROBLEMAS DE COBERTURAS DE SEÑAL	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,No responde / no resuelven requerimientos,Mala / poco cobertura,Mala señal / pérdida de señal / interferencias	VALPARAISO LAGUNA VERDE	NA
ypWD3EB3x2Y0	MICRO	Mas	Santiago	Hombre	6	PORQUE NO HE TENIDO PROBLEMA (CORTÉS, EL INTERNET NUNCA SE ME CAE, LAS CUENTAS CLARAS Y NO HE TENIDO PROBLEMAS DE CORTE NI DE COBERTURA)	Funciona bien /sin problemas,Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Buena cobertura	QUILICURA	DUEÑO
Q8g3hiQfCmLR	PYME	Mas	Regiones	Hombre	6	PORQUE DE REPENTE LAS LÍNEAS CAEN SE QUEDAN SIN COBERTURA	Poca continuidad del servicio  / se corta el servicio,Mala / poco cobertura	PUERTO MONTT	GERENTE
hAqwp7qRBtNL	PYME	Mas	Regiones	Hombre	7	CUMPLE CON LO QUE NECESITO DAN SOLUCION	Cumplen con lo que ofrecen,Responden / resuelven requerimientos	OCTAVA REGION BIO BIO	DUEÑO
9wU2isU3hymh	PYME	Mas	Regiones	Hombre	2	LA ATENCION DE  ENTEL SIEMPRE HORRIBLE NO TE SOLUCIONAN NADA DE HECHO TENGO UNA LINEA EN EL CAMPO PORQUE SE SUPONE QUE  TIENE MEJOR SEÑAL PERO EN LOS ULTIMOS 2 MESES LA CALIDAD  HA BAJADO BASTANTE	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Lentitud / ineficiencia en solución de problemas,Mala señal / pérdida de señal / interferencias	PURRANQUE OSORNO	DUEÑO
BwRdR14gtXzf	MICRO	Mas	Santiago	Mujer	6	DERREPENTE SE CAE EL INTERNET PERO MUY POCAS VECES NO HAY SECTOR EN ESPECIAL	Internet lento / inestable	LA FLORIDA	NA
WJj7gyxd8Nxn	MICRO	Mas	Regiones	Hombre	6	EN REALIDAD ANDA BIEN PERO PODRIA SER MEJOR EN CANTIDAD DE GIGAS Y VELOCIDAD LO QUE INTERNET	Faltan cosas por mejorar / no es perfecta,Malos planes  / planes poco flexibles,Internet lento / inestable	TUCAPEL	NA
YFfvRyVmlUEn	MICRO	Mas	Regiones	Hombre	6	PORQUE NO HAY MUCHA SEÑAL, BAJO AHORA HACE 3 MESES	Mala señal / pérdida de señal / interferencias	RENGO	NA
EPlw1xuJOhyF	MICRO	Mas	Regiones	Hombre	6	PORQUE PODRIA SER MEJOR EL SERVICIO MAS ECONOMICO QUE ES LO QUE UNICO BUSCA UNO SIEMPRE VA A BUSACAR LA ENMCONMIA MAS M,G	Faltan cosas por mejorar / no es perfecta,Precios altos / es caro / alzas de precio	TEMUCO	GERENTE
Hu4EsPg7U0jU	PYME	Mas	Regiones	Hombre	6	PORQUE PODRIA SER UN POCO MEJOR LA COBERTURA EN RESUMEN	Faltan cosas por mejorar / no es perfecta,Mala / poco cobertura	FREIRE	PROPIETARIO
cvFrfSFWb6Gx	MICRO	Mas	Santiago	Mujer	3	PORQUE ESTA MUY LENTA LA SEÑAL, ME CORTARON EL TELEFONO ESTANDO PAGADO, NO HAY CON QUIEN HABLAR SOLO GRABADORAS, WEB NO DA RESPUESTAS, NI NADIE	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,No apoyan / no ayudan al cliente,Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales	LA FLORIDA	NA
At4KY6wozNaE	MICRO	Mas	Regiones	Hombre	7	PORQUE SIEMPRE TIENE BUENA SEÑAL Y ENCUENTRO QUE IGUAL ME DA HARTOS BENEFICIOS ENTEL. EN LOS DATOS MOVILES Y EN EL HACER LLAMADAS	Buena señal / no hay caídas de la señal / señal nítida,Otorga beneficios,Buen servicio de telefonía	CAUQUENES SEPTIMA REGION	NA
tfwZt6M59ZpN	MICRO	Mas	Regiones	Mujer	7	NUNCA HE TENIDO UN PROBLEMA Y CUANDO LE HE LLEGADO SIEMPRE LO SOUCIONAN UN AVEZ POCO MINUTOS INMEDAMENTE AMPLIARON EL PLAN NOS  ACOMODO	Funciona bien /sin problemas,Responden / resuelven requerimientos,Buen plan / plan conveniente	CONSTITUCION	NA
FdjaD4yxLYuc	MICRO	Mas	Santiago	Hombre	7	PORQUE NO HE TENIDO NINGUN INCOVENIENTE CON EL SERVICIO Y EL TEMA DE LA FACTURACIONES ME LLEGAN AL DIA SE PUEDEN PAGAR ONLINE NO HE TENIDO PROBLEMAS CON LA COMPAÑIA	Funciona bien /sin problemas,Buenos servicios/ productos,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	LA SERENA	NA
9Ydk7xYyIFjL	MICRO	Mas	Santiago	Hombre	5	NO ES DE INMEDIATO CUANDO UNO SOLICITA UN REQUERIMIENTO	Lentitud / ineficiencia en solución de problemas	RECOLETA	NA
xdGty4vesUIx	MICRO	Mas	Santiago	Hombre	7	PORQUE LAS OTRAS COMPAÑIAS ERAN MUY MALAS POR LO MENOS AQUI EN ENTEL ME A SERVIDO BIEN EL CONVENIO DEL TEMA DE LOS PLANES ME COBRABAN OTRAS COSAS Y TENIA PROBLEMAS DE CONEXION CON CLARA SE CAIAN LAS LLAMADAS	Buena empresa / es la mejor empresa / es mejor que otras,Buen plan / plan conveniente,Buena conectividad	SANTIAGO CONCHALI	NA
AXveRTJD27YK	MICRO	Mas	Regiones	Mujer	5	HE TENIDO PROBLEMAS CON LA SEÑAL HACE MUCHO TIEMPO SOBRETODO CON LA SEÑAL DE INTERNET ADEMAS ME CABRARON ALGO ADICIONAL UNA LLAMADA AL EXTRANJERO Y NO TUVE RESPUESTAS	Mala señal / pérdida de señal / interferencias,Poca continuidad del servicio  / se corta el servicio,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,No responde / no resuelven requerimientos	LA SERENA - COQUIMBO	NA
nN8MPE2xvaiq	MICRO	Mas	Regiones	Hombre	5	LA INFORMACION QUE DE REPENTE ME LLEGA A MIS CUENTAS NO ES CLARAS LOS CANALES DE PAGOS NO SON VIALES EL TEMA DE SERVICIO DE RESPALDO SE CORTA LA ENERGIA ELECTRICA Y QUEDAMOS SIN SEÑAL POR LAS ANTENAS	No mantiene bien informado / poca claridad en la información,Mala señal / pérdida de señal / interferencias	COELEMU REGION ÑUBLE	NA
gDyzSGY9Hwdi	MICRO	Mas	Santiago	Hombre	6	PORQUE HAN SIDO PRUDENTES ME HAN DADO LO QUE ME HAN OFRECIDO ME COBRAN LO JUSTO Y SON CONSECUENTES ESO ME GUSTA MUCHAS COMPANIAS TE OFRECEN UNA COSA Y DESPUES NO ME LO DAN MAS QUE NADA MOVISTAR ES QUE TE COBRAN COSAS QUE NO CORRESPONDE	Cumplen con lo que ofrecen,Buenos precios / económicos / barato,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	SANTIAGO	NA
KOBg1BYnOAN1	MICRO	Mas	Regiones	Mujer	7	PORQUE NUNCA HE TENIDO PROBLEMAS CON ELLOS ES QUE NO SABRIA DECIRTE TIENE INTERNET TENGO LLAMADAS NUNCA HE TENIDO PROBLEMA LA CUENTA ME LLEGA A MI CORREO NUNCA HE TENIDO PROBLEMAS CON LAS FACTURACIONES	Funciona bien /sin problemas,Buen funcionamiento de Internet / velocidad / estabilidad,Buen servicio de telefonía,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	LOS ANGELES	DUEÑA
DzsNWTTWg9ES	MICRO	Mas	Santiago	Hombre	6	POR EL DETALLE DE LA MESA DE AYUDA NO ME CAMBIAN EL CHIP	No realizan cambio de equipos/ problemas con cambio de equipos	SANTIAGO COMUNA COLINA	NA
MGLgpB91OOUS	MICRO	Mas	Santiago	Hombre	7	PORQUE NO HE TENDIO PROBLEMAS Y PAGO LO QUE ACORDE	Funciona bien /sin problemas,Buenos precios / económicos / barato,Cumplen con lo que ofrecen	MAIPU	NA
hpb2ANYHGBIi	MICRO	Mas	Regiones	Hombre	7	SIEMPRE HA SIDO BUENO, TIENE BUENA SEÑAL NUNCA HE HECHO UN RECLAMO	Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	PUERTO VARAS	NA
i1g5zkwQKYoi	MICRO	Mas	Regiones	Hombre	7	POR QUE NUNCA HE TENIDO PROBLEMA CON LA COMPAÑIA DESDE QUE CAMBIE POR QUE ESTABA EN MOVISTAR Y ME CAMBIE Y EL SERVICIO ES RAPIDO NO HE TENIDO NINGUN PROBLEMA	Funciona bien /sin problemas,Buen funcionamiento de Internet / velocidad / estabilidad	COQUIMBO	NA
PWsXK2uhfqDf	MICRO	Mas	Regiones	Hombre	5	PORQUE FALTAN MAS OPCIONES DE OFERTA EN RELACIÓN DE LAS OTRAS COMPAÑÍAS HAY QUE PAGAR, NO HAY OPFERTAS PARA EL CLIENTE	Pocas / malas ofertas	VALPARAISO	JEFE
2SKY0Ke0tX3g	PYME	Mas	Regiones	Hombre	5	PORQUE SE LE VA LA SEÑAL MUCHA, AL MOVIL	Mala señal / pérdida de señal / interferencias	MUCHEL	DUEÑO
5Bhz82WG7DMv	MICRO	Mas	Santiago	Hombre	6	PORQUE DERREPENTE LA SEÑAL NO ES MUY BUENA Y NO ABARCA EN LUGARES QUE DEBIERA TENER	Mala señal / pérdida de señal / interferencias	SANTIAGO	NA
oZU7zY1g0oEM	MICRO	Mas	Regiones	Hombre	6	PORQUE NO ES MALO NO TENGO PROBLEMAS PARA QUE ME LLAMEN PARA EL TRABAJO O LLAMAR YO ME MANDAN MENSAJES PUBLICO EL TELEFONO PARA PUBLICAR Y NO HE TENIDO PROBLEMAS	Funciona bien /sin problemas,Buen servicio de telefonía	CAUQUENES	NA
tdT0AYhFrQsS	MICRO	Mas	Regiones	Hombre	5	HAY MALA SEÑAL EN EN SECTOR DONDE ESTOY EN HUALPEN NO HAY UNA FIDELIZACION AL CLIENTE ANTIGUO	Mala señal / pérdida de señal / interferencias,Mala post venta /atención,No apoyan / no ayudan al cliente	CONCEPCION	NA
ju5LQAaxiFwN	MICRO	Mas	Regiones	Mujer	6	PORQUE HASTA EL MOMENTO HA SIDO BUENO NO HE TENIDO PROBLEMAS TENGO BUENA SEÑAL EN TODOS LOS LUGARES EN DONDE VOY ES QUE YO VIVO EN VALDIVIA ES CIUANDO VIAJO A SAN JOSE VILLARRICA TEMUCO CONCEPCION NO	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas,Buena señal / no hay caídas de la señal / señal nítida	VALDIVIA	DUEÑA
0WPluNXWDpCx	PYME	Mas	Regiones	Hombre	3	PORQUE YO VIVO EN LA SEPTIMA REGION EN CURICO EN LA COMUNA SAGRADA FAMILIA Y LO QUE PASA ES QUE MUY PREO MUY ANTES REA MUY BUENA LA SEÑAL ENTEL PERO AHORA SE LE STA METIENDO WOM O CLARO ACA PORQUE PASAN 3 HORAS QUE NO PUEDES COMUNICARTE CON NADIE AQUI ESTUVIMSO 3 O 4 HORAS SIN SEÑAL AQUI EN SAGRADA FAMILIA TODO LO QUE ES EMPRESA Y LOS TELEFONOS OPRQU EYO TRABAJO CON HARTOS AMIGOS PORQUE SUPUESTAMENTE SOLO ENTREGAN L AMEJOR CALIDAD PARA ACA PERO AHORA YA NO ES ENTEL AHORA S EHAN METIDO CLARO Y WOM Y TIENEN MEJOR SEÑAL QUE ENTEL TODA PERSONA QUE TIENE NETEL ACA HAY HARTOS LLAMADOS YO COMO RICARDO ROSALES HICE UN RECLAMO FORMAL Y VINIERON LOS DE LA ANTENA SUPUESTAMENTE HABIA QUEDADO OK PASARON DOS MESES Y ESTAMOS PEOR QUE ANTES	Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas	SAGRADA FAMILIA	PROPIETARIO DUEÑO
S9CjIN741qcH	MICRO	Mas	Regiones	Hombre	2	PESIMO SERVICIO NUNCA ME HAN SOLUCIONADO LOS TRAMITES POR ESO ME PORTE A MOVISTAR DENUEVO LOS REQUERIMIENTOS YO ERA CLIENTE DE MOVISTAR ME PORTE A ENTEL Y ME OFRECIERON EQUIPOS EJECUTIVO Y LOS REQUERIMIENTOS DE EQUIPOS NUNCA LOS TENIAN Y NO CUMPLIERON NADA DE LO QUE ME OFRECIERON.LO ULTIMO QUE CUANDO YO ME PORTE A ENTEL EMPEZO A CAERSE LA SEÑAL PERO MALISIMO EN VARIOS LUGARES QUE YO FRECUENTABA YO NO TENIA SEÑAL NO PODIA LLAMAR Y NO ME PODIAN LLAMAR Y CUANDO QUISE SOLICITAR EQUIPOS IPHONE ONCE PROMAX ME PIDIERON IVA Y LOS COMPRE EN MACONLINE LOS CINCO PORQUE FUERON CINCO EQUIPOS LOS QUE COMPRE	No responde / no resuelven requerimientos,Funciona mal /ha tenido problemas,No cumplen con lo que ofrecen,Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas,Equipos caros	SAN ANTONIO	NA
