...1	ola - Ola Medicion	F1 - F1. ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	"P1 - I. MODULO INDICADORES GENERALES
   
       1. En su empresa, ¿con qué compañías tiene contratado los servicios de telefonía celular como teléfonos o banda ancha móvil? (MÚLTILPLE; LEER OPCIONES)"	EMPTY LABEL - No Information Provided...5	P2 - P2. De las empresas con las cuales tiene contratados los servicios Móviles, nos podría decir ¿Cuál es la principal? (RESPUESTA ÚNICA)	"P3 - AHORA HABLAREMOS DE SU RELACIÓN CON ENTEL
    
           3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7= Muy satisfecho, ¿Cuán satisfecho está Ud. con ENTEL?"	p4_COD - 4. ¿Por qué evalúa con esa nota? (sondear y profundizar) LITERAL	"P5__1 - a)	Entel es una empresa con buena imagen en general  :"	"P6 - 6.	¿Y con qué nota de 1 a 7 donde 1 es muy insatisfecho y 7 es muy satisfecho, Cómo evalúa a Entel en cuanto a la Calidad y Cobertura de las llamadas?"	"P7 - 7.	Y siguiendo la misma escala de 1 a 7 ¿Cómo evalúa a Entel en cuanto al servicio de Internet a través del celular?"	P8__1 - a) Precio del Plan en relación al mercado (Competitividad) :	P8__2 - b) Competitividad de planes en cuanto a minutos :	P8__3 - c) Competitividad de planes en cuanto a Internet Móvil o internet en su celular :	P8__4 - d) El precio de los equipos en relación al mercado. :	"P9 - 9.	Y en lo que respecta a Servicio a Clientes, ¿cuán satisfecho está con ENTEL? Escala 1 a 7"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__4 - Solicitar cambio de plan :	P10__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__4 - Solicitar cambio de plan :	P11__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__4 - Solicitar cambio de plan :	P12__5 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__6 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa (Todos) :	P13__5 - Tiendas/ Sucursales (Todos) :	P13__6 - App administradores empresas (Todos) :	P14__1 - Ejecutivo asignado :	P14__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P14__3 - Call Center Empresa :	P14__4 - Página Web Empresa (Todos) :	P14__5 - Tiendas/ Sucursales (Todos) :	P14__6 - App administradores empresas (Todos) :	"P15__1 - a)	El Proceso de Facturación en general :"	"P15__2 - b)	La Exactitud de los cobros :"	"P15__3 - c)	La Claridad de la factura :"	"P15__4 - d)	La Facilidad para realizar el pago :"	"P16 - IV.	MODULO INCIDENCIAS
             16. En los últimos 3 meses, ¿ha tenido algún problema con el servicio entregado por Entel a su empresa?"	P17_COD - 17. ¿Qué problemas ha tenido? Sondear	"P18 - LEALTAD
         18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P19 - 19. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P20 - 20. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P23 - 23.	¿Cuál es el rubro de su empresa?"	"P25 - 25.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P28 - 28.	Sexo  (No preguntar):"	"P29 - 29.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...61	EMPTY LABEL - No Information Provided...62	EMPTY LABEL - No Information Provided...63	EMPTY LABEL - No Information Provided...64	EMPTY LABEL - No Information Provided...65
NA	ola	F1	P1	P1._5 (otro)	P2	P3	p4_COD	P5[{_1}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10[{_1}].rp10	P10[{_2}].rp10	P10[{_3}].rp10	P10[{_4}].rp10	P10[{_5}].rp10	P10[{_6}].rp10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P13[{_5}].Rp	P13[{_6}].Rp	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P14[{_6}].rp	P15[{_1}].rp	P15[{_2}].rp	P15[{_3}].rp	P15[{_4}].rp	P16	P17_COD	P18	P19	P20	CORFO_FINAL	P23	P25	P28	P29	CL_GOL	CL_segmento_GOL	CL_SEGMENTO	CL_Negocio	CL_BASE
encriptado	ola	F1	P1	P1._5 (otro)	P2	P3	p4_COD	P5[{_1}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10[{_1}].rp10	P10[{_2}].rp10	P10[{_3}].rp10	P10[{_4}].rp10	P10[{_5}].rp10	P10[{_6}].rp10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P13[{_5}].Rp	P13[{_6}].Rp	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P14[{_6}].rp	P15[{_1}].rp	P15[{_2}].rp	P15[{_3}].rp	P15[{_4}].rp	P16	P17_COD	P18	P19	P20	CORFO_FINAL	P23	P25	P28	P29	CL_GOL	CL_segmento_GOL	CL_SEGMENTO	CL_Negocio	CL_BASE
QCqTCqjCHJlb	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	No solucionan problemas	5	6	5	4	4	4	5	3	No	No	No	Si	Si	Si	NA	NA	NA	4	4	4	NA	NA	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	1. Muy Insatisfecho	1. Muy Insatisfecho	1. Muy Insatisfecho	5	NO	NA	3	3	Sí	PEQUEÑA	CONSTRUCCIÓN	PUERTO AYSEN	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
iq7JVu4pFv8j	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	5	Planes de mala calidad	6	6	6	5	5	4	4	4	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	No	NA	NA	NA	NA	4	NA	5	5	5	6	NO	NA	2	5	Sí	MICRO	ESTRUCTURA METALICA	TALCA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
O06ICSRySrfb	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Solucionan requerimientos	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	Ns/Nr	7. Muy Satisfecho	No	Si	No	Si	No	No	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	MICRO	DISTRIBUCION DE CONFITES	SAN CRUZ	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
v9T9ZY74GoEL	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	4	Mal servicio / calidad servicio,Mala atención	4	5	5	4	5	4	4	5	No	Si	No	No	No	No	NA	5	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	NA	NA	Sí	Sí	No	No	NA	NA	6	5	NA	NA	4	5	5	4	SI	Facturación	4	4	Sí	PEQUEÑA	INSTALACION DE GASES MEDICINALES	MAIPU	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
oKpaccOHEtTW	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	7. Muy Satisfecho	Buen servicio / calidad servicio,No ha tenido problemas	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	No	No	Si	No	No	No	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	5.App Administradores Empresa	NA	NA	NA	NA	NA	No	Sí	No	Sí	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	TRANSPORTE	TALCAHUANO	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
xT3ntQTJfUMM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Problema facturación	7. En absoluto acuerdo	7. Muy Satisfecho	7. Muy Satisfecho	6	6	7. Muy Satisfecho	6	6	No	No	No	Si	No	Si	NA	NA	NA	7. Muy Satisfecho	NA	7. Muy Satisfecho	NA	NA	NA	2.Call center	NA	2.Call center	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	1. Muy Insatisfecho	1. Muy Insatisfecho	1. Muy Insatisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	SERVICIOS DE ASEO Y CORRESPONDENCIA	ANTOFAGASTA	Mujer	REGIONES	MasPrem	Masivo Premium	PEQUENAS	Móvil	Stock Movil
xA10ck1cpveo	MEDICION SEPTIEMBRE 2020	Sí	Entel,Otros	TELEFONICA DEL SUR	Entel	5	Mal servicio / calidad servicio	7. En absoluto acuerdo	7. Muy Satisfecho	6	6	7. Muy Satisfecho	6	7. Muy Satisfecho	6	Si	Si	No	No	No	No	7. Muy Satisfecho	7. Muy Satisfecho	NA	NA	NA	NA	4.En tiendas/ sucursales	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NA	NA	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	COMPRA Y VENTA DE HERARRAMIENTAS Y VULCANIZACIÓN  E IMPORTACIÓN.	OSORNO	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
NPq5mUBaodQw	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	6	Siempre se puede mejorar	7. En absoluto acuerdo	6	6	6	5	5	5	7. Muy Satisfecho	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7. Muy Satisfecho	NA	NA	NA	NA	NA	2.Call center	NA	NA	No	Sí	Sí	No	NA	NA	NA	6	6	NA	6	7. Muy Satisfecho	7. Muy Satisfecho	7. Muy Satisfecho	NO	NA	7. Muy Satisfecho	7. Muy Satisfecho	Sí	PEQUEÑA	MUEBLES	LA GRANJA SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Móvil	Stock Movil
