encriptado	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	SEG_CORFO	Rubro	Ciudad_comuna	sex_enc	Regionx	SEG_GOL
QCqTCqjCHJlb	4	No solucionan problemas	PEQUEÑA	CONSTRUCCIÓN	PUERTO AYSEN	Hombre	REGIONES	Mas
iq7JVu4pFv8j	5	Planes de mala calidad	MICRO	ESTRUCTURA METALICA	TALCA	Hombre	SANTIAGO	Mas
O06ICSRySrfb	7	Solucionan requerimientos	MICRO	DISTRIBUCION DE CONFITES	SAN CRUZ	Hombre	REGIONES	Mas
v9T9ZY74GoEL	4	Mal servicio / calidad servicio,Mala atención	PEQUEÑA	INSTALACION DE GASES MEDICINALES	MAIPU	Hombre	SANTIAGO	Mas
oKpaccOHEtTW	7	Buen servicio / calidad servicio,No ha tenido problemas	PEQUEÑA	TRANSPORTE	TALCAHUANO	Mujer	REGIONES	Mas
xT3ntQTJfUMM	6	Problema facturación	PEQUEÑA	SERVICIOS DE ASEO Y CORRESPONDENCIA	ANTOFAGASTA	Mujer	REGIONES	MasPrem
xA10ck1cpveo	5	Mal servicio / calidad servicio	PEQUEÑA	COMPRA Y VENTA DE HERARRAMIENTAS Y VULCANIZACIÓN  E IMPORTACIÓN.	OSORNO	Hombre	REGIONES	Mas
NPq5mUBaodQw	6	Siempre se puede mejorar	PEQUEÑA	MUEBLES	LA GRANJA SANTIAGO	Hombre	SANTIAGO	Mas
KrwhMb52NRuo	2	Mala cobertura,No solucionan problemas	MICRO	TURISTICO, ALIMENTACION	AISEN, VAIA MURTA CARRETERA AUSTRAL	Mujer	REGIONES	Mas
HyQBo0C6Jspm	7	Buena cobertura,Buena señal,No ha tenido problemas	MICRO	IMPRENTA.	LAS CONDES.	Hombre	SANTIAGO	Mas
fSPjps9qJgpQ	7	Buen servicio / calidad servicio,Buena comunicación,Buena señal	MEDIANA	GRAFICA	LA FLORIDA	Hombre	SANTIAGO	Mas
gfKDp9CpCcjA	5	Mala atención,Mala señal	MICRO	CONSTRUCCION	SANTIAGO	Hombre	SANTIAGO	Mas
juP7kuqoKXEn	4	Mal servicio / calidad servicio,Lentitud de plataforma	MICRO	MANUFACTURA DE MUEBLES	SANTIAGO	Hombre	SANTIAGO	Mas
tKwVmp5LMzm1	7	Buen servicio / calidad servicio,Buenos precios / precios adecuados	MICRO	PUBLICIDAD.	PEÑALOLEN.	Hombre	SANTIAGO	Mas
73ov6RCfVeQj	3	Mal servicio / calidad servicio	PEQUEÑA	SERVICIOS JURIDICO.	PERALILLO.	Mujer	REGIONES	MasPrem
czcIZlwKK0eV	7	No ha tenido problemas	MICRO	Transporte	Los Angeles	Hombre	REGIONES	Mas
9X2VRKOHDjvc	5	Mala atención,Mal servicio internet / señal	PEQUEÑA	ALMACEN DE PAQUETERIA Y REMATES	PEÑAFLOR	Hombre	SANTIAGO	Mas
lq4ZSXfvmEhL	6	Mala señal	MICRO	COMERCIO	TALCA	Hombre	REGIONES	Mas
