encriptado	FECHA_NEGOCIO	SISTEMA	TIPONEGOCIO	GRUPO_NEGOCIO	GRUPO_AFINIDAD	EMPRESA_EJECUTIVO	MODELO_EJECUTIVO	DESC_TIPOCLIENTE	DESC_GRUPOCLIENTE	CODI_PLAN	DESC_PLAN	TIPO_PLAN	TIPO_PLAN_MM	CODI_SUCURSAL	NOMB_SUCURSAL	TIPO_SUCURSAL	ZONA	CIUDAD	CONVERGENCIA	Cargo_Fijo	GRUPO3	GRUPO4	DESCRIPCION_CARGO_SIMPLE	MOVIMIENTO	DIA	MES	ANO	DIA_VENTA	MES_VENTA	ANO_VENTA	CANAL_REASIGNADO	FUNCION_EJECUTIVO	COMPANIA_ORIGEN_PORT_IN	CARGO_FIJO2	ID_DIA
SiCn2lkTjty8	05/10/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	9235.2941	MOVIL	PLAN IM	Web Digital	Anulaciones	8	octubre	2020	5	OCTUBRE	2020	Web Digital	Ejecutivo	NA	8394.958	08/10/2020
SiCn2lkTjty8	05/10/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Web Digital	Captura	AGIL PERS C/GIRO	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	NUEVO	9235.2941	MOVIL	PLAN IM	Web Digital	Anulaciones	8	octubre	2020	5	OCTUBRE	2020	Web Digital	Ejecutivo	NA	8394.958	08/10/2020
SILfhSKf0S9w	04/03/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	17	ABRIL	2020	4	MARZO	2020	OUTBOUND	Ejecutivo	NA	8394.958	17/04/2020
P5FZwu9GIzVM	20/01/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	28	ENERO	2020	20	ENERO	2020	OUTBOUND	NA	NA	8394.957983	28/01/2020
P5FZwu9GIzVM	20/01/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	PREGO VENTAS REMOTAS	CALL CENTER OUTBOUND	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	28	ENERO	2020	20	ENERO	2020	OUTBOUND	NA	NA	8394.957983	28/01/2020
P5FZwu9GIzVM	01/04/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	29	ABRIL	2020	1	ABRIL	2020	OUTBOUND	Ejecutivo	NA	8394.958	29/04/2020
P5FZwu9GIzVM	01/04/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	CGS	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD52	2199 Emp. Extra SIM	SIM Emp	CAP	624	WEB DIGITAL	WEB EMPRESAS	Santiago	Santiago	UPSELLING	9235.294118	MOVIL	PLAN IM	OUTBOUND	Anulaciones	29	ABRIL	2020	1	ABRIL	2020	OUTBOUND	Ejecutivo	NA	8394.958	29/04/2020
YMVZcZUEgKIW	22/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Tecniplus	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Sur	Concepcion	UPSELLING	13436.97479	MOVIL	PLAN IM	Agentes Captura	Anulaciones	15	JUNIO	2020	22	MAYO	2020	Agentes Captura	Ejecutivo	NA	10915.9664	15/06/2020
YMVZcZUEgKIW	22/05/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Tecniplus	Captura	PERS GIRO COM PYME C	MICRO Y SOHO	EPD53	2200 Emp. Extra SIM	SIM Emp	CAP	3782	AGENTES CAPTURA DELIVERY	AGENTES CAPTURA DELIVERY	Sur	Concepcion	UPSELLING	13436.97479	MOVIL	PLAN IM	Agentes Captura	Anulaciones	15	JUNIO	2020	22	MAYO	2020	Agentes Captura	Ejecutivo	NA	10915.9664	15/06/2020
5E0yWHqk8f05	12/11/2020	WPE	SUSCRIPCION MASIVA	SUSCRIPCION	00:00	Entel Call Center	Atención	PERS GIRO COM PYME C	MICRO Y SOHO	EPD90	2251 Internet Movil E. Extra	OTROS	FU	1543	ASISTENTE VIRTUAL	CALL CENTER	Santiago	Santiago	UPSELLING	21764.7059	BAM	BAM	Fusion Movil	Anulaciones	23	noviembre	2020	12	NOVIEMBRE	2020	Fusion Movil	Ejecutivo	NA	15042.0168	23/11/2020
