"encriptado"	"seg_gol"	"seg_corfo"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"bench"	"fecha_bench"
"1"	"mMLiTalNRbxB"	"Mas"	"MICRO"	6	"PORQUE TENIA TENIA ALGUN INCONVENIENTE PERO ME LO HAN RESUELTO."	"fijo"	"2019_q1"
"2"	"iXc1tnv55BGa"	"Mas"	"MICRO"	7	"PORQUE NUNCA HEMOS TENIDO NINGÚN PROBLEMA."	"fijo"	"2019_q1"
"3"	"7tDvPvGgbo9S"	"Mas"	"MICRO"	1	"PORQUE LA SEÑAL QUE TENEMOS ACÁ ES SOLAMENTE DE ENTEL PORQUE LE DIGO ESTAMOS EN LA PRE-CORDILLERA ES SOLAMENTE DE ENTEL Y ES UNA ANTENA QUE SE PASA CAYENDO LA SEÑAL LA SEÑAL DE INTERNET ES MALISIMA Y ESTAMOS OBLIGADOS A ESTAR CON ELLOS PORQUE ES LA UNICA ANTENA QUE TENEMOS ACA ES DE ESA COMPAÑIA PORQUE SI HUBIERA OTRA COMPAÑIA ME CAMBIO AL OTRO DIA"	"fijo"	"2019_q1"
"4"	"K8iWWJ4uOS68"	"Mas"	"MICRO"	5	"PORQUE CADA VEZ QUE LLUEVE SE CAE EL SISTEMA SE CAE LA SEÑAL O EL INTERNET SE CAE TODO Y CAYENDOSE EL INTERNET NO PUEDES HACER NADA"	"fijo"	"2019_q1"
"5"	"6R2cFtZruDiO"	"MasPrem"	"PEQUEÑA"	6	"POR QUE NO ESTOY SATISFECHO, POR QUE LA SEÑAL NO ES SUFICIENTE EN CUANTO A LA COBERTURA, A LA COBERTURA."	"fijo"	"2019_q1"
"6"	"K0VgeUj2sERa"	"Mas"	"PEQUEÑA"	6	"PORQUE NO ES EXCELENTE, EN GENERAL NO ESTOY MUY SATISFECHO."	"fijo"	"2019_q1"
"7"	"qyfb8RECkIeg"	"MasPrem"	"MICRO"	5	"PORQUE DE REPENTE, DONDE YO TRABAJO, SE PIERDE UN POCO LA CONECTIVIDAD. POR EJEMPLO EN LAS LLAMADAS, SE CORTAN O LA INTERNET TAMBIÉN SE CORTA EN ALGUNOS MOMENTOS, NO ES SIEMPRE Y RARA VEZ."	"fijo"	"2019_q1"
"8"	"gsRpBAxAe0Z4"	"MasPrem"	"MICRO"	7	"PORQUE SON BUENOS PLANES QUE TENEMOS EN TELEFONÍA PARA EMPRESA."	"fijo"	"2019_q1"
"9"	"Lhfjnuv7UEUy"	"MasPrem"	"PEQUEÑA"	6	"DE REPENTE EL INTERNET SE PONE UN POCO LENTO, SOLO POR ESO."	"fijo"	"2019_q1"
"10"	"dUKXihWuOvP0"	"MasPrem"	"MICRO"	4	"POR QUE EN LA ZONA DONDE YO VIVO ESTA SATURADO EL INTERNET QUE ES LO QUE MAS PREOCUPA MAS QUE NADA SIRVE PARA LAS LLAMADAS TELEFÓNICAS LAS RESPUESTAS A LOS LLAMADOS NO SON SATISFACTORIOS."	"fijo"	"2019_q1"
"11"	"nStwxuKPrHcv"	"MasPrem"	"MICRO"	5	"PORQUE LA SEÑAL CUANDO SE VA POR CARRETERA LA SEÑAL SE ME HA COMPLICADO Y NO HE PODIDO OPTIMIZAR LA SEÑAL,ANTES ERA MUY BUENA."	"fijo"	"2019_q1"
"12"	"jxNbtwoJtBbQ"	"Mas"	"PEQUEÑA"	5	"SIEMPRE TIENE UN PROBLEMA DE CONECTIVIDAD EN ALGUNOS MOMENTO Y LA RESPUESTA NUNCA ES RÁPIDA"	"fijo"	"2019_q1"
"13"	"RH64M14wv14C"	"MasPrem"	"MICRO"	6	"PORQUE DE REPENTE SE CAE, EL SERVICIO SE CAE."	"fijo"	"2019_q1"
"14"	"cERhkmM3qXbd"	"Mas"	"MICRO"	5	"BUENO BASICAMENTE EL PROBLEMA ES DE REPENTE SEÑAL PORQUE YO ANDO MAS PRACTICAMENTE PARTES RURALES Y HAY PARTES QUE NO HAY COBERTURA BASICAMENTE ESO"	"fijo"	"2019_q1"
"15"	"JodcTmeqaU2X"	"Mas"	"MICRO"	6	"POR QUE DE REPENTE SE CAE LA SEÑAL DE REPENTE SE CAE EL WIFI ESO ES LO QUE MAS ES LA UNICA"	"fijo"	"2019_q1"
"16"	"7TefWZlQ1gOn"	"MasPrem"	"PEQUEÑA"	5	"PORQUE IGUAL SE NOS HA IDO LA SEÑAL EL INTERNET Y TODO ESO"	"fijo"	"2019_q1"
"17"	"k79WMlpkcLHi"	"Mas"	"MICRO"	6	"PORQUE EL SERVICIO ES BUENO EN LA ATENCIÓN AL CLIENTE, PODRÍA SER MAS BARATO PERO ES BUENO."	"fijo"	"2019_q1"
