"encriptado"	"seg_gol"	"seg_corfo"	"principal compañía"	"filtro1 - filtro 1: ¿es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"p7 - 7. y en lo que respecta a servicio a clientes, en escala de 1 a 7 ¿cuán satisfecho está ud . {#principal}{#princ_text}?"	"p9__1 - a) precio en relación al mercado (competitividad) :"	"p9__2 - b) competitividad de planes en cuanto a minutos :"	"p9__1 - contratación de nuevos servicios :"	"p10__6 - 'consultas de la factura, como fecha pago, montos, detalles de cobros' :"	"p16 - facturación: 16. en cuanto a la facturación de todos los servicios móviles que tiene con {#principal}, en una escala de 1 a 7 ¿cómo evalúa el proceso de facturación de {#principal} en general?"	"p17 - problemas 17. en los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#principal}?"	"p15 - 15. ¿qué problema ha tenido? sondear literal"	"p19 - 19. ¿comunicó este problema a {#principal}?"	"p20 - 20. ¿y fue solucionado su problema?"	"18. utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿qué tan dispuesto estaría usted a continuar con {#principal}{#princ_text}?"	"p24 - 24. en base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿qué tan dispuesto estaría usted a recomendar a {#principal}?"	"p_3a - 3) 3) para servicios fijos, ¿hace cuánto tiempo que tiene esta cuenta con {#principal}{#princ_text}? años"	"p_3b - meses"	"p_4 - 4) ¿ pensando en su relación con {#principal}{#princ_text} ¿tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	"bench"	"fecha_bench"
"1"	"mMLiTalNRbxB"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE TENIA TENIA ALGUN INCONVENIENTE PERO ME LO HAN RESUELTO."	"7"	"7"	"9. NS/NR"	"No"	"7"	"6"	"No"	NA	NA	NA	7	10	1	0	"No"	"fijo"	"2019_q1"
"2"	"iXc1tnv55BGa"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NUNCA HEMOS TENIDO NINGÚN PROBLEMA."	"5"	"6"	"6"	"No"	"7"	"6"	"No"	NA	NA	NA	7	10	2	99	"No"	"fijo"	"2019_q1"
"3"	"7tDvPvGgbo9S"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	1	"PORQUE LA SEÑAL QUE TENEMOS ACÁ ES SOLAMENTE DE ENTEL PORQUE LE DIGO ESTAMOS EN LA PRE-CORDILLERA ES SOLAMENTE DE ENTEL Y ES UNA ANTENA QUE SE PASA CAYENDO LA SEÑAL LA SEÑAL DE INTERNET ES MALISIMA Y ESTAMOS OBLIGADOS A ESTAR CON ELLOS PORQUE ES LA UNICA ANTENA QUE TENEMOS ACA ES DE ESA COMPAÑIA PORQUE SI HUBIERA OTRA COMPAÑIA ME CAMBIO AL OTRO DIA"	"1"	"3"	"1"	"No"	"2"	"3"	"Sí"	"CONECTIVIDAD EN CUANTO A CONECTIVIDAD EN CUANTO A SEÑAL QUE LA ANTENA SE CAE QUEDAMOS SIN SEÑAL MUERTOS NI SIQUIERA PARA LLAMADAS DE EMERGENCIA APARTE DE LA CONECTIVIDAD QUE SE CAE LA ATENA MALA LA ATENCION MALO EL SERVICIO MALO ENTEL EN GENERAL MALO"	"Sí"	"No"	1	0	3	6	"No"	"fijo"	"2019_q1"
"4"	"K8iWWJ4uOS68"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE CADA VEZ QUE LLUEVE SE CAE EL SISTEMA SE CAE LA SEÑAL O EL INTERNET SE CAE TODO Y CAYENDOSE EL INTERNET NO PUEDES HACER NADA"	"6"	"6"	"7"	"Si"	"7"	"7"	"Sí"	"QUE SE CAE EL SISTEMA"	"Sí"	"Si"	7	10	5	6	"No"	"fijo"	"2019_q1"
"5"	"6R2cFtZruDiO"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE NO ESTOY SATISFECHO, POR QUE LA SEÑAL NO ES SUFICIENTE EN CUANTO A LA COBERTURA, A LA COBERTURA."	"2"	"6"	"6"	"Si"	"5"	"5"	"Sí"	"DE LA FACTURACIÓN, NO ESTOY DE ACUERDO CON LO FACTURADO. EN LOS COBROS DE SERVICIOS NO CONTRATADOS."	"Sí"	"Si"	6	4	15	99	"Sí"	"fijo"	"2019_q1"
"6"	"K0VgeUj2sERa"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO ES EXCELENTE, EN GENERAL NO ESTOY MUY SATISFECHO."	"6"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	5	2	"Sí"	"fijo"	"2019_q1"
"7"	"qyfb8RECkIeg"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE DE REPENTE, DONDE YO TRABAJO, SE PIERDE UN POCO LA CONECTIVIDAD. POR EJEMPLO EN LAS LLAMADAS, SE CORTAN O LA INTERNET TAMBIÉN SE CORTA EN ALGUNOS MOMENTOS, NO ES SIEMPRE Y RARA VEZ."	"6"	"6"	"5"	"No"	"6"	"7"	"No"	NA	NA	NA	6	10	1	3	"Sí"	"fijo"	"2019_q1"
"8"	"gsRpBAxAe0Z4"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE SON BUENOS PLANES QUE TENEMOS EN TELEFONÍA PARA EMPRESA."	"7"	"7"	"7"	"No"	NA	"7"	"No"	NA	NA	NA	7	10	8	6	"Sí"	"fijo"	"2019_q1"
"9"	"Lhfjnuv7UEUy"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"DE REPENTE EL INTERNET SE PONE UN POCO LENTO, SOLO POR ESO."	"6"	"7"	"7"	"No"	NA	"7"	"Sí"	"EL INTERNET EN ALGUNAS COMUNES NO TOMA EL INTERNET, FALLAS CON EL INTERNET."	"Sí"	"No"	6	8	1	99	"Sí"	"fijo"	"2019_q1"
"10"	"dUKXihWuOvP0"	"MasPrem"	"MICRO"	"Entel"	"SI -> CONTINUAR"	4	"POR QUE EN LA ZONA DONDE YO VIVO ESTA SATURADO EL INTERNET QUE ES LO QUE MAS PREOCUPA MAS QUE NADA SIRVE PARA LAS LLAMADAS TELEFÓNICAS LAS RESPUESTAS A LOS LLAMADOS NO SON SATISFACTORIOS."	"5"	"4"	"5"	"No"	NA	"6"	"No"	NA	NA	NA	5	5	7	99	"No"	"fijo"	"2019_q1"
