"V1"	"encriptado"	"seg_gol"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"periodo"
"1"	1	"mMLiTalNRbxB"	"Mas"	"6"	"PORQUE TENIA TENIA ALGUN INCONVENIENTE PERO ME LO HAN RESUELTO."	"2019_q1"
"2"	2	"iXc1tnv55BGa"	"Mas"	"7"	"PORQUE NUNCA HEMOS TENIDO NINGÚN PROBLEMA."	"2019_q1"
"3"	3	"7tDvPvGgbo9S"	"Mas"	"1"	"PORQUE LA SEÑAL QUE TENEMOS ACÁ ES SOLAMENTE DE ENTEL PORQUE LE DIGO ESTAMOS EN LA PRE-CORDILLERA ES SOLAMENTE DE ENTEL Y ES UNA ANTENA QUE SE PASA CAYENDO LA SEÑAL LA SEÑAL DE INTERNET ES MALISIMA Y ESTAMOS OBLIGADOS A ESTAR CON ELLOS PORQUE ES LA UNICA ANTENA QUE TENEMOS ACA ES DE ESA COMPAÑIA PORQUE SI HUBIERA OTRA COMPAÑIA ME CAMBIO AL OTRO DIA"	"2019_q1"
"4"	4	"K8iWWJ4uOS68"	"Mas"	"5"	"PORQUE CADA VEZ QUE LLUEVE SE CAE EL SISTEMA SE CAE LA SEÑAL O EL INTERNET SE CAE TODO Y CAYENDOSE EL INTERNET NO PUEDES HACER NADA"	"2019_q1"
"5"	5	"6R2cFtZruDiO"	"MasPrem"	"6"	"POR QUE NO ESTOY SATISFECHO, POR QUE LA SEÑAL NO ES SUFICIENTE EN CUANTO A LA COBERTURA, A LA COBERTURA."	"2019_q1"
"6"	6	"K0VgeUj2sERa"	"Mas"	"6"	"PORQUE NO ES EXCELENTE, EN GENERAL NO ESTOY MUY SATISFECHO."	"2019_q1"
"7"	7	"qyfb8RECkIeg"	"MasPrem"	"5"	"PORQUE DE REPENTE, DONDE YO TRABAJO, SE PIERDE UN POCO LA CONECTIVIDAD. POR EJEMPLO EN LAS LLAMADAS, SE CORTAN O LA INTERNET TAMBIÉN SE CORTA EN ALGUNOS MOMENTOS, NO ES SIEMPRE Y RARA VEZ."	"2019_q1"
"8"	8	"gsRpBAxAe0Z4"	"MasPrem"	"7"	"PORQUE SON BUENOS PLANES QUE TENEMOS EN TELEFONÍA PARA EMPRESA."	"2019_q1"
"9"	9	"Lhfjnuv7UEUy"	"MasPrem"	"6"	"DE REPENTE EL INTERNET SE PONE UN POCO LENTO, SOLO POR ESO."	"2019_q1"
"10"	10	"dUKXihWuOvP0"	"MasPrem"	"4"	"POR QUE EN LA ZONA DONDE YO VIVO ESTA SATURADO EL INTERNET QUE ES LO QUE MAS PREOCUPA MAS QUE NADA SIRVE PARA LAS LLAMADAS TELEFÓNICAS LAS RESPUESTAS A LOS LLAMADOS NO SON SATISFACTORIOS."	"2019_q1"
"11"	11	"nStwxuKPrHcv"	"MasPrem"	"5"	"PORQUE LA SEÑAL CUANDO SE VA POR CARRETERA LA SEÑAL SE ME HA COMPLICADO Y NO HE PODIDO OPTIMIZAR LA SEÑAL,ANTES ERA MUY BUENA."	"2019_q1"
"12"	12	"jxNbtwoJtBbQ"	"Mas"	"5"	"SIEMPRE TIENE UN PROBLEMA DE CONECTIVIDAD EN ALGUNOS MOMENTO Y LA RESPUESTA NUNCA ES RÁPIDA"	"2019_q1"
"13"	13	"RH64M14wv14C"	"MasPrem"	"6"	"PORQUE DE REPENTE SE CAE, EL SERVICIO SE CAE."	"2019_q1"
"14"	14	"cERhkmM3qXbd"	"Mas"	"5"	"BUENO BASICAMENTE EL PROBLEMA ES DE REPENTE SEÑAL PORQUE YO ANDO MAS PRACTICAMENTE PARTES RURALES Y HAY PARTES QUE NO HAY COBERTURA BASICAMENTE ESO"	"2019_q1"
"15"	15	"JodcTmeqaU2X"	"Mas"	"6"	"POR QUE DE REPENTE SE CAE LA SEÑAL DE REPENTE SE CAE EL WIFI ESO ES LO QUE MAS ES LA UNICA"	"2019_q1"
"16"	16	"7TefWZlQ1gOn"	"MasPrem"	"5"	"PORQUE IGUAL SE NOS HA IDO LA SEÑAL EL INTERNET Y TODO ESO"	"2019_q1"
"17"	17	"k79WMlpkcLHi"	"Mas"	"6"	"PORQUE EL SERVICIO ES BUENO EN LA ATENCIÓN AL CLIENTE, PODRÍA SER MAS BARATO PERO ES BUENO."	"2019_q1"
"18"	18	"RiXxI9B24m1o"	"Mas"	"6"	"PORQUE ES UN BUEN SERVICIO PERO AVECES FALLA PIERDE LA CONEXIÓN CON LA WIFI"	"2019_q1"
"19"	19	"hZMBoOlsdqij"	"MasPrem"	"6"	"EL SERVICIO QUE ME A DADO TE4NGO SATISFACCIONES CON EL NO TENGO PROBLEMAS EN FIN INCLUSO ESTOY EN LA PARTE RURAL ESTOY MUY LEJOS DE LA CIUDAD MAS CERCANA Y NO TENGO PROBLEMA DE SINTONIA EN ABSOLUTO"	"2019_q1"
"20"	20	"OXE5VPc1TOqF"	"MP"	"6"	"POR LO CARO, ALTOS COSTOS BANDA ANCHA NO CUMPLE CON LAS EXPECTATIVAS QUE DIJERON QUE ERAN QUE ES INTERNET DEDICADO"	"2019_q1"
"21"	21	"0mDTkCPi5uAS"	"MasPrem"	"7"	"PORQUE TUVE LA COMUNICACIÓN A TRES O CUATRO DÍAS CON UNA FUNCIONARIA Y LAS VECES QUE HE TRATADO ME HA FUNCIONADO DE INMEDIATO Y HE QUEDADO CONFORME. ME AJUSTARON LOS PRECIOS DE LOS SISTEMAS QUE TENÍAMOS CONTRATADOS CON ELLOS ENTONCES CUALQUIER COSA DE ESE TIPO A UNO LO FAVORECE POR SUPUESTO QUE QUEDA CONFORME."	"2019_q1"
"22"	22	"s76Ru1JchGOZ"	"Mas"	"7"	"PORQUE LA ATENCIÓN Y EL SERVICIO ES BUENO."	"2019_q1"
"23"	23	"KAupE1NXkADB"	"MasPrem"	"7"	"ESTOY MUY SATISFECHA EN TODO"	"2019_q1"
"24"	24	"aQEk3nxi7iA7"	"Mas"	"5"	"PORQUE LLEVO UN CONTRATO DE AÑOS Y HAN COMETIDO ERRORES, HE CONTRATADO CIERTO SERVICIOS DE BLOQUEOS, NO SE ACTIVAN, DE REPENTE ME APARECEN LOS SALDOS MÁS ALTOS QUE LOS QUE CONTRATO Y SI BIEN ME REPONEN EL PORCENTAJE DE DESCUENTO ESO IGUAL NO DEBERÍA OCURRIR."	"2019_q1"
"25"	25	"NT3Uqo3yTaEj"	"Mas"	"7"	"PORQUE ME HA SALIDO UN BUEN SERVICIO,BUENA COMUNICACIÓN,BUENA ATENCIÓN TÉCNICA, BUENA ASISTENCIA."	"2019_q1"
"26"	26	"YPfar3rcuDEg"	"MV"	"5"	"LA ATENCIÓN DE POST-VENTA DE LOS EJECUTIVOS SE HA ECHADO A PERDER MUCHO, HACE UN AÑO ATRÁS ERA MUY BUENA Y AHORA ES BASTANTE INEFICIENTE, NO RESPONDEN LOS CORREOS, HAY QUE INSISTIR VARIAS VECES CON LAS SOLICITUDES, HAY QUE ESTAR LLAMANDO PORQUE NO SON MUY ÁGILES EN LAS RESPUESTAS."	"2019_q1"
"27"	27	"zqVsCFxiNwgT"	"AV"	"6"	"PORQUE SIEMPRE PASA ALGO EN QUE POR EJEMPLO A MEDIO DÍA EN PROVIDENCIA NO ENTRAN LAS LLAMADAS, SE CAE UN POCO EL INTERNET, YO CREO QUE ES PORQUE TODO EL MUNDO SE CONECTA A LA HORA DEL ALMUERZO, PERO DEBERÍA SER MAS ESTABLE EL TEMA."	"2019_q1"
"28"	28	"VDN73DkCi6vL"	"MV"	"7"	"POR QUE NO HEMOS TENIDO MAYORES PROBLEMAS Y CUANTO HEMOS TENIDO PROBLEMAS CON ENTEL SOLUCIONAN MUY RÁPIDO.  NO SÉ, CUANDO HEMOS TENIDO PROBLEMAS CON LA RED INTERMITENTE LLAMAMOS Y EN MENOS DE SEIS HORAS ESTÁ SOLUCIONADO EL TEMA."	"2019_q1"
"29"	29	"85biifDBDnin"	"MP"	"6"	"SIETE SERÍA COMO PERFECTO Y PERFECTO NO ES. DETALLES, DE REPENTE SE HA CAÍDO EL SISTEMA Y PERO HA SIDO MUY INUSUAL."	"2019_q1"
"30"	30	"teP9dT0GFFBr"	"Mas"	"4"	"PORQUE ESTOY EN LA ZONA RURAL Y HAY MALA CONECTIVIDAD, BAJAR LA INFORMACIÓN ES MUY LENTO Y A VECES NO BAJA LA INFORMACIÓN."	"2019_q1"
"31"	31	"vAzv4xj1KG1k"	"Mas"	"6"	"PORQUE EN TELEFONÍA NO ES MUY BUENO, EN LA SEÑAL DEL TELÉFONO, LOS TELÉFONOS QUE ELLOS PRESTAN LA SEÑALA SE ESCUCHA MAL,ESO ES LO MAS INCOMODO, LO MAS GRAVE."	"2019_q1"
"32"	32	"PBvlwcxzitoe"	"MV"	"7"	"CON ELLOS NO TENEMOS MAYOR PROBLEMA, EN CUANTO A LA SEÑAL."	"2019_q1"
"33"	33	"PvZyPfdVxYVw"	"MV"	"5"	"PORQUE TUVIMOS PROBLEMAS DE SEÑAL UN TIEMPO ATRÁS Y ESO NOS COSTÓ MUCHO UBICAR LA SEÑAL, UN POCO COMPLICADO, PERO AL FINAL LO SOLUCIONARON."	"2019_q1"
"34"	34	"9nq3Gwgq0Zl0"	"AP"	"6"	"COBERTURA DE INTERNET Y LA CAPACIDAD Y VELOCIDAD; ESPECÍFICAMENTE EN LA VELOCIDAD DE INTERNET Y TAMBIÉN EN LA SEÑAL POR ÁREA TERRITORIAL, UNA EXCELENTE SEÑAL O COBERTURA"	"2019_q1"
"35"	35	"rskXHjXHYPlt"	"MV"	"6"	"PORQUE SON BUENOS PERO PODRÍAN SER MEJOR,SOLUCIONAN LOS PROBLEMAS AL TIRO, LA SEÑAL ES MUY DIFÍCIL QUE SE CAIGA,Y ES UN SERVICIO QUE CUANDO UNO TIENE UN PROBLEMA LO SOLUCIONAN RÁPIDO."	"2019_q1"
"36"	36	"mW0B5M3kISgT"	"Mas"	"5"	"POR LOS COBROS QUE ENVÍAN EXTRAS DE REPENTE HAY QUE ESTAR REVISANDO LAS CUOTAS DETALLADAS Y TODO PORQUE SI UNO NO SE PERCATA DE ESO TE COBRAN COSAS EXTRAS CUANDO UNO VIAJA FUERA DEL PAÍS TODO ESO, Y POR LA MALA ATENCIÓN CUANDO UNO LLAMA NO MANEJAN LOS TEMAS Y TODO"	"2019_q1"
"37"	37	"bdmXxXfd3dZH"	"MasPrem"	"6"	"PORQUE EL SERVICIO FUNCIONA APARENTEMENTE  BIEN PERO EN ALGUNAS OCASIONES CUESTA TOMAR LA CONEXIÓN"	"2019_q1"
"38"	38	"fStrUY14YqmH"	"MasPrem"	"6"	"PORQUE A VECES SE INTERRUMPE EL SERVICIO HAY MOMENTOS QUE SE DESCONTINUA EL SERVICIO SE CAE LA SEÑAL"	"2019_q1"
"39"	39	"uVrzkOGmziLh"	"MasPrem"	"6"	"PORQUE ESTOY CONFORME CON EL SERVICIO, LA VERDAD ES QUE ANTES HABÍAMOS TENIDO PROBLEMAS SE CAÍA MUCHO EL SISTEMA Y DE UN TIEMPO A ESTA PARTE ESO SE HA MEJORADO CONSIDERABLEMENTE."	"2019_q1"
"40"	40	"cDGVn0nsiPFx"	"AV"	"6"	"PORQUE NO TIENEN MÁS FACTIBILIDAD TÉCNICA PARA AMPLIAR LA BANDA ANCHA, LA VELODIDAD, ES LO ÚNICO; ESTAMOS MIGRANDO A UNA EMPRESA PRIVADA."	"2019_q1"
"41"	41	"IyYEJolu07DW"	"AV"	"6"	"PORQUE NO ES OPTIMO EL SERVICIO CON EL TEMA DE LA COBERTURA MÁS QUE NADA, IGUAL TIENE ALGUNAS FALENCIAS Y POR LA ATENCIÓN, LA ENTREGA DE LOS PRODUCTOS Y LAS SOLICITUDES DE MUNICIPAL."	"2019_q1"
"42"	42	"VINRHjKflQn5"	"MasPrem"	"5"	"PORQUE MIS PAPAS ESTAN ELLOS TIENEN NEGOCIOS ALLA EN PIPA Y LA COBERTURA NO LLEGA MUY BIEN Y EL INTERNET TAMBIEN NO LLEGA MUY BIEN"	"2019_q1"
"43"	43	"69CZ4gXch9uU"	"MV"	"5"	"LAS RESOLUCIONES DE SOPORTES BUROCRÁTICAMENTE SON MUY LARGAS PASAN DE UN ESCALAMIENTO PUEDE TOMAR HASTA UNA SEMANA DOS SEMANAS LO CUAL PARA MI ES MUCHO TIEMPO NO MÁS QUE NADA ESO"	"2019_q1"
"44"	44	"r88yRYWqCfvr"	"AP"	"6"	"PORQUE ESTAMOS MUY LEJOS NOSOTROS DE TODO EL SISTEMA NO TENEMOS COMUNICACION DIRECTA CON LOS REPRESENTANTES HAY COMUNICACION CON LOS APARATOS PERO NO PRESENCIAL NO HEMOS TENIDO DRAMA CON EL INTERNET SIEMPRE SE MANEJA BIEN NO HAY CORTE NO HAY NADA NO HAY PRESENCIA DE ELLOS PERO HA FUNCIONADO BASTANTE BIEN"	"2019_q1"
"45"	45	"Y9o2qnfjTaPD"	"Mas"	"7"	"PORQUE HA SIDO BUENO EL SERVICIO TANTO EN LA RED DE INTERNET Y EL CELULAR, SIEMPRE HE TENIDO BUENA COBERTURA,PORQUE NO HE TENIDO PROBLEMA CON LA SEÑAL."	"2019_q1"
"46"	46	"oShp6JrTh47p"	"Mas"	"7"	"PORQUE ES BUENA ESPECÍFICAMENTE EN LA PRESTACIÓN DE SERVICIOS."	"2019_q1"
"47"	47	"Z33MhWmSyx5M"	"MV"	"6"	"EVENTUALMENTE TENEMOS ALGUNAS CAÍDAS DEL ENLACE, PORQUE LA TELEFONÍA TAMBIÉN DEPENDE DE QUE TENGAMOS INTERNET, SOLO POR ESO, PORQUE LA ATENCIÓN EN GENERAL ES BUENA YA QUE LOS TIEMPOS DE RESPUESTA SON RAZONABLES."	"2019_q1"
"48"	48	"sS9bHIXvzErK"	"AP"	"7"	"PORQUE EL SERVICIO QUE ENTREGAN ES BUENO RESPONDEN A LOS REQUERIMIENTOS RÁPIDO, NO HE TENIDO PROBLEMAS CON ELLOS."	"2019_q1"
"49"	49	"ustjrKLclcDp"	"AV"	"6"	"PORQUE A VECES SE QUEDA PEGADO EL INTERNET O NO FUNCIONA."	"2019_q1"
"50"	50	"Ltg04A82RIQ7"	"MasPrem"	"5"	"TENEMOS CELULARES DE EMPRESAS CON ENTEL Y WIFI ENTEL Y LA SEÑAL HAY VECES QUE NO TENGO SEÑAL DE INTERNET POR EJEMPLO EN EL TEMA DE LOS TELEFONOS CUANDO UNO VA HACER ALGUN RECLAMO NO TE DAN SOLUCION AL TIRO"	"2019_q1"
"51"	51	"ftaK5qbvO3lP"	"MasPrem"	"7"	"PORQUE TODO LO QUE UNO NECESITA ESTA Y  TIENEN BUENA COBERTURA."	"2019_q1"
"52"	52	"sLLlc1YPgJVD"	"Mas"	"5"	"PORQUE LA BANDA NO ES MUY ANCHA, PORQUE NO ES MUY RÁPIDA LA COMUNICACIÓN, PORQUE LAS VELOCIDADES SON ERRÁTICAS A DISTINTAS HORAS."	"2019_q1"
"53"	53	"0MzLuJYtRUnD"	"Mas"	"7"	"PORQUE NO HE TENIDO PROBLEMAS CON ELLOS, ENTREGAN UN BUEN SERVICIO (NO DA MÁS INFORMACIÓN)"	"2019_q1"
