"encriptado"	"seg_gol"	"sex_enc"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"fecha_stock"
"1"	"mG3MY5nBjCLH"	"Mas"	"Hombre"	"7"	"PORQUE NO TENEMOS PROBLEMAS MAS QUE TODO CON LA TELEFONÍA MÓVIL QUE ES LA QUE MANEJO MAS EN LA EMPRESA Y EN CUANTO AL SERVICIO DE INTERNET BANCA ANCHA LA RAPIDEZ Y LA COMUNICACIÓN."	"2019_q1"
"2"	"JQ0XUQY312rr"	"MV"	"Hombre"	"7"	"PORQUE NO HE TENIDO MAYOR PROBLEMA EN CUANTO AL SERVICIO"	"2019_q1"
"3"	"uTAwPO9mAYXr"	"Mas"	"Mujer"	"6"	"PORQUE HAY VECES QUE ESTÁ MUY LENTO EL INTERNET."	"2019_q1"
"4"	"pHrZNpDCqo25"	"MV"	"Hombre"	"5"	"PORQUE HE QUERIDO CAMBIAR EL VALOR TELEFÓNICO VARIAS VECES Y ES MUY DIFÍCIL CONTACTARME CON ALGUIEN POR TELÉFONO, DE HECHO NUNCA ME HE CONECTADO CON NADIE EN LO QUE VA DEL AÑO."	"2019_q1"
"5"	"My8NHFu7fgD6"	"Mas"	"Hombre"	"5"	"PORQUE EL INTERNET HA FALLADO MUCHO EN ESTE ULTIMO TIEMPO. (NO DA MAS INFORMACIÓN)"	"2019_q1"
"6"	"5VO4mJeKbJpy"	"Mas"	"Hombre"	"7"	"POR UN TEMA QUE NUNCA HE TENIDO PROBLEMAS NI DE CONECTIVIDAD, NI NADA, HAN SIDO CASOS PUNTUALES DE LOS INCENDIOS GRANDES QUE HUBIERON, QUE QUEDAMOS CON PROBLEMAS DE CONECTIVIDAD PERO DEL RESTO NADA, SIEMPRE HA ESTADO CONECTADO, ASÍ QUE ES UNA COMPAÑÍA QUE NO PRESENTA TANTOS PROBLEMAS."	"2019_q1"
"7"	"aoEPcQQneLNL"	"MP"	"Hombre"	"7"	"PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA, TENGO EL SERVICIO QUE CONTRATÉ . (NO DA MÁS INFORMACIÓN)."	"2019_q1"
"8"	"oJMcLMdy0TTr"	"MP"	"Hombre"	"2"	"PORQUE CUANDO ME OFRECIERON EL PLAN, ME OFRECIERON ALGO QUE NUNCA ME OFRECIERON, ES DECIR RECIBÍ ALGO QUE SUPUESTAMENTE NO ESTABA DENTRO DE LO QUE ME HABÍAN OFRECIDO, ME HABÍAN OFRECIDO MAS DE LO QUE YO RECIBÍ."	"2019_q1"
"9"	"mOffqRQzQKF9"	"MV"	"Mujer"	"5"	"PORQUE EN MUCHAS OCASIONES SE CAE MUCHO LA CONEXIÓN Y PORQUE ES DEMASIADO COSTOSO."	"2019_q1"
"10"	"61Q8PvcpjpEP"	"MV"	"Mujer"	"5"	"PORQUE EL PRECIO ES MUY ALTO, PUES AL SERVICIO."	"2019_q1"
