"encriptado"	"periodo"	"sat entel"	"literal"
"1"	"mG3MY5nBjCLH"	"2018_q2"	7	"S.C."
"2"	"x97GtHAulFrE"	"2020_q1"	7	"NADA"
"3"	"x97GtHAulFrE"	"2018_q2"	4	"INFORMARAN BIEN ALOS EJECUTIVOS PARA QUE TODOS DEN LA MISMA INFORMACION NO HAY UNA LINEA CLARA DE INFORMACION Y UNO NO SABE QUE HACER UNO DICE UNA COSA Y OTRO OTRAS---DEBERIAN ESTAR TODOS EN MISMA LINEA"
"4"	"SKSs8SUrtXwV"	"2020_q1"	5	"MEJORAR LA COMUNICSACION ES MUY MALA SE DEMORAMUCHO"
"5"	"Ri65janoyZeY"	"2018_q1"	7	"SC"
"6"	"RMgmCP17zYxZ"	"2019_q2"	6	"TIEMPO DE ESPERA MAS QUE NADA."
"7"	"iImnXIGS11Au"	"2018_q1"	5	"TODO BIEN"
"8"	"byynmwhYHR4U"	"2019_q2"	6	"TENER CONTACTO DIRECTO  CON LAS EJECUTIVAS, TENEMOS MUCHAS LINEAS Y TRATAR TODO POR CORREO NO ES BUENO"
"9"	"9x4XhOeeyVEX"	"2018_q2"	7	"0"
"10"	"9x4XhOeeyVEX"	"2019_q2"	6	"MEJORAR LOS PRECIOS"
"11"	"9x4XhOeeyVEX"	"2020_q2"	6	"MAS PREOCUPACION EN POSVENTA  SI PUEDEN HABER MAS ALTERNATIVA EN EL PLAN COMETO COMO APARATOS"
"12"	"8Oa9LlbX2Pqd"	"2018_q1"	7	"NECESITA SABER SI EL EJECUTIVO ESTA DE VACACIONES O CON LICENCIA POR QUE NECESITA CONTRATAR GPS Y VER CAMBIO DE ALGUNOS EQUIPOS"
"13"	"JQ0XUQY312rr"	"2021_q1"	5	"SIEMPRE PUEDE MEJORAR TODO LA PARTE HUMANA QUE SE RESUELVA RAPIDO EN LAS CAIDAS DE SISTEMAS"
"14"	"JQ0XUQY312rr"	"2019_q2"	7	"MEJORAR EL TEMA DE LA CLARIDAD DE LAS COSAS QUE OFRECEN"
"15"	"JQ0XUQY312rr"	"2020_q1"	7	"TEENR MAYOR FACTIBILIDADES TECNICAS PARAALGUNAS COSAS INSTALACIONES DE SERVICIO LUGARRES DONDE NO SE PUEDE QUISIMOS HACER UN PRESUPUESTO"
"16"	"hSYxP8oyqgFI"	"2019_q2"	6	"sc"
"17"	"2XXPlEuuIHTH"	"2020_q2"	5	"QUE LA ATENCION SEA MAS EXPEDITA Y LO QUE ESTAN DICIENDO EN VALORES SE VEA REFLEADO EN LAS BOLETAS PORQUE SIEMPRE ME APARECEN COBROS DE MAS"
"18"	"2XXPlEuuIHTH"	"2018_q2"	1	"QUE RESPETE LOS CONTRATOS!!!!!"
"19"	"lWte1ru93HHn"	"2019_q2"	5	"MEJORAR COBERTURA INTERNET"
"20"	"lWte1ru93HHn"	"2018_q1"	6	"TEMA DEL INTERNET MOVIL MUY MALO EN EL ULTIMO TIEMPO"
"21"	"lWte1ru93HHn"	"2019_q1"	6	"-"
"22"	"zqk00kqrUkC0"	"2018_q2"	5	"UN POCO MAS DE PROACTIVIDAD DEL EJECUTIVO DE EVALUAR LOS PRODUCTOS  QUE UNO TIENE HACER OFERTAS  DE MEJORAS Y NUEVOS SERVICIOS"
"23"	"zqk00kqrUkC0"	"2021_q1"	5	"UNA MEJOR PRAOCACTIVIDAD EN LA EMJORA DE PLANES"
"24"	"zqk00kqrUkC0"	"2019_q2"	5	"TENER MAS PROACTIVIDAD CON LOS CLIENTES EN CUANTO A OFERTAS Y MEJORAMIENTO DE EQUIPOS TARIFAS Y SERVICIOS .PREOCUPARSE DE OFRECER AL CLIENTE MEJORAS EN EL SERVICIO"
"25"	"oRcIWT7UalM0"	"2020_q1"	7	"QUE NOTIFICARAN EL OTRO TEMA DE EJECUTIVOS QUE TENGO"
"26"	"oRcIWT7UalM0"	"2020_q1"	7	"QUE NOTIFICARAN EL OTRO TEMA DE EJECUTIVOS QUE TENGO"
"27"	"gEz5V0q5qAu4"	"2018_q2"	5	"0"
